id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us10007euh,2016-12-02 00:14:40.010000,-49.6301291611,126.041151251,5.4,us2000fyrv,2018-07-06 23:35:42.980000,-49.6301312382,126.04114772,5.5,0.000344155661768,0.452760674456,1.26218687177,227.834072901,227.840413601,56.7276837156,1,1
usp000h4hh,2009-11-28 17:40:26.500000,-49.6119511722,126.032363137,5.2,us2000fyrv,2018-07-06 23:35:42.980000,-49.6301312382,126.04114772,5.5,2.11930949051,2.57260177872,15.771319022,162.575180011,162.800201144,61.6391516588,1,1
usp000ft0y,2007-11-21 09:46:18.220000,-49.5575742085,126.052968901,5.3,us2000fyrv,2018-07-06 23:35:42.980000,-49.6301312382,126.04114772,5.5,8.11501165798,8.11651711613,1.05400497342,186.040917326,187.121818433,7.27205934224,1,1
usp000a970,2001-02-07 01:58:07.300000,-49.6810731358,126.365327204,5.2,us2000fyrv,2018-07-06 23:35:42.980000,-49.6301312382,126.04114772,5.5,24.0838329498,14.9734194717,30.2293502406,283.483162688,287.404668169,66.8544787058,1,1
us2000fyrv,2018-07-06 23:35:42.980000,-49.6301312382,126.04114772,5.5,us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,98.4441364476,86.4889662863,24.1604383353,11.9184829475,174.131733178,21.5432647329,1,1
us10007euh,2016-12-02 00:14:40.010000,-49.6301291611,126.041151251,5.4,us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,98.4438577223,99.0908695744,24.2884968936,11.91836277,13.4555015912,19.771773449,1,1
usp000h4hh,2009-11-28 17:40:26.500000,-49.6119511722,126.032363137,5.2,us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,96.6024420929,72.6012345638,20.6744938443,12.5412392714,355.146788294,18.3856734365,1,1
usp000gw9m,2009-04-17 15:35:56.760000,-49.5913282619,126.048967591,5.3,us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,94.1053176187,88.9642082402,14.407111441,12.1183480226,358.988810003,9.57350418378,1,1
usp000ft0y,2007-11-21 09:46:18.220000,-49.5575742085,126.052968901,5.3,us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,90.3754636897,88.9356512952,20.5572831873,12.4354792441,5.39971230043,13.0894276428,1,1
usp000eujw,2006-10-06 07:36:38.380000,-49.529552151,126.065176214,5.1,us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,87.1419421285,51.1957578937,20.2095820161,12.3000429179,348.179471044,29.8719019674,1,1
us2000fyrv,2018-07-06 23:35:42.980000,-49.6301312382,126.04114772,5.5,us10007s8e,2017-01-10 03:01:32.450000,-48.7825488646,126.210397296,5.532,95.0661104174,72.895248328,40.4330059146,7.51820192525,184.013803724,53.7030755002,1,1
us2000a8zw,2017-08-17 03:00:19.040000,-48.7636977939,126.317680374,5.451,us10007s8e,2017-01-10 03:01:32.450000,-48.7825488646,126.210397296,5.532,8.15957750716,8.15984834457,8.65999393002,255.072415075,75.051337694,59.6145259034,1,1
us10007euh,2016-12-02 00:14:40.010000,-49.6301291611,126.041151251,5.4,us10007s8e,2017-01-10 03:01:32.450000,-48.7825488646,126.210397296,5.532,95.0658480028,99.1562340271,15.0351094691,7.51806504334,2.74961398108,11.3294057344,1,1
