id,time,lat,lon,mag,group
iscgem884549,1958-06-13 10:58:47,-49.737,125.765,5.9,-1
usp00006u9,1974-06-22 02:29:25.700000,-49.586,125.828,5.694,-1
usp0000drp,1975-11-28 01:10:52.600000,-49.075,127.251,5.856,-1
usp0000jeu,1976-09-16 09:10:18.500000,-48.633,126.318,5.37,-1
usp0000kw0,1976-12-21 19:32:38.700000,-49.55,125.944,5.37,-1
usp00015yy,1980-03-11 20:35:07,-49.539,125.964,5.613,-1
usp0001txb,1983-03-24 11:01:49.540000,-49.484,125.976,5.872,-1
usp00020cb,1983-12-09 06:40:47.080000,-49.55,125.894,5.694,-1
usp0002f26,1985-05-21 18:39:52.160000,-48.701,126.233,5.37,-1
usp00040yc,1989-10-19 06:06:10.070000,-49.35,126.176,5.451,-1
usp0004ney,1991-02-26 16:14:42.150000,-49.494,125.725,5.4,-1
usp0006e8t,1994-06-14 10:24:07.080000,-49.6378665908,126.047393321,5.37,1
usp0009ekc,1999-09-18 07:51:53.550000,-49.0945919839,126.896599728,5.3,1
usp0009t7g,2000-05-20 09:49:15.570000,-49.6161258603,126.040298975,5.5,1
usp000a970,2001-02-07 01:58:07.300000,-49.6563870675,126.288163033,5.2,1
usp000cms2,2004-02-21 19:29:30.900000,-49.6737938131,126.062346723,5.2,1
usp000dwny,2005-08-04 12:57:34.710000,-49.616126994,126.040311942,5.4,1
usp000eujw,2006-10-06 07:36:38.380000,-49.5300191123,126.066565469,5.1,1
usp000ft0y,2007-11-21 09:46:18.220000,-49.5551036619,126.048978418,5.3,1
usp000gv8t,2009-03-21 15:55:42.130000,-49.2804100116,126.210619964,5.0,1
usp000gw9m,2009-04-17 15:35:56.760000,-49.5869834593,126.043329152,5.3,1
usp000h4hh,2009-11-28 17:40:26.500000,-49.6108477395,126.030445487,5.2,1
usp000je9c,2012-02-02 02:09:22.350000,-49.6917292221,126.020896142,5.451,1
usb000siwy,2014-10-05 07:24:43.270000,-49.6164378891,126.035528391,5.5,1
us20006hdi,2016-07-25 08:58:30.790000,-49.3941470828,126.255608072,5.8,1
us100068c5,2016-07-25 09:00:28.390000,-49.3834447082,126.2464591,5.775,1
us10007euh,2016-12-02 00:14:40.010000,-49.6356254404,126.046251342,5.4,1
us10007s8e,2017-01-10 03:01:32.450000,-48.8368607602,126.192224765,5.532,1
us2000a8zw,2017-08-17 03:00:19.040000,-48.8112455097,126.232623555,5.451,1
us2000fyrv,2018-07-06 23:35:42.980000,-49.6300966072,126.040432829,5.5,1
