id,time,lat,lon,mag,group
usp0006e8t,1994-06-14 10:24:07.080000,-49.6378665908,126.047393321,5.37,1
usp0009ekc,1999-09-18 07:51:53.550000,-49.0945919839,126.896599728,5.3,1
usp0009t7g,2000-05-20 09:49:15.570000,-49.6161258603,126.040298975,5.5,1
usp000a970,2001-02-07 01:58:07.300000,-49.6563870675,126.288163033,5.2,1
usp000cms2,2004-02-21 19:29:30.900000,-49.6737938131,126.062346723,5.2,1
usp000dwny,2005-08-04 12:57:34.710000,-49.616126994,126.040311942,5.4,1
usp000eujw,2006-10-06 07:36:38.380000,-49.5300191123,126.066565469,5.1,1
usp000ft0y,2007-11-21 09:46:18.220000,-49.5551036619,126.048978418,5.3,1
usp000gv8t,2009-03-21 15:55:42.130000,-49.2804100116,126.210619964,5.0,1
usp000gw9m,2009-04-17 15:35:56.760000,-49.5869834593,126.043329152,5.3,1
usp000h4hh,2009-11-28 17:40:26.500000,-49.6108477395,126.030445487,5.2,1
usp000je9c,2012-02-02 02:09:22.350000,-49.6917292221,126.020896142,5.451,1
usb000siwy,2014-10-05 07:24:43.270000,-49.6164378891,126.035528391,5.5,1
us20006hdi,2016-07-25 08:58:30.790000,-49.3941470828,126.255608072,5.8,1
us100068c5,2016-07-25 09:00:28.390000,-49.3834447082,126.2464591,5.775,1
us10007euh,2016-12-02 00:14:40.010000,-49.6356254404,126.046251342,5.4,1
us10007s8e,2017-01-10 03:01:32.450000,-48.8368607602,126.192224765,5.532,1
us2000a8zw,2017-08-17 03:00:19.040000,-48.8112455097,126.232623555,5.451,1
us2000fyrv,2018-07-06 23:35:42.980000,-49.6300966072,126.040432829,5.5,1
