id,time,lat,lon,mag,along_strike_distance
us7000aayu,2020-06-18 16:43:09.420000,-47.0429,-11.1413,5.37,372.32112675
us7000aaxr,2020-06-18 15:20:55.669000,-47.0167,-11.1694,5.532,371.163494996
us70009pag,2020-05-24 02:52:24.009000,-47.2945,-12.2953,5.8,280.480921704
us70005utz,2019-10-16 23:59:52.489000,-47.7353,-9.9501,5.37,446.025856993
us70005t81,2019-10-10 21:26:26.745000,-46.9451,-10.4156,5.3,428.273797607
us70005d4z,2019-09-07 05:35:01.388000,-46.8707,-10.6532,5.3,413.569987625
us700034qe,2019-04-12 00:31:27.570000,-47.2391,-13.2689,5.37,212.871412941
us1000hghr,2018-10-19 17:13:30.330000,-47.3524,-12.1365,5.37,290.362260471
us1000eurn,2018-06-18 08:17:05.690000,-46.7034,-12.5401,5.451,288.991970207
us1000d5k6,2018-03-17 05:50:09.070000,-47.6789,-13.509,5.7,181.586114054
us20009lq1,2017-06-10 10:57:35.660000,-47.4942,-13.5664,5.451,182.153323374
us10008qns,2017-05-09 01:41:52.480000,-47.2522,-12.204,5.37,288.439503743
us20008mv5,2017-02-28 03:50:22.250000,-48.0272,-9.97,5.451,442.804479799
usc000nzul,2014-04-01 23:13:05.030000,-46.7356,-10.5076,5.613,429.045038842
usc000llgl,2013-12-16 12:28:31.940000,-47.1806,-13.392,5.532,206.956161945
usp000hmwx,2010-10-09 22:40:00.020000,-46.872,-10.244,5.1,443.173461973
usp000hcan,2010-05-04 16:38:44.840000,-47.065,-12.107,5.3,302.021333049
usp000gpd1,2008-11-25 01:19:47.530000,-46.781,-10.723,5.4,411.857651488
usp000gc7h,2008-07-15 05:07:11.900000,-47.366,-12.17,5.7,287.536078426
gcmtc200803191016a,2008-03-19 10:16:16,-47.0,-13.0,5.0,242.497254743
usp000fnup,2007-09-21 15:11:52.140000,-47.538,-13.674,5.0,173.008591388
usp000cj6d,2004-01-18 14:07:04.040000,-47.038,-11.282,5.6,362.28984674
usp000c9v9,2003-10-07 16:54:16.540000,-46.813,-10.703,5.4,412.083607563
usp000bmuc,2003-01-01 00:14:10.600000,-48.127,-9.789,5.6,456.228721874
usp000a25w,2000-10-21 11:35:59.130000,-47.347,-12.403,6.0,271.057462522
usp0008me7,1998-05-04 03:30:19.650000,-46.691,-10.652,5.37,420.468383436
usp0007vzy,1997-01-17 23:24:09.890000,-47.416,-13.451,5.8,193.079109723
usp0005hrt,1992-12-03 06:28:37.760000,-48.137,-9.878,5.5,449.61238115
usp0004xac,1991-10-02 16:18:35.100000,-46.539,-10.443,5.37,441.632828339
usp00046r7,1990-03-17 12:48:02.260000,-47.295,-13.344,5.532,205.27601747
