id,time,lat,lon,mag,group
usp000053y,1974-02-01 06:39:37.100000,-47.424,-13.427,5.934,-1
usp00012um,1979-09-08 09:06:18.500000,-47.129,-13.343,5.532,-1
usp0001cvp,1981-03-25 05:28:15.300000,-48.138,-9.919,5.872,-1
usp0002f2g,1985-05-22 03:27:19.240000,-47.493,-13.499,5.3,-1
usp0002gg1,1985-07-05 21:29:46.980000,-46.922,-10.692,5.4,-1
usp0002jz4,1985-09-21 10:54:44.430000,-46.678,-13.423,5.81,-1
usp0002mt8,1985-11-15 10:35:57.240000,-47.232,-13.389,5.532,-1
usp0002mu5,1985-11-16 01:56:43.170000,-47.143,-13.397,5.532,-1
usp0002rus,1986-03-14 10:30:50.370000,-46.975,-12.953,6.0,-1
usp0002v3z,1986-06-16 17:15:10.070000,-47.282,-13.324,5.8,-1
usp0003n8z,1988-10-27 10:56:11.800000,-46.971,-10.87,5.2,-1
usp00046r7,1990-03-17 12:48:02.260000,-47.295,-13.344,5.532,-1
usp0004xac,1991-10-02 16:18:35.100000,-46.539,-10.443,5.37,-1
usp0005hrt,1992-12-03 06:28:37.760000,-48.137,-9.878,5.5,-1
usp0007vzy,1997-01-17 23:24:09.890000,-47.4074090792,-13.1069919008,5.8,1
usp0008me7,1998-05-04 03:30:19.650000,-46.691,-10.652,5.37,-1
usp000a25w,2000-10-21 11:35:59.130000,-47.2945014953,-12.2953119066,6.0,1
usp000bmuc,2003-01-01 00:14:10.600000,-47.8962230286,-9.95486068441,5.6,1
usp000c9v9,2003-10-07 16:54:16.540000,-46.8126034106,-10.6066566002,5.4,1
usp000cj6d,2004-01-18 14:07:04.040000,-46.9839732136,-11.1228985729,5.6,1
usp000fnup,2007-09-21 15:11:52.140000,-47.4692742828,-13.0418772802,5.0,1
gcmtc200803191016a,2008-03-19 10:16:16,-46.7624925241,-10.3370763424,5.0,1
usp000gc7h,2008-07-15 05:07:11.900000,-47.2766307255,-12.1709137204,5.7,1
usp000gpd1,2008-11-25 01:19:47.530000,-46.8222169367,-10.6129623286,5.4,1
usp000hcan,2010-05-04 16:38:44.840000,-47.2493604451,-12.095705938,5.3,1
usp000hmwx,2010-10-09 22:40:00.020000,-46.7581066935,-10.3353266443,5.1,1
usc000llgl,2013-12-16 12:28:31.940000,-47.1980767502,-13.0583789363,5.532,1
usc000nzul,2014-04-01 23:13:05.030000,-46.8601323883,-10.6662224989,5.613,1
us20008mv5,2017-02-28 03:50:22.250000,-47.905706662,-9.9759349705,5.451,1
us10008qns,2017-05-09 01:41:52.480000,-47.2629567217,-12.1761035125,5.37,1
us20009lq1,2017-06-10 10:57:35.660000,-47.4268279797,-13.0954333955,5.451,1
us1000d5k6,2018-03-17 05:50:09.070000,-47.3944448073,-13.1092560966,5.7,1
us1000eurn,2018-06-18 08:17:05.690000,-46.9626367955,-12.773923359,5.451,1
us1000hghr,2018-10-19 17:13:30.330000,-47.0300916699,-11.8058888969,5.37,1
us700034qe,2019-04-12 00:31:27.570000,-47.2602384909,-12.9825977041,5.37,1
us70005d4z,2019-09-07 05:35:01.388000,-46.8383603521,-10.6145948957,5.3,1
us70005t81,2019-10-10 21:26:26.745000,-46.7624965972,-10.3376456904,5.3,1
us70005utz,2019-10-16 23:59:52.489000,-46.7581119172,-10.3353095612,5.37,1
us70009pag,2020-05-24 02:52:24.009000,-47.294499199,-12.2952942235,5.8,1
