id,time,lat,lon,mag,group
usp0007vzy,1997-01-17 23:24:09.890000,-47.4566400592,-12.9893069582,5.8,1
usp000a25w,2000-10-21 11:35:59.130000,-47.2976950999,-12.3198048598,6.0,1
usp000bmuc,2003-01-01 00:14:10.600000,-47.8955791552,-9.93089747016,5.6,1
usp000c9v9,2003-10-07 16:54:16.540000,-46.8192061681,-10.6307178479,5.4,1
usp000cj6d,2004-01-18 14:07:04.040000,-46.9905736061,-11.1470220584,5.6,1
usp000fnup,2007-09-21 15:11:52.140000,-47.4903500417,-12.942231677,5.0,1
usp000gc7h,2008-07-15 05:07:11.900000,-47.2807833819,-12.2127827506,5.7,1
usp000gpd1,2008-11-25 01:19:47.530000,-46.8288204478,-10.6370232314,5.4,1
usp000hcan,2010-05-04 16:38:44.840000,-47.258724249,-12.1124465601,5.3,1
usp000hmwx,2010-10-09 22:40:00.020000,-46.7624885676,-10.3376406154,5.1,1
usc000llgl,2013-12-16 12:28:31.940000,-47.2486892133,-12.9412943114,5.532,1
usc000nzul,2014-04-01 23:13:05.030000,-46.8516397596,-10.722107993,5.613,1
us20008mv5,2017-02-28 03:50:22.250000,-47.9050698234,-9.95197465634,5.451,1
us10008qns,2017-05-09 01:41:52.480000,-47.2839047771,-12.0761850399,5.37,1
us20009lq1,2017-06-10 10:57:35.660000,-47.4760604161,-12.9777401461,5.451,1
us1000d5k6,2018-03-17 05:50:09.070000,-47.4436758266,-12.9915725928,5.7,1
us1000eurn,2018-06-18 08:17:05.690000,-46.981552027,-12.9166317138,5.451,1
us1000hghr,2018-10-19 17:13:30.330000,-47.0473533352,-11.9800813013,5.37,1
us700034qe,2019-04-12 00:31:27.570000,-47.3096096118,-12.8652348176,5.37,1
us70005d4z,2019-09-07 05:35:01.388000,-46.8449626825,-10.6386555332,5.3,1
us70005t81,2019-10-10 21:26:26.745000,-46.7661668846,-10.3432331768,5.3,1
us70005utz,2019-10-16 23:59:52.489000,-46.7681368569,-10.3191644808,5.37,1
us70009pag,2020-05-24 02:52:24.009000,-47.2942650552,-12.2933987387,5.8,1
