net,sta,lat,lon,dep,azi,dist
G,EVO,38.532001,-8.013,0.0,3.06083745669,9503.89917626
II,SHEL,-15.9594,-5.7455,537.0,11.3704936402,3510.61924154
G,TAM,22.791491,5.52838,1410.0,16.9745213774,7946.23517554
II,LVZ,67.8979,34.6514,630.0,18.4951491577,13342.1078858
G,EDA,3.778868,10.153427,140.0,27.4848525694,6047.02005695
IU,MSKU,-1.6557,13.6116,312.0,33.9518041821,5617.13933155
G,BNG,4.435,18.547001,378.0,36.6104506132,6452.37973453
II,BRVK,53.0581,70.2828,330.0,44.7656077802,13549.9897149
IU,TSUM,-19.2022,17.5838,1260.0,50.8825813973,4098.89779843
IU,LSZ,-15.2779,28.1882,1200.0,59.871937296,5112.43209566
II,NIL,33.6506,73.2686,629.0,62.8846279419,12329.7720047
II,SUR,-32.3797,20.8117,1770.0,71.0571447816,3214.68639685
II,MSEY,-4.6737,55.4792,475.0,76.3486587941,7930.1715251
II,ABPO,-19.018,47.229,1528.0,80.702442024,6159.18323169
G,FOMA,-24.97565,46.978877,28.0,85.904154957,5688.85041186
G,ROCAM,-19.75553,63.37014,52.0,93.5019166004,7321.52811729
IC,QIZ,19.0291,109.8445,240.0,100.32943897,13925.9327213
IU,TATO,24.9735,121.4971,160.0,104.73799963,15246.7568148
G,CRZF,-46.43096,51.855308,140.0,113.495944358,4726.01752631
G,AIS,-37.796349,77.569183,35.9,117.519502938,7018.38985711
G,PAF,-49.351,70.210708,17.0,124.885519817,5784.87265805
II,KAPI,-5.0142,119.7517,300.0,126.36370159,12541.3577209
IU,MBWA,-21.159,119.7313,190.0,135.198811901,11024.8378682
IU,NWAO,-32.9277,117.239,380.0,139.393528381,9782.1745824
II,WRAB,-19.9336,134.36,366.0,147.117057136,11841.2090095
IU,PMG,-9.4047,147.1597,90.0,155.958835306,13402.4772448
IU,CASY,-66.2792,110.5354,10.0,156.472643392,6505.71096619
G,CCD,-75.1065,123.305,3240.0,167.083848041,6044.11663963
G,DRV,-66.664909,140.002075,40.0,168.028327012,7153.97451387
IU,QSPA,-89.9289,144.4382,2850.0,179.957988539,4779.75882757
IU,SPA,-90.0,0.0,2927.0,180.0,4772.48416199
II,MSVF,-17.7448,178.0528,801.1,190.384265119,12743.4113849
IU,RAO,-29.245,-177.929,60.0,192.436277744,11423.2405978
IU,AFI,-13.9085,-171.7827,706.0,201.789882575,12947.10074
IU,KNTN,-2.7744,-171.7186,20.0,205.437627601,14129.0325734
IU,RAR,-21.2125,-159.7733,28.0,210.926860348,11775.078608
IU,PMSA,-64.7744,-64.0489,40.0,218.567014945,3647.00869199
IU,XMAS,2.0448,-157.4457,20.0,224.077070991,14005.0378312
IU,PTCN,-25.0713,-130.0953,220.0,232.90905163,9898.07753025
II,HOPE,-54.2836,-36.4879,20.0,236.330873078,1893.22691448
II,EFI,-51.6753,-58.0637,110.0,244.049663892,3327.7920714
G,COYC,-45.57299,-72.08139,235.0,249.26276576,4515.52869096
H2,H2O,27.88191,-141.99173,-4947.0,261.346222039,15216.9893528
IU,TRQA,-38.0568,-61.9787,540.0,265.398471934,4156.06649605
IU,LCO,-29.011,-70.7005,2274.0,270.139077269,5393.90852439
IU,LVC,-22.6127,-68.9111,2960.0,277.80121088,5724.28822656
IU,OTAV,0.2376,-78.4508,3510.0,287.659958002,8279.65462932
CU,BCIP,9.1665,-79.8373,61.0,292.406903159,9135.34179178
G,SPB,-23.592691,-47.426979,647.0,297.215298358,4097.21834748
IU,PTGA,-0.7308,-59.9666,237.0,302.770058721,6929.62374907
CU,BBGH,13.1434,-59.5588,180.0,311.299243813,8189.82396185
G,CAY,4.948,-52.317001,25.0,313.455663102,7004.49586037
IU,HRV,42.5064,-71.5583,200.0,318.878097435,11542.2566855
IU,RCBR,-5.8274,-35.9014,400.0,325.79054578,5126.75629419
IM,ATTU,52.882099,173.164307,250.0,332.913191962,19278.9390403
II,SACV,14.9702,-23.6085,387.0,347.242228596,6983.87075647
II,CMLA,37.7637,-25.5243,429.0,349.194142449,9508.0452909
G,TRIS,-37.0681,-12.3152,60.0,358.110871406,1125.93164693
