id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp000hkjx,2010-09-11 11:10:54.030000,-20.1530998898,67.2858716226,5.0,12.9837811217,16.403499445,30.9493499361,245.77166527,218.702934016,65.4244527394,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp000hkem,2010-09-08 05:56:44.480000,-20.1036403922,66.730770035,5.0,69.8953225991,69.8954535104,21.8431432142,270.00913735,291.40743101,17.1108939257,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp000gg0k,2008-08-30 14:42:28.010000,-20.1151096469,67.4006199853,5.2,1.12930877702,1.14818549227,2.51718344602,172.042829063,166.400555456,56.9162342719,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp000dpz1,2005-05-05 13:12:48.780000,-20.130900998,66.6228042867,5.5,81.2295385263,81.1123114291,31.501630052,267.844106289,267.841289156,35.9299183114,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp000bt7s,2003-03-22 07:55:48.360000,-20.3785766367,67.0350484896,5.0,48.6247696818,48.6178201743,41.0060031972,231.412264597,239.454076805,61.1653747906,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp0009jwd,1999-12-15 19:12:33.650000,-20.1249967127,67.3938987359,5.37,2.27947431221,1.07847828277,11.9890731922,193.871132588,320.630275629,59.8269275284,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp0009dbw,1999-08-20 01:25:01.440000,-20.2329727813,67.7931202599,5.2,43.554583217,41.9203326466,38.755488106,109.049283016,107.789635675,74.3508103441,1,1
usp000hv61,2011-02-28 09:13:43.820000,-20.1050068677,67.3991249848,5.1,usp0008pna,1998-06-09 22:52:33.450000,-20.082339273,66.6617846259,5.4,77.1555301363,91.0995215642,22.1235135552,271.737143716,272.775076965,17.7900683249,1,1
usp000hkk1,2010-09-11 11:32:39.790000,-20.1456667927,67.2847749583,5.3,usp000hkjx,2010-09-11 11:10:54.030000,-20.1530998898,67.2858716226,5.0,0.830838667155,0.830816976923,0.499629854516,172.068172817,172.0699841,29.2262618927,1,1
usp000hkjx,2010-09-11 11:10:54.030000,-20.1530998898,67.2858716226,5.0,usp000hkem,2010-09-08 05:56:44.480000,-20.1036403922,66.730770035,5.0,58.3001914784,1.8834117259,9.71998057103,275.293509878,144.290211552,57.258223099,1,1
