id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,0.0,3.31019011
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,0.2,65.206156
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000hkjx,2010-09-11 11:10:54.030000,-20.044,66.831,5.0,7600.81922016,0.1,62.97588473
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000hkem,2010-09-08 05:56:44.480000,-20.118,66.682,5.0,7586.57698049,0.1,77.2181244
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000hh49,2010-07-29 23:28:05.900000,-20.147,66.855,5.0,7604.93966736,0.1,58.85543753
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000gg0k,2008-08-30 14:42:28.010000,-20.41,67.172,5.2,7641.89096546,0.1,21.90413943
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000eeph,2006-04-16 15:12:23.710000,-19.97,66.596,5.4,7575.3057894,0.3,88.48931549
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000eat4,2006-02-25 00:16:19.900000,-20.363,67.918,5.0,7718.25993357,0.1,54.46482868
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000dpz1,2005-05-05 13:12:48.780000,-19.968,66.474,5.5,7562.63880799,0.4,101.1562969
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000dfea,2005-02-03 04:27:52.800000,-20.223,67.452,5.2,7667.90305291,0.1,4.10794802
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp000bt7s,2003-03-22 07:55:48.360000,-20.124,67.028,5.0,7622.47751738,0.1,41.31758751
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp0009jwd,1999-12-15 19:12:33.650000,-20.116,67.447,5.37,7665.72888381,0.27,1.93377892
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp0009dbw,1999-08-20 01:25:01.440000,-20.409,67.755,5.2,7702.11450187,0.1,38.31939698
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp0009dbc,1999-08-19 19:07:50.870000,-20.268,67.736,5.37,7697.98118197,0.27,34.18607708
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp0008pna,1998-06-09 22:52:33.450000,-20.005,66.747,5.4,7591.50192358,0.3,72.29318131
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp0004a7a,1990-06-07 07:14:42.400000,-20.117,66.555,5.4,7573.4213601,0.3,90.37374479
usp000j5z0,2011-08-04 15:33:46.290000,-20.205,67.415,5.1,7663.79510489,usp00046t4,1990-03-18 23:19:29.720000,-20.286,66.74,5.2,7595.27390531,0.1,68.52119958
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,0.2,61.89596589
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000hkjx,2010-09-11 11:10:54.030000,-20.044,66.831,5.0,7600.81922016,0.1,59.66569462
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000hkem,2010-09-08 05:56:44.480000,-20.118,66.682,5.0,7586.57698049,0.1,73.90793429
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000hh49,2010-07-29 23:28:05.900000,-20.147,66.855,5.0,7604.93966736,0.1,55.54524742
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000gg0k,2008-08-30 14:42:28.010000,-20.41,67.172,5.2,7641.89096546,0.1,18.59394932
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000eeph,2006-04-16 15:12:23.710000,-19.97,66.596,5.4,7575.3057894,0.3,85.17912538
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000eat4,2006-02-25 00:16:19.900000,-20.363,67.918,5.0,7718.25993357,0.1,57.77501879
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000dpz1,2005-05-05 13:12:48.780000,-19.968,66.474,5.5,7562.63880799,0.4,97.84610679
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000dfea,2005-02-03 04:27:52.800000,-20.223,67.452,5.2,7667.90305291,0.1,7.41813813
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp000bt7s,2003-03-22 07:55:48.360000,-20.124,67.028,5.0,7622.47751738,0.1,38.0073974
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp0009jwd,1999-12-15 19:12:33.650000,-20.116,67.447,5.37,7665.72888381,0.27,5.24396903
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp0009dbw,1999-08-20 01:25:01.440000,-20.409,67.755,5.2,7702.11450187,0.1,41.62958709
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp0009dbc,1999-08-19 19:07:50.870000,-20.268,67.736,5.37,7697.98118197,0.27,37.49626719
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp0008pna,1998-06-09 22:52:33.450000,-20.005,66.747,5.4,7591.50192358,0.3,68.9829912
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp0004a7a,1990-06-07 07:14:42.400000,-20.117,66.555,5.4,7573.4213601,0.3,87.06355468
usp000hv61,2011-02-28 09:13:43.820000,-20.105,67.398,5.1,7660.48491478,usp00046t4,1990-03-18 23:19:29.720000,-20.286,66.74,5.2,7595.27390531,0.1,65.21100947
usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,usp000hkjx,2010-09-11 11:10:54.030000,-20.044,66.831,5.0,7600.81922016,0.3,2.23027127
usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,usp000hkem,2010-09-08 05:56:44.480000,-20.118,66.682,5.0,7586.57698049,0.3,12.0119684
usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,usp000hh49,2010-07-29 23:28:05.900000,-20.147,66.855,5.0,7604.93966736,0.3,6.35071847
usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,usp000gg0k,2008-08-30 14:42:28.010000,-20.41,67.172,5.2,7641.89096546,0.1,43.30201657
usp000hkk1,2010-09-11 11:32:39.790000,-19.962,66.822,5.3,7598.58894889,usp000eeph,2006-04-16 15:12:23.710000,-19.97,66.596,5.4,7575.3057894,0.1,23.28315949
