id,time,lat,lon,mag,group
usp00069u2,1994-03-17 17:27:32.420000,-36.245449896,52.2710247831,5.7,1
usp00083yk,1997-06-25 12:39:16.300000,-36.9165394204,52.247559395,5.3,1
usp000etng,2006-09-23 12:29:02.650000,-36.6128479018,51.972550293,5.0,1
usp000g0zz,2008-03-08 18:47:35.460000,-36.631062696,51.958898034,5.1,1
usp000hduj,2010-06-11 12:40:19.700000,-36.8984164169,52.1694519871,5.8,1
usc000hskz,2013-06-17 11:21:42.040000,-36.3331997283,52.2906567142,5.6,1
usc000lxrm,2014-01-06 17:00:58.210000,-36.9190844168,52.2285512678,5.37,1
us10007p5d,2017-01-02 00:13:06.300000,-36.4630437333,52.2693794212,5.7,1
us1000h4ve,2018-10-01 04:27:59.980000,-36.1397443613,52.2710519623,5.613,1
us6000bgdq,2020-08-18 04:40:32.916000,-36.3626028169,52.2739232516,5.8,1
