id,time,lat,lon,mag,along_strike_distance
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,144.373226804
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,160.431291847
usp0005a9w,1992-07-05 01:49:56.170000,-13.314,-111.131,5.8,266.38693666
usp0006rkh,1995-01-19 11:18:32.050000,-13.242,-111.658,5.4,208.731781257
usp0007j02,1996-06-01 00:27:30.930000,-13.338,-112.055,5.5,168.142560785
usp0009fc4,1999-10-03 02:10:14.070000,-13.357,-111.314,5.7,247.424501796
usp000am71,2001-08-10 23:49:36.430000,-13.537,-111.667,5.2,214.312139712
usp000cate,2003-10-19 17:28:36.780000,-13.365,-111.526,5.2,224.921505683
usp000ck2z,2004-01-31 07:32:59.060000,-13.525,-111.396,5.5,242.347543119
usp000d102,2004-07-28 08:06:45.210000,-13.45,-111.746,5.2,203.56769108
usp000d19e,2004-08-01 19:44:47.560000,-13.387,-112.21,5.8,153.219155663
usp000fmnt,2007-09-08 00:18:49.380000,-13.711,-112.002,5.1,186.91305351
usp000fu15,2007-12-08 06:53:48.270000,-13.697,-111.628,5.1,223.778021864
usp000fu17,2007-12-08 07:13:19.030000,-13.467,-111.931,5.0,184.703156342
usp000gehn,2008-08-13 01:32:45.670000,-13.382,-111.281,5.7,251.394611465
usp000gx93,2009-05-18 09:50:17.170000,-12.991,-111.422,5.0,232.712596017
usp000h7an,2010-02-14 22:58:40.440000,-13.566,-111.514,5.0,231.123630943
usp000hbf4,2010-04-15 20:52:31.440000,-13.451,-112.167,5.6,159.750107723
usp000hbfc,2010-04-15 22:58:53.900000,-13.537,-111.977,5.1,182.275147629
usp000hbv9,2010-04-24 23:33:32.870000,-13.461,-111.597,5.2,219.536649034
usp000hnyg,2010-11-03 04:22:28.040000,-13.406,-111.942,5.0,181.794855264
usp000hrjb,2010-12-22 14:02:43.520000,-13.461,-111.614,5.1,217.745043493
usp000hvcy,2011-03-05 17:01:12.980000,-13.836,-111.578,5.0,234.443774089
usp000j0me,2011-04-26 10:43:07.530000,-13.384,-111.298,5.5,249.614876446
us20002vn3,2015-07-07 07:01:42.740000,-13.329,-111.6323,5.9,212.893260325
us20002vrz,2015-07-07 16:08:03.640000,-13.3864,-111.3022,5.7,249.210522143
us20002vsv,2015-07-07 18:04:47.110000,-13.7272,-111.639,5.3,223.82717321
us1000hxrb,2018-11-29 02:33:54.040000,-13.5645,-111.4342,5.37,239.415717186
us70005lx1,2019-09-26 19:00:41.378000,-13.3744,-111.4258,5.5,235.791089664
