id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,0.2,16.9923733
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp0005a9w,1992-07-05 01:49:56.170000,-13.314,-111.131,5.8,12304.3155315,0.3,123.0762336
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp0006rkh,1995-01-19 11:18:32.050000,-13.242,-111.658,5.4,12361.9105694,0.1,65.4811957
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp0007j02,1996-06-01 00:27:30.930000,-13.338,-112.055,5.5,12403.7513891,0.0,23.640376
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp0009fc4,1999-10-03 02:10:14.070000,-13.357,-111.314,5.7,12323.628825,0.2,103.7629401
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000am71,2001-08-10 23:49:36.430000,-13.537,-111.667,5.2,12359.8468145,0.3,67.5449506
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000cate,2003-10-19 17:28:36.780000,-13.365,-111.526,5.2,12346.4160994,0.3,80.9756657
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000ck2z,2004-01-31 07:32:59.060000,-13.525,-111.396,5.5,12330.7630923,0.0,96.6286728
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000d102,2004-07-28 08:06:45.210000,-13.45,-111.746,5.2,12369.2657036,0.3,58.1260615
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000d19e,2004-08-01 19:44:47.560000,-13.387,-112.21,5.8,12419.9510258,0.3,7.4407393
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000fmnt,2007-09-08 00:18:49.380000,-13.711,-112.002,5.1,12394.0951013,0.4,33.2966638
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000fu15,2007-12-08 06:53:48.270000,-13.697,-111.628,5.1,12353.9737754,0.4,73.4179897
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000gehn,2008-08-13 01:32:45.670000,-13.382,-111.281,5.7,12319.8169723,0.2,107.5747928
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000hbf4,2010-04-15 20:52:31.440000,-13.451,-112.167,5.6,12414.63838,0.1,12.7533851
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000hbfc,2010-04-15 22:58:53.900000,-13.537,-111.977,5.1,12393.2524488,0.4,34.1393163
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000hbv9,2010-04-24 23:33:32.870000,-13.461,-111.597,5.2,12353.0883424,0.3,74.3034227
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000hrjb,2010-12-22 14:02:43.520000,-13.461,-111.614,5.1,12354.9211096,0.4,72.4706555
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,usp000j0me,2011-04-26 10:43:07.530000,-13.384,-111.298,5.5,12321.6304898,0.0,105.7612753
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,us20002vn3,2015-07-07 07:01:42.740000,-13.329,-111.6323,5.9,12358.250253,0.4,69.1415121
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,us20002vrz,2015-07-07 16:08:03.640000,-13.3864,-111.3022,5.7,12322.0592811,0.2,105.332484
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,us20002vsv,2015-07-07 18:04:47.110000,-13.7272,-111.639,5.3,12354.8407786,0.2,72.5509865
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,us1000hxrb,2018-11-29 02:33:54.040000,-13.5645,-111.4342,5.37,12334.4743063,0.13,92.9174588
usp0004bsh,1990-07-13 08:36:36.910000,-13.295,-112.27,5.5,12427.3917651,us70005lx1,2019-09-26 19:00:41.378000,-13.3744,-111.4258,5.5,12335.512598,0.0,91.8791671
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp0006rkh,1995-01-19 11:18:32.050000,-13.242,-111.658,5.4,12361.9105694,0.1,48.4888224
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp0007j02,1996-06-01 00:27:30.930000,-13.338,-112.055,5.5,12403.7513891,0.2,6.6480027
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp0009fc4,1999-10-03 02:10:14.070000,-13.357,-111.314,5.7,12323.628825,0.4,86.7705668
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp000am71,2001-08-10 23:49:36.430000,-13.537,-111.667,5.2,12359.8468145,0.1,50.5525773
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp000cate,2003-10-19 17:28:36.780000,-13.365,-111.526,5.2,12346.4160994,0.1,63.9832924
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp000ck2z,2004-01-31 07:32:59.060000,-13.525,-111.396,5.5,12330.7630923,0.2,79.6362995
usp0004d4v,1990-08-09 06:56:51.060000,-13.228,-112.106,5.3,12410.3993918,usp000d102,2004-07-28 08:06:45.210000,-13.45,-111.746,5.2,12369.2657036,0.1,41.1336882
