id,time,lat,lon,mag,along_strike_distance
us6000c77u,2020-10-10 03:40:45.233000,-35.2523,53.9297,5.0,6808.8649975
us1000jd7v,2019-03-10 13:18:15.970000,-35.2104,53.9157,5.694,6805.89962455
us10007e4n,2016-12-01 20:51:55.550000,-35.2021,54.0219,5.5,6814.47448047
us20002yu2,2015-07-21 07:14:50.020000,-34.6166,54.6102,5.694,6839.73734802
us20002yls,2015-07-20 05:28:36.680000,-34.8374,54.5832,5.4,6846.57136707
usc000p2l6,2014-04-03 09:18:26.090000,-34.6751,54.2118,5.37,6808.29511231
usb000j5ki,2013-08-17 16:32:31.410000,-34.8853,54.0927,6.1,6807.02901
usb000ijmc,2013-07-22 12:32:57.500000,-35.29,54.0,5.37,6816.378109
usp000gxhf,2009-05-26 01:18:54.660000,-34.791,54.525,5.1,6839.70798682
usp000fwp3,2008-01-14 01:20:02.690000,-35.4,53.878,5.4,6810.85147279
usp000f4ym,2007-02-16 08:29:37.110000,-35.079,53.984,5.0,6806.05125906
usp000eb0t,2006-02-28 02:45:16.060000,-35.444,54.243,5.1,6843.32613838
usp000cqcd,2004-03-19 16:09:18.360000,-34.907,54.386,5.1,6832.75568349
usp00084pc,1997-07-10 23:41:42.910000,-34.694,54.607,5.4,6842.65884222
usp0006yqn,1995-06-07 08:26:53.730000,-34.828,54.194,5.3,6813.19065241
usp0005qtc,1993-04-07 11:22:45.810000,-35.419,54.023,5.2,6823.81499195
usp0005a5w,1992-07-02 23:32:03.760000,-34.843,54.544,5.2,6843.47847484
