id,time,lat,lon,mag,group
iscgem889245,1955-02-23 18:31:48,-34.455,54.084,6.1,-1
usp0000ecn,1976-01-10 08:52:51.800000,-35.101,54.36,5.937,-1
usp0001b6u,1980-12-08 10:45:10.900000,-35.293,53.995,5.694,-1
usp0002pbe,1985-12-24 04:09:41.270000,-35.09,54.272,6.2,-1
usp0005a5w,1992-07-02 23:32:03.760000,-34.843,54.544,5.2,-1
usp0005qtc,1993-04-07 11:22:45.810000,-35.419,54.023,5.2,-1
usp0006yqn,1995-06-07 08:26:53.730000,-34.828,54.194,5.3,-1
usp00084pc,1997-07-10 23:41:42.910000,-34.7493055188,54.461459003,5.4,1
usp000cqcd,2004-03-19 16:09:18.360000,-34.9492347354,53.983864172,5.1,1
usp000eb0t,2006-02-28 02:45:16.060000,-35.324029677,53.8935577337,5.1,1
usp000f4ym,2007-02-16 08:29:37.110000,-34.8848864489,54.0028268157,5.0,1
usp000fwp3,2008-01-14 01:20:02.690000,-35.3311431179,53.9634695273,5.4,1
usp000gxhf,2009-05-26 01:18:54.660000,-34.9028183388,54.2152432098,5.1,1
usb000ijmc,2013-07-22 12:32:57.500000,-35.1859327556,53.9109950291,5.37,1
usb000j5ki,2013-08-17 16:32:31.410000,-34.8590178667,54.2330425344,6.1,1
usc000p2l6,2014-04-03 09:18:26.090000,-34.6751,54.2118,5.37,-1
us20002yls,2015-07-20 05:28:36.680000,-34.7534616503,54.5137489401,5.4,1
us20002yu2,2015-07-21 07:14:50.020000,-34.7512775356,54.5244005371,5.694,1
us10007e4n,2016-12-01 20:51:55.550000,-35.1840286381,54.0083204633,5.5,1
us1000jd7v,2019-03-10 13:18:15.970000,-34.9487316835,53.5961093825,5.694,1
us6000c77u,2020-10-10 03:40:45.233000,-35.2523162576,53.9296380372,5.0,1
