net,sta,lat,lon,dep,azi,dist
II,MSEY,-4.6737,55.4792,475.0,3.97480918989,3453.24316552
G,RER,-21.1712,55.739861,834.0,8.5333660004,1637.16846778
IU,KBL,34.5408,69.0432,1920.0,13.5639924555,7954.58123159
G,WUS,41.200716,79.216498,1468.0,19.4735465911,8924.1432768
G,HYB,17.41867,78.55213,510.0,28.5682369097,6458.71407778
G,ROCAM,-19.75553,63.37014,52.0,31.3462090453,2027.55228647
II,DGAR,-7.4121,72.4525,1.0,36.2177026415,3693.6544357
IU,CHTO,18.8141,98.9443,420.0,46.2878396781,7716.44139629
IC,SSE,31.0948,121.1908,40.0,52.6644203565,10240.9386097
IC,QIZ,19.0291,109.8445,240.0,54.2679355975,8492.46523481
MS,BTDF,1.3617,103.775002,57.0,63.1520378113,6640.76478405
II,COCO,-12.1901,96.8349,1.0,70.1665683157,5073.63403316
IU,DAV,7.0697,125.5791,151.0,73.7807155349,8886.36883952
II,KAPI,-5.0142,119.7517,300.0,80.0027425471,7557.70483527
IU,WAKE,19.2834,166.652,20.0,86.8844938878,13308.5674362
IU,MBWA,-21.159,119.7313,190.0,94.9964307203,6570.21535527
II,WRAB,-19.9336,134.36,366.0,101.634256997,7947.68221798
G,AIS,-37.796349,77.569183,35.9,103.07850849,2159.97723378
IU,CTAO,-20.08765,146.24998,367.0,108.122787066,8976.47489782
G,PVC,-17.74,168.311996,80.0,119.231873451,10963.1069538
G,CAN,-35.318714,148.996323,700.0,122.413633863,8257.82021044
II,TAU,-42.9099,147.3204,132.0,128.498156534,7693.72825279
IU,RAO,-29.245,-177.929,60.0,136.437664404,11027.5388512
G,PAF,-49.351,70.210708,17.0,142.993056263,2031.37903149
IU,RAR,-21.2125,-159.7733,28.0,145.852347687,12795.4433784
IU,CASY,-66.2792,110.5354,10.0,151.149249111,4961.81336281
G,CCD,-75.1065,123.305,3240.0,161.714573425,5618.03945509
GT,VNDA,-77.517273,161.852753,121.1,166.126473545,6569.72584963
IU,QSPA,-89.9289,144.4382,2850.0,179.912155852,6038.50318943
G,CRZF,-46.43096,51.855308,140.0,185.866201379,1187.6593541
II,RPN,-27.1267,-109.3344,110.0,196.869741833,12808.8928553
IU,PMSA,-64.7744,-64.0489,40.0,204.038761585,7613.57802192
G,COYC,-45.57299,-72.08139,235.0,214.883085695,9468.62403312
II,HOPE,-54.2836,-36.4879,20.0,221.614203778,6866.00830995
IU,TRQA,-38.0568,-61.9787,540.0,225.531475743,9476.08468161
IU,LVC,-22.6127,-68.9111,2960.0,232.31366633,11150.7044259
II,NNA,-11.9875,-76.8422,575.0,234.063224293,12584.7456028
G,SPB,-23.592691,-47.426979,647.0,244.628487468,9423.36609958
G,TRIS,-37.0681,-12.3152,60.0,247.784978018,5772.37030318
IU,PTGA,-0.7308,-59.9666,237.0,255.038634599,12055.7872734
CU,MTDJ,18.22605,-77.53454,925.0,261.002598683,14846.0001263
II,SUR,-32.3797,20.8117,1770.0,267.677021439,3019.66984699
II,SHEL,-15.9594,-5.7455,537.0,274.412775228,6223.88972638
II,ASCN,-7.9327,-14.3601,173.0,276.535157057,7498.38711086
GT,LBTB,-25.0151,25.596649,1128.0,286.460496865,2915.62989345
IU,TSUM,-19.2022,17.5838,1260.0,288.007886853,3959.28810908
G,WFM,42.611,-71.490997,87.0,296.521420704,15288.7767984
IU,LSZ,-15.2779,28.1882,1200.0,305.655394057,3386.39139871
II,CMLA,37.7637,-25.5243,429.0,306.864600134,11504.9083733
G,BNG,4.435,18.547001,378.0,313.33987659,5749.92748027
II,MBAR,-0.6019,30.7382,1390.0,323.868436315,4549.31481495
G,SSB2,45.278999,4.542,700.0,327.825872437,10236.7780771
G,FOMA,-24.97565,46.978877,28.0,330.998347715,1349.83749868
II,ABPO,-19.018,47.229,1528.0,340.244638051,1957.0339295
G,ATD,11.530725,42.846634,610.0,346.005069928,5355.70139333
II,RAYN,23.5225,45.5032,631.0,351.547874784,6618.85070367
