id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usb000sea0,2014-09-10 04:29:03.930000,-41.5651765641,85.3394763095,5.37,us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,81.3845995684,74.8012579609,32.9285009451,232.630517942,233.705460038,44.4689014716,1,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,usc000s88k,2014-08-29 21:16:44.580000,-41.9695699826,84.6002714804,5.5,5.42212214684,3.74155800859,2.25750054611,39.4468250235,228.771538508,55.6669842595,1,1
usb000sea0,2014-09-10 04:29:03.930000,-41.5651765641,85.3394763095,5.37,usc000s88k,2014-08-29 21:16:44.580000,-41.9695699826,84.6002714804,5.5,76.1276678541,75.6702459946,9.03884171194,233.597359416,54.4755998396,8.08635374872,1,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,31.8969655493,30.3514107611,16.9226822976,232.428328762,53.5657131595,54.8374164111,1,1
usb000sea0,2014-09-10 04:29:03.930000,-41.5651765641,85.3394763095,5.37,usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,113.279743338,59.6698694263,60.6833589183,232.427083989,119.164856318,79.9946179216,1,1
usc000s88k,2014-08-29 21:16:44.580000,-41.9695699826,84.6002714804,5.5,usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,37.2004575171,38.0999869681,5.65870877539,230.524245125,51.3602641526,9.14299048611,1,1
usp000g4rs,2008-04-24 21:06:38.140000,-41.8488811718,84.7661115684,5.0,usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,56.3673385281,59.3370094081,48.4067888562,228.806068095,225.381599534,74.1489145652,1,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,9.62549976766,9.62546433467,1.86927219411,233.784348608,53.8462189269,16.8197529122,1,1
usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,22.2753260872,18.7370697499,13.7843600717,52.0475561697,232.283971108,66.2322777477,1,1
usp000g4rs,2008-04-24 21:06:38.140000,-41.8488811718,84.7661115684,5.0,gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,34.1390750189,29.9037347187,17.4704474085,226.915721265,227.151774623,64.780232047,1,1
usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,31.491049047,16.5113151652,20.8607940371,74.5029611407,100.034057353,53.3420559066,1,1
usp0009kbc,1999-12-26 21:57:08.460000,-41.5159785995,85.3964443014,5.4,gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,98.1136302173,68.5948224749,23.3990750651,231.805256821,245.885199453,28.3822297442,1,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,usp000g4rs,2008-04-24 21:06:38.140000,-41.8488811718,84.7661115684,5.0,24.6057720204,21.3027992792,19.2505474243,44.4267027848,224.284866726,86.3804897715,1,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,40.651097299,22.1419713474,17.4342172546,249.457833451,80.8124218597,37.1661082177,1,1
usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,13.7963398653,3.82262128324,13.3569437821,292.279826516,112.383464598,60.5870249177,1,1
usp000g4rs,2008-04-24 21:06:38.140000,-41.8488811718,84.7661115684,5.0,usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,63.8009899531,67.9215424299,18.3266443545,239.927963283,75.9043408121,21.9004968552,1,1
usp0007k24,1996-06-21 03:50:53.910000,-42.1522585788,84.4449689641,5.3,usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,28.7245438245,51.455104499,46.8757256123,273.760807031,216.727696844,82.3134305825,1,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,usp000f6ja,2007-03-12 08:07:59.690000,-41.5357604566,85.3780271468,5.5,85.9262713746,86.6368109066,17.9262463597,52.7218249984,230.734017158,18.6926360148,1,1
usb000sea0,2014-09-10 04:29:03.930000,-41.5651765641,85.3394763095,5.37,usp000f6ja,2007-03-12 08:07:59.690000,-41.5357604566,85.3780271468,5.5,4.58462048739,4.58442680014,0.870275395537,44.5643916323,224.558330359,13.2451312573,1,1
