id,time,lat,lon,mag,group
usp00011qf,1979-07-04 21:54:38.700000,-42.369,83.973,5.856,-1
usp000124u,1979-07-29 22:08:56,-41.195,85.467,5.451,-1
usp0001519,1980-01-16 17:29:39.900000,-41.201,85.549,5.37,-1
usp0001edv,1981-06-29 09:35:57.910000,-41.841,84.803,5.451,-1
usp0001h25,1981-11-20 12:00:16.330000,-41.654,85.068,5.451,-1
usp0001w7s,1983-06-20 22:41:54.100000,-42.769,83.57,5.694,-1
usp0001xeg,1983-08-07 00:59:40.090000,-42.957,83.714,5.451,-1
usp0001xpp,1983-08-15 06:43:22.890000,-41.745,84.62,5.451,-1
usp00043wr,1990-01-04 18:54:31.520000,-41.6,85.278,5.1,-1
usp0004f3w,1990-09-27 06:26:26.440000,-42.611,83.842,5.451,-1
usp0004f56,1990-09-28 16:50:59.290000,-41.243,85.491,5.2,-1
usp00067yu,1994-02-03 15:43:43.820000,-41.886,84.49,5.6,-1
usp00067yv,1994-02-03 16:07:25.810000,-41.478,84.861,5.532,-1
usp00067z0,1994-02-03 17:04:09.010000,-42.117,84.372,5.451,-1
usp0006v81,1995-04-05 23:50:10.530000,-41.6529291402,85.3504127488,5.2,1
usp0007k24,1996-06-21 03:50:53.910000,-42.1522585788,84.4449689641,5.3,1
usp000960h,1999-04-09 08:16:34.180000,-42.3887227296,84.1229918375,5.6,1
usp00097pe,1999-05-09 18:56:04.770000,-42.9121111034,83.6945647603,5.7,1
usp0009kbc,1999-12-26 21:57:08.460000,-41.5159785995,85.3964443014,5.4,1
usp000aq8b,2001-10-05 00:31:56.650000,-42.2178993032,84.2350062061,5.3,1
usp000dz09,2005-09-08 12:57:49.240000,-41.9695633167,84.6002768145,5.5,1
usp000f6ja,2007-03-12 08:07:59.690000,-41.5357604566,85.3780271468,5.5,1
usp000f9up,2007-04-16 07:28:57.610000,-41.738,84.755,5.0,-1
usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,1
usp000fcxt,2007-05-28 16:26:19.120000,-42.038,85.028,5.0,-1
usp000ffm7,2007-07-06 19:05:32.010000,-42.031,85.0,5.0,-1
usp000g2tj,2008-03-31 14:48:41.810000,-42.113,85.558,5.1,-1
usp000g4rs,2008-04-24 21:06:38.140000,-41.8488811718,84.7661115684,5.0,1
gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,1
usp000gphs,2008-11-27 09:17:48.130000,-41.614,85.098,5.3,-1
usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,1
usp000h31j,2009-10-16 03:31:34.510000,-41.635,84.957,5.2,-1
usp000jf1g,2012-02-17 14:35:42.660000,-42.024,84.932,5.3,-1
usc000s88k,2014-08-29 21:16:44.580000,-41.9695699826,84.6002714804,5.5,1
usb000sea0,2014-09-10 04:29:03.930000,-41.5651765641,85.3394763095,5.37,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,1
us10007th8,2016-12-28 04:31:00.490000,-42.857,83.5305,5.37,-1
us1000ceuw,2018-02-02 23:30:02.170000,-41.7222,85.0933,5.1,-1
us2000g264,2018-07-07 23:10:47.610000,-41.8962,84.6997,5.4,-1
