id,time,lat,lon,mag,group
usp0006v81,1995-04-05 23:50:10.530000,-41.6529291402,85.3504127488,5.2,1
usp0007k24,1996-06-21 03:50:53.910000,-42.1522585788,84.4449689641,5.3,1
usp000960h,1999-04-09 08:16:34.180000,-42.3887227296,84.1229918375,5.6,1
usp00097pe,1999-05-09 18:56:04.770000,-42.9121111034,83.6945647603,5.7,1
usp0009kbc,1999-12-26 21:57:08.460000,-41.5159785995,85.3964443014,5.4,1
usp000aq8b,2001-10-05 00:31:56.650000,-42.2178993032,84.2350062061,5.3,1
usp000dz09,2005-09-08 12:57:49.240000,-41.9695633167,84.6002768145,5.5,1
usp000f6ja,2007-03-12 08:07:59.690000,-41.5357604566,85.3780271468,5.5,1
usp000famj,2007-04-26 01:47:37.880000,-42.1347726245,84.0982798757,5.0,1
usp000g4rs,2008-04-24 21:06:38.140000,-41.8488811718,84.7661115684,5.0,1
gcmtc200808151618a,2008-08-15 16:18:24,-42.0584355782,84.4648915727,5.0,1
usp000gqks,2008-12-14 16:25:24.890000,-42.1819668214,84.2526947095,5.1,1
usc000s88k,2014-08-29 21:16:44.580000,-41.9695699826,84.6002714804,5.5,1
usb000sea0,2014-09-10 04:29:03.930000,-41.5651765641,85.3394763095,5.37,1
us10004ail,2015-12-26 04:43:15.180000,-42.0072737948,84.5587103751,5.4,1
