id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp0004rd7,1991-05-08 08:51:40.340000,-22.043,68.322,5.451,7786.15276038,0.0,119.76469409
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000budg,2003-04-05 03:47:39.860000,-22.848,69.353,5.1,7904.02347499,0.351,1.89397948
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000c8by,2003-09-22 23:17:53.470000,-23.935,69.586,5.2,7945.0441603,0.251,39.12670583
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000fucc,2007-12-13 07:09:43.040000,-23.982,69.569,5.1,7944.10005268,0.351,38.18259821
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000fuj8,2007-12-16 06:35:51.470000,-23.095,69.223,5.2,7894.76901889,0.251,11.14843558
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000gb7k,2008-07-03 09:10:28.340000,-23.966,69.596,5.1,7946.55656117,0.351,40.6391067
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000ggjs,2008-09-07 02:05:33.690000,-23.71,69.493,5.4,7932.00979353,0.051,26.09233906
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000h5k4,2010-01-01 14:31:10.130000,-22.874,69.345,5.2,7903.62216663,0.251,2.29528784
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000htky,2011-01-24 15:52:54.780000,-22.588,69.675,5.2,7932.72076585,0.251,26.80331138
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usp000j3bc,2011-06-17 22:08:19.920000,-23.878,69.531,5.4,7938.57518368,0.051,32.65772921
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,usc000svxr,2014-11-10 02:39:02.510000,-23.9776,69.5585,5.532,7942.9712551,0.081,37.05380063
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,us2000b2cx,2017-10-07 02:38:07.180000,-23.8544,69.1474,5.37,7899.54878049,0.081,6.36867398
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,us2000j7ut,2019-01-21 09:55:26.900000,-22.8513,69.1853,5.4,7887.04169029,0.051,18.87576418
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,us70008yn9,2020-04-17 16:30:48.433000,-23.7004,69.4374,5.8,7926.24492218,0.349,20.32746771
usp0004cmd,1990-07-27 14:55:44.330000,-22.865,69.369,5.451,7905.91745447,us6000a0hj,2020-05-27 21:09:10.811000,-23.7648,69.5742,5.3,7941.08847926,0.151,35.17102479
usp0004rd7,1991-05-08 08:51:40.340000,-22.043,68.322,5.451,7786.15276038,usp000budg,2003-04-05 03:47:39.860000,-22.848,69.353,5.1,7904.02347499,0.351,117.87071461
usp0004rd7,1991-05-08 08:51:40.340000,-22.043,68.322,5.451,7786.15276038,usp000fuj8,2007-12-16 06:35:51.470000,-23.095,69.223,5.2,7894.76901889,0.251,108.61625851
usp0004rd7,1991-05-08 08:51:40.340000,-22.043,68.322,5.451,7786.15276038,usp000h5k4,2010-01-01 14:31:10.130000,-22.874,69.345,5.2,7903.62216663,0.251,117.46940625
