id,time,lat,lon,mag,group
iscgem895056,1951-12-23 06:30:22,-52.186,139.725,6.2,-1
iscgem883706,1958-01-17 07:15:42,-51.822,139.812,6.3,-1
iscgem884522,1958-06-07 12:55:08,-52.835,140.163,5.8,-1
iscgem882702,1959-08-21 08:03:19,-50.408,139.394,6.2,-1
iscgem882703,1959-08-21 08:05:38,-50.582,139.193,6.1,-1
iscgem882704,1959-08-21 09:37:53,-50.307,139.285,6.0,-1
iscgem877779,1961-12-05 13:01:05,-50.864,139.395,6.3,-1
iscgem875048,1962-07-16 02:04:55,-52.143,139.299,5.7,-1
iscgem866400,1964-07-28 18:40:06,-51.325,139.308,6.2,-1
iscgem859200,1965-02-04 03:25:00,-51.84,139.741,6.1,-1
iscgem793407,1970-07-02 00:56:14,-51.015,139.266,6.1,-1
usp00002v9,1973-07-26 13:39:15.800000,-52.801,140.04,5.856,-1
usp0000464,1973-11-16 23:08:49,-51.183,139.528,5.996,-1
usp00006zc,1974-07-02 07:15:46.100000,-54.139,140.206,5.694,-1
usp00008kx,1974-10-29 09:51:19.900000,-51.821,139.439,5.624,-1
usp00008pt,1974-11-05 19:21:55.600000,-53.117,140.209,5.451,-1
usp0000aju,1975-04-11 00:10:35.100000,-50.803,139.095,6.306,-1
usp0000av5,1975-05-01 03:20:31.600000,-52.758,140.4,5.81,-1
usp0000b8b,1975-05-30 17:46:24.500000,-50.416,139.351,6.182,-1
usp0000b8c,1975-05-30 17:49:41.500000,-50.067,139.263,5.694,-1
usp0000epc,1976-01-23 18:33:30.300000,-50.319,139.562,6.058,-1
usp0000fw1,1976-04-14 15:26:16.800000,-51.905,139.471,6.244,-1
usp0000g9g,1976-05-11 11:29:06.200000,-51.506,139.678,6.182,-1
usp0000g9k,1976-05-11 15:50:41.600000,-51.603,139.683,6.492,-1
usp0000svq,1978-02-08 09:29:10.500000,-53.723,140.621,5.532,-1
usp0000t5q,1978-02-27 00:37:24.200000,-53.795,140.797,5.81,-1
usp00018pr,1980-07-06 12:23:00.500000,-51.129,139.247,5.624,-1
usp00018ps,1980-07-06 12:25:42,-51.019,139.359,5.81,-1
