id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us20003j4t,2015-09-13 07:57:33.460000,24.8845062952,-109.551257185,5.6,us10003006,2015-08-07 04:35:01.920000,24.0135296225,-109.020050414,5.613,110.490570665,107.223961335,99.8377971452,150.714644458,149.657554712,86.6903595723,1,1
usb000sjt0,2014-10-08 02:40:53.110000,23.6982993624,-108.70871575,6.1,usp000hncm,2010-10-21 17:53:13.570000,24.768376595,-109.420426789,6.7,138.826971744,138.835148962,19.8158772251,328.766639378,328.481526582,6.57971735262,1,1
usb000sjt0,2014-10-08 02:40:53.110000,23.6982993624,-108.70871575,6.1,usp000hnax,2010-10-20 06:58:13.940000,24.6597445976,-109.294053378,5.8,121.973488251,115.739141568,20.6228087463,330.935396907,329.432972519,11.3280143878,1,1
us20003j4u,2015-09-13 08:14:08.560000,24.9133566945,-109.622291897,6.7,usp000hncm,2010-10-21 17:53:13.570000,24.768376595,-109.420426789,6.7,25.9663275367,25.9679812392,14.9783738671,128.162394951,128.20247897,51.8532115487,1,1
us20003j4t,2015-09-13 07:57:33.460000,24.8845062952,-109.551257185,5.6,usp000hnax,2010-10-20 06:58:13.940000,24.6597445976,-109.294053378,5.8,36.0068426347,36.0098340385,34.8954644736,133.690595662,132.517187762,89.5018818413,1,1
us10003006,2015-08-07 04:35:01.920000,24.0135296225,-109.020050414,5.613,usp000hnax,2010-10-20 06:58:13.940000,24.6597445976,-109.294053378,5.8,76.7884591283,76.7853005502,4.79044669371,338.825378773,338.825617129,2.84866817591,1,1
usp000hnax,2010-10-20 06:58:13.940000,24.6597445976,-109.294053378,5.8,usp000fm5s,2007-09-01 19:14:22.640000,24.6414320766,-109.961847319,6.1,67.63361507,66.4467402899,46.7181691594,268.420639272,268.213514074,64.4052910649,1,1
usp000hnax,2010-10-20 06:58:13.940000,24.6597445976,-109.294053378,5.8,usp00069un,1994-03-18 02:20:18.750000,24.7338085897,-109.362167894,5.7,10.7152917568,10.7150062736,5.7307321993,319.97729683,319.953946627,38.3505700837,1,1
us20003j4t,2015-09-13 07:57:33.460000,24.8845062952,-109.551257185,5.6,usp000hnam,2010-10-20 04:15:34.820000,24.6270079044,-109.257813889,5.9,41.164792011,44.8863783378,35.8727905696,133.798196032,133.799265132,68.2646402314,1,1
us10003006,2015-08-07 04:35:01.920000,24.0135296225,-109.020050414,5.613,usp000hnam,2010-10-20 04:15:34.820000,24.6270079044,-109.257813889,5.9,72.1086685643,71.9000322911,10.9559854545,340.49639678,339.381882469,5.54866866206,1,1
