id,time,lat,lon,mag,group
iscgem892495,1952-02-17 17:28:59,23.841,-108.014,5.8,-1
iscgem892574,1952-03-05 15:46:10,23.662,-108.76,6.4,-1
iscgem887419,1957-10-24 21:44:32,24.79,-109.245,6.2,-1
iscgem885682,1958-12-10 21:49:25,24.397,-109.119,6.1,-1
iscgem878462,1960-03-06 04:11:58,23.93,-108.427,6.1,-1
iscgem847550,1966-05-18 07:32:06,24.97,-109.085,5.9,-1
iscgem805985,1969-08-18 01:39:25,24.881,-109.117,6.0,-1
iscgem805990,1969-08-18 03:21:54,24.679,-109.222,5.6,-1
iscgem788372,1971-01-19 03:16:56,23.757,-108.692,6.0,-1
usp0000c9z,1975-08-02 17:15:05.500000,23.915,-108.745,5.37,-1
usp0000uu8,1978-05-30 11:15:41,24.807,-109.056,5.37,-1
usp00013a6,1979-10-08 06:00:23.200000,24.234,-108.894,5.37,-1
usp0001gc4,1981-10-09 04:09:38.090000,23.97,-108.704,5.451,-1
usp0001jr8,1982-02-20 21:50:55.320000,24.855,-108.787,5.562,-1
usp0001md0,1982-05-17 19:54:52.490000,24.124,-109.049,5.532,-1
usp0001wr3,1983-07-12 03:39:27.740000,23.952,-108.293,5.81,-1
usp000201j,1983-11-25 09:23:28.120000,24.254,-108.743,5.451,-1
usp000281e,1984-10-09 23:02:28.820000,24.886,-109.01,5.6,-1
usp000369h,1987-07-03 09:52:57.370000,24.066,-108.788,5.6,-1
usp000369y,1987-07-03 15:05:34.110000,24.027,-108.813,5.4,-1
usp00037q7,1987-08-21 23:00:52.840000,23.893,-108.738,5.5,-1
usp0003yny,1989-08-20 14:36:36.790000,24.234,-109.295,5.37,-1
usp00046pp,1990-03-16 15:52:42.630000,24.897,-109.035,6.1,-1
usp0004g4q,1990-10-25 03:24:09.150000,23.83,-108.715,5.3,-1
usp0004ktb,1991-01-17 17:22:52.490000,23.686,-108.877,5.3,-1
usp0004t92,1991-06-22 00:30:26.480000,23.915,-108.549,6.2,-1
usp0004tg9,1991-06-27 19:42:41.190000,24.361,-108.233,5.5,-1
usp00050yx,1991-12-26 00:25:37.210000,24.969,-109.833,5.532,-1
usp00069un,1994-03-18 02:20:18.750000,24.7320458764,-109.369512847,5.7,1
usp0007vsz,1997-01-12 15:02:18.900000,23.867,-108.335,5.37,-1
usp0007x1s,1997-02-10 20:17:25.360000,24.719,-109.152,5.37,-1
usp0008pry,1998-06-11 23:09:10.900000,24.904,-109.405,5.3,-1
usp0008r4h,1998-07-07 20:01:35.900000,23.714,-108.395,5.5,-1
usp0008xne,1998-11-05 14:47:02.870000,23.643,-108.787,5.5,-1
usp0009bq6,1999-07-16 13:45:25.580000,23.775,-108.708,5.3,-1
usp000aee5,2001-05-04 16:07:57.560000,24.07,-108.695,5.3,-1
usp000arwm,2001-10-30 03:24:28.750000,24.139,-109.002,5.4,-1
usp000ckse,2004-02-09 00:01:46,23.753,-108.784,5.1,-1
usp000cksf,2004-02-09 00:04:08.520000,23.68,-108.774,5.2,-1
usp000cmfn,2004-02-18 10:59:19.380000,23.8040099672,-108.904068433,5.9,1
usp000ds95,2005-06-05 08:28:50.900000,23.5992728756,-108.623737194,5.6,1
usp000fgds,2007-07-17 04:13:48.260000,24.55,-109.089,5.3,-1
usp000fm5s,2007-09-01 19:14:22.640000,24.6412853743,-109.962687483,6.1,1
usp000fm65,2007-09-01 23:35:26.070000,24.502,-109.915,5.0,-1
usp000fm8h,2007-09-02 11:04:46.550000,24.615,-109.824,5.2,-1
usp000fmtc,2007-09-10 00:20:18.410000,24.772,-109.732,5.1,-1
usp000fng8,2007-09-17 00:16:31.620000,24.489,-109.85,5.4,-1
usp000gs7c,2009-01-05 10:59:30.470000,23.808,-108.757,5.5,-1
usp000hnak,2010-10-20 04:09:42.820000,24.6682529588,-109.325948138,5.9,1
usp000hnam,2010-10-20 04:15:34.820000,24.6283143766,-109.259623128,5.9,1
usp000hnax,2010-10-20 06:58:13.940000,24.6579775715,-109.301417302,5.8,1
usp000hncm,2010-10-21 17:53:13.570000,24.7700669737,-109.418952818,6.7,1
usp000hncn,2010-10-21 17:59:00.640000,24.6811939071,-109.400142561,5.613,1
usp000hnhv,2010-10-25 10:06:14.480000,24.587,-109.2,5.1,-1
usp000j5hx,2011-07-26 19:40:27.590000,24.957,-109.533,5.1,-1
usp000jj1u,2012-04-16 03:27:40.750000,23.952,-108.793,5.3,-1
usb000sjt0,2014-10-08 02:40:53.110000,23.6883904076,-108.750267447,6.1,1
usc000t9y1,2014-12-25 06:45:42.120000,24.4153,-109.0765,5.451,-1
us10003006,2015-08-07 04:35:01.920000,24.013133693,-109.027262742,5.613,1
us1000300a,2015-08-07 05:53:57.500000,24.1451,-108.5609,5.3,-1
us1000300q,2015-08-07 06:52:20.160000,24.0263,-108.8003,5.2,-1
us20003j4l,2015-09-13 07:40:36.570000,24.9056,-109.6985,5.3,-1
us20003j4t,2015-09-13 07:57:33.460000,24.877907665,-109.563618553,5.6,1
us20003j4u,2015-09-13 08:14:08.560000,24.9149129891,-109.620957253,6.7,1
us20003j54,2015-09-13 08:27:12.440000,24.9529,-109.7119,5.532,-1
us1000h8pv,2018-10-08 12:05:56.150000,23.6344,-108.9329,5.5,-1
us2000jazu,2019-01-31 00:16:48.840000,23.9435,-109.0615,5.3,-1
