id,time,lat,lon,mag,group
usp00069un,1994-03-18 02:20:18.750000,24.7611392174,-109.252916362,5.7,1
usp0006ce8,1994-05-12 00:22:23,24.9018228158,-109.454988437,5.6,1
usp0006zy0,1995-06-30 11:58:56.880000,24.6515440438,-110.250798625,6.2,1
usp0006zy5,1995-06-30 13:41:42.900000,24.370699775,-110.331712522,5.7,1
usp000dgrs,2005-02-22 19:15:49.910000,25.7138205898,-110.02241304,5.6,1
usp000fm5s,2007-09-01 19:14:22.640000,24.7030299237,-109.841717926,6.1,1
usp000gyws,2009-07-03 11:00:14.630000,25.1615127734,-109.791626693,6.0,1
usp000hnak,2010-10-20 04:09:42.820000,24.6930998106,-109.199126504,5.9,1
usp000hnam,2010-10-20 04:15:34.820000,24.6433317111,-109.13732539,5.9,1
usp000hnax,2010-10-20 06:58:13.940000,24.6814764873,-109.17574342,5.8,1
usp000hncm,2010-10-21 17:53:13.570000,24.8027048136,-109.288121864,6.7,1
usp000hncn,2010-10-21 17:59:00.640000,24.6895257676,-109.294270127,5.613,1
usp000hwfy,2011-03-12 13:25:59.840000,25.2378234324,-109.862400906,5.6,1
usp000j5hr,2011-07-26 17:44:20.380000,25.0108470746,-109.567507287,6.0,1
usp000jsz4,2012-09-25 23:45:24.940000,24.7260562359,-110.236627704,6.3,1
usp000jtqn,2012-10-08 06:26:23.020000,25.095797034,-109.681866243,5.9,1
usp000jyce,2013-01-13 16:28:26.220000,25.7826374772,-110.148105047,5.7,1
us10003006,2015-08-07 04:35:01.920000,24.0332383942,-108.880629472,5.613,1
us20003j4t,2015-09-13 07:57:33.460000,24.8950420706,-109.456352387,5.6,1
us20003j4u,2015-09-13 08:14:08.560000,24.9567509575,-109.49167205,6.7,1
us20008vll,2017-03-29 15:15:23.470000,25.7127782576,-110.023618753,5.7,1
