net,sta,lat,lon,dep,azi,dist
II,BRVK,53.0581,70.2828,330.0,0.1229200664,11358.5750637
IU,RSSD,44.1212,-104.0359,2090.0,11.82199913,2180.49924756
IU,ANMO,34.94591,-106.4572,1820.0,14.226059304,1142.95735929
II,OBN,55.1146,36.5674,160.0,18.6802431056,10561.9812599
IU,SFJD,66.9961,-50.62076,330.0,24.1396170672,6135.25973048
G,IVI,61.205808,-48.171178,15.0,31.322028444,6075.98640349
G,CLF,48.025791,2.26,145.0,38.594768568,9457.06029653
IU,CCM,38.0557,-91.2446,222.0,45.5967033743,2253.45335581
IU,WCI,38.2289,-86.2939,210.0,50.5543892819,2636.01112412
IU,WVT,36.1297,-87.83,170.0,54.0481862002,2411.38506306
IU,HKT,29.96478,-95.83812,69.0,64.7230237051,1458.93716821
IU,BBSR,32.371299,-64.696299,30.0,68.7372939957,4424.38100548
IU,DWPF,28.1103,-81.4327,30.0,76.7044905345,2813.67940597
II,ABPO,-19.018,47.229,1528.0,78.786513388,17543.9195465
CU,GRTK,21.51149,-71.1327,12.0,87.5520571623,3934.05082482
CU,GTBY,19.9268,-75.1108,79.0,91.9620402376,3575.76826887
IU,TEIG,20.2263,-88.2763,40.0,99.2816336241,2243.83372812
IU,SDV,8.8839,-70.634,1620.0,106.468087794,4486.28677395
CU,TGUH,14.057,-87.273,1151.0,113.280531808,2623.66025658
G,UNM,19.329662,-99.178062,2280.0,118.381501443,1235.90837966
IU,OTAV,0.2376,-78.4508,3510.0,124.575746449,4321.00517727
II,NNA,-11.9875,-76.8422,575.0,135.245096809,5413.89117318
IU,PAYG,-0.6742,-90.2861,270.0,141.014047826,3514.8753314
G,PEL,-33.143607,-70.67494,700.0,145.583874126,7637.19886913
G,COYC,-45.57299,-72.08139,235.0,154.124277197,8683.57552482
IU,PMSA,-64.7744,-64.0489,40.0,162.12406212,10691.5756819
II,RPN,-27.1267,-109.3344,110.0,179.79286182,5765.95112537
IU,SPA,-90.0,0.0,2927.0,180.0,12766.2143024
IU,SBA,-77.8492,166.7572,50.0,193.184607873,12554.7572105
IU,PTCN,-25.0713,-130.0953,220.0,203.339936647,5965.10365066
G,DRV,-66.664909,140.002075,40.0,205.672167631,13429.3401206
AU,MCQ,-54.4986,158.9561,14.0,218.548189263,12325.7032629
G,TAOE,-8.85492,-140.14775,800.0,225.457096028,5005.3557806
IU,RAR,-21.2125,-159.7733,28.0,231.218927598,7460.13226651
IU,RAO,-29.245,-177.929,60.0,234.687080828,9456.60073921
IU,AFI,-13.9085,-171.7827,706.0,244.731117918,8008.57396793
IU,XMAS,2.0448,-157.4457,20.0,251.487426978,5730.97758854
IU,KNTN,-2.7744,-171.7186,20.0,254.908698713,7374.76515293
IU,HNR,-9.4387,159.9475,100.0,261.791396164,10506.9681473
IU,TARA,1.3549,172.9229,20.0,266.040941308,8697.46319362
IU,POHA,19.7573,-155.5326,1990.0,272.608902869,4752.57335373
H2,H2O,27.88191,-141.99173,-4947.0,282.898486792,3245.79293379
IU,MIDW,28.2156,-177.3698,20.0,289.444908625,6677.62866567
MS,BTDF,1.3617,103.775002,57.0,304.584718763,15399.0139525
IU,MAJO,36.54567,138.20406,405.0,311.970133002,10182.7606169
IU,ADK,51.8823,-176.6842,130.0,317.007327342,6311.03123088
TS,PAS,34.14844,-118.17117,314.0,322.521878436,1316.05863518
II,PFO,33.6107,-116.4555,1280.0,326.46235697,1169.20301891
IM,NV32,38.334301,-118.2995,1829.0,332.85648737,1696.50567815
IM,IL19,64.746101,-146.797394,549.0,339.019173994,5160.22564944
IU,TIXI,71.6341,128.8667,40.0,343.877098942,8404.09866596
II,NRIL,69.5049,88.4414,92.0,353.767521039,9426.77244938
IM,PD11,42.752602,-109.576897,2182.0,359.85515445,1970.99543034
