id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us1000hit9,2018-10-29 23:26:08.990000,-4.62695185768,-106.076434463,5.8,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,126.274406231,122.992848719,18.5391272516,92.5038194829,93.0292247878,12.0112795654,1,1
us200062qw,2016-06-08 08:31:39.780000,-4.14351796021,-104.49730747,5.9,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,76.6420185402,76.6793295446,15.7247208035,219.794111621,220.022301057,18.5554161472,1,1
usc000lyi1,2014-01-07 23:02:53.360000,-4.61983231625,-106.134068913,5.7,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,132.698783014,132.091968897,14.8673605151,92.7273025111,92.0294046728,6.62075237837,1,1
usp000jx2w,2012-12-17 17:46:46.630000,-4.12622739438,-104.367110855,5.7,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,87.9198989049,88.758624588,53.9881375801,226.23949186,225.923472231,54.7254516026,1,1
usp000jrwf,2012-09-06 23:33:06.260000,-4.62672376031,-106.08135218,5.7,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,126.820652909,124.798565061,16.3053165125,92.5048302666,92.3417715408,10.2025351898,1,1
usp000j8ac,2011-09-20 02:40:22.690000,-4.66421271073,-105.392162574,5.7,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,50.2500273166,49.6471053618,10.080386377,91.4948494318,90.3172115104,17.8777386424,1,1
usp000h2ea,2009-10-06 01:59:39.290000,-4.63024258321,-105.077913801,5.7,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,16.1759472842,16.0646836295,13.1694763548,108.201436872,108.983129404,79.1300949371,1,1
usp000gh8u,2008-09-18 01:41:03.010000,-4.62813528801,-106.074445072,6.0,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,126.048217448,122.991225506,11.341563583,92.4486207521,92.3780840502,5.46313668966,1,1
usp000fhvp,2007-08-04 14:24:51.680000,-4.69229439941,-105.784574076,6.1,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,93.7879403509,92.4631082059,2.8450850236,88.9283541542,89.9006107474,1.9977957475,1,1
usp000bzt5,2003-06-13 18:24:04.050000,-4.64455497497,-105.05541629,5.8,us70008e91,2020-03-22 22:38:04.810000,-4.67592102456,-104.93941567,6.1,13.3298938852,14.8097974756,4.73057862057,105.086947229,110.115342576,26.5670344949,1,1
