id,time,lat,lon,mag,group
iscgem895834,1950-09-16 00:55:33,-5.07,-105.207,6.2,-1
iscgem892342,1952-01-01 07:04:30,-4.663,-106.244,6.1,-1
iscgem887843,1956-01-17 08:00:51,-4.942,-105.451,6.2,-1
iscgem884163,1958-04-10 23:12:59,-4.448,-106.044,6.2,-1
iscgem884730,1958-07-12 00:48:34,-4.741,-106.111,6.3,-1
iscgem885037,1958-08-27 02:25:39,-3.97,-104.695,6.0,-1
iscgem879590,1960-06-21 08:34:41,-4.627,-105.531,5.8,-1
iscgem875633,1962-11-08 00:33:11,-4.703,-105.601,5.8,-1
iscgem778373,1971-11-07 14:12:27,-4.544,-105.609,5.9,-1
usp00001zd,1973-05-30 16:32:22.100000,-4.083,-104.105,5.562,-1
usp00002xz,1973-07-31 20:13:37.700000,-4.325,-105.785,5.748,-1
usp00007rc,1974-08-23 16:52:03,-4.552,-105.444,5.686,-1
usp0000bz0,1975-07-11 07:08:39.400000,-4.611,-105.018,5.996,-1
usp0000dgt,1975-11-10 13:02:57.100000,-4.384,-105.621,5.562,-1
usp0000gtt,1976-06-10 13:10:39,-5.298,-104.811,5.5,-1
usp0000wgw,1978-09-12 06:00:38.100000,-4.562,-106.173,6.058,-1
usp0001a4w,1980-10-08 20:19:46.500000,-4.864,-105.921,5.872,-1
usp0001hhn,1981-12-20 09:07:32.380000,-4.395,-105.304,5.5,-1
usp0001mce,1982-05-16 15:24:07.020000,-3.951,-104.371,5.562,-1
usp0001mcj,1982-05-16 19:21:14.210000,-3.964,-104.326,5.37,-1
usp0001mug,1982-06-11 12:39:30.790000,-4.098,-104.324,5.5,-1
usp00022cs,1984-03-01 19:21:25.280000,-4.52,-105.993,6.0,-1
usp00024d5,1984-05-15 07:29:33.960000,-4.41,-104.874,5.6,-1
usp00026ta,1984-08-28 10:04:25.420000,-4.506,-105.716,5.8,-1
usp000281m,1984-10-10 05:43:50.970000,-4.642,-105.495,5.6,-1
usp0002bgu,1985-01-31 02:12:53.700000,-4.693,-105.133,5.37,-1
usp0002m02,1985-10-21 12:56:03,-4.456,-106.039,5.624,-1
usp0002q44,1986-01-16 14:00:07.540000,-4.167,-104.475,5.7,-1
usp0002s3q,1986-03-22 16:56:51.770000,-4.377,-104.701,6.1,-1
usp00037a3,1987-08-06 15:15:34.730000,-5.417,-105.015,5.7,-1
usp0003mk0,1988-10-06 14:05:10.910000,-3.989,-104.263,5.9,-1
usp0003qzd,1989-01-19 03:17:48.150000,-4.01,-105.707,6.0,-1
usp0003vp5,1989-05-26 14:28:37.820000,-4.406,-105.27,5.6,-1
usp0003y7e,1989-08-07 23:34:54.550000,-4.44,-104.876,5.7,-1
usp00045hr,1990-02-17 01:22:06.800000,-4.567,-105.583,5.9,-1
usp0004gdx,1990-11-01 06:06:53.250000,-4.479,-104.735,5.5,-1
usp0004yu6,1991-11-05 06:50:58.220000,-4.692,-105.904,5.7,-1
usp00058mv,1992-06-03 17:00:53.810000,-4.525,-104.682,5.7,-1
usp0005914,1992-06-13 08:58:27.750000,-4.772,-105.587,5.4,-1
usp0005axj,1992-07-16 06:35:38.430000,-4.522,-106.042,5.8,-1
usp0005dvw,1992-09-11 21:06:00.810000,-4.374,-104.65,5.6,-1
usp00060t8,1993-09-21 18:53:08.750000,-4.525,-105.723,5.8,-1
usp0007518,1995-10-12 15:34:33.820000,-4.74186284622,-105.592405699,5.4,1
usp00079v5,1995-12-30 03:26:10.980000,-4.66091267477,-104.985548447,6.1,1
usp0007nzb,1996-08-23 21:56:06.080000,-4.14575275395,-104.476067559,5.9,1
usp0007nzd,1996-08-23 22:18:57.050000,-4.14217959951,-104.339694692,5.8,1
usp0007zd5,1997-03-25 08:09:19.250000,-4.72886425362,-105.666311086,5.7,1
usp000804f,1997-04-07 17:52:56.600000,-4.6671076009,-105.393148199,5.7,1
