id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000b99x,2002-08-04 09:50:25.230000,-44.8257268068,-80.7334597825,5.9,us100085qu,2017-02-28 17:35:40.370000,-44.8015985659,-80.9371795796,5.6,16.3361854836,9.90078033566,6.73663531499,279.37513721,253.410119189,60.0312980945,1,1
usp00076zp,1995-11-17 02:40:50.460000,-44.6993919544,-80.1087276273,5.8,us100085qu,2017-02-28 17:35:40.370000,-44.8015985659,-80.9371795796,5.6,66.579305498,66.829307665,2.39427899126,259.886342284,260.366886712,2.78330625932,1,1
usp000jkj5,2012-05-18 02:00:39.490000,-44.7084314099,-80.1808243055,6.3,us20006hzu,2016-07-27 01:25:12.940000,-44.506322133,-79.2257881798,5.9,79.0702230125,76.2247134,10.2022189958,73.8342758203,73.4718544082,8.85854809962,1,1
usp000fbf8,2007-05-07 11:15:16.230000,-44.8222413272,-80.7834050457,6.1,us20006hzu,2016-07-27 01:25:12.940000,-44.506322133,-79.2257881798,5.9,128.417595779,129.333160333,15.5453453102,74.68333904,73.1175683271,6.04935566282,1,1
usp000bna7,2003-01-09 09:49:07.800000,-44.5156189701,-79.2871183711,5.9,us20006hzu,2016-07-27 01:25:12.940000,-44.506322133,-79.2257881798,5.9,4.98487357679,5.37676537792,2.88976513453,78.0606061011,69.853677257,45.3517791025,1,1
usp0008xpu,1998-11-06 08:01:11.480000,-44.515686497,-79.2408910256,5.9,us20006hzu,2016-07-27 01:25:12.940000,-44.506322133,-79.2257881798,5.9,1.58901804585,0.888293428213,1.30391138572,49.0960404034,64.7175990745,50.3413224796,1,1
usp000jkj5,2012-05-18 02:00:39.490000,-44.7084314099,-80.1808243055,6.3,usb000gzlm,2013-05-20 09:49:04.470000,-44.8057018161,-80.6239040463,6.4,36.7101816769,33.8250833996,27.3720123219,252.719467511,250.539627189,71.4048521079,1,1
usp000dt52,2005-06-15 19:52:24.820000,-44.6599126541,-80.3796757995,6.4,usb000gzlm,2013-05-20 09:49:04.470000,-44.8057018161,-80.6239040463,6.4,25.2336522229,29.6758717042,26.9507463441,229.969941602,252.900908277,79.0212321868,1,1
usp0005z5p,1993-08-25 05:25:32.270000,-44.7252706098,-80.9009896675,6.2,usb000gzlm,2013-05-20 09:49:04.470000,-44.8057018161,-80.6239040463,6.4,23.6873028718,7.81959483893,7.74824030101,112.266329719,88.5285852078,77.2065863939,1,1
usp000dt52,2005-06-15 19:52:24.820000,-44.6599126541,-80.3796757995,6.4,usp000jkj5,2012-05-18 02:00:39.490000,-44.7084314099,-80.1808243055,6.3,16.6612106208,4.54201886146,3.17188171012,108.951063359,64.9251760976,41.4794113486,1,1
us20006hzu,2016-07-27 01:25:12.940000,-44.506322133,-79.2257881798,5.9,usp000g7ay,2008-05-20 15:16:04.410000,-44.4803124654,-78.6931096115,5.6,42.4669227421,42.4649268966,4.66648583509,86.2842010063,266.33122956,6.43077596731,1,1
usp000bna7,2003-01-09 09:49:07.800000,-44.5156189701,-79.2871183711,5.9,usp000g7ay,2008-05-20 15:16:04.410000,-44.4803124654,-78.6931096115,5.6,47.4054207385,47.1567328295,4.59336960212,85.4609238163,81.5213934931,4.06130884223,1,1
usp0008xpu,1998-11-06 08:01:11.480000,-44.515686497,-79.2408910256,5.9,usp000g7ay,2008-05-20 15:16:04.410000,-44.4803124654,-78.6931096115,5.6,43.7431946445,54.1634628846,5.34328131451,85.0363723807,84.6523608657,4.00708989131,1,1
usp0008a3u,1997-11-05 06:09:14.010000,-44.4843655793,-78.5699324668,5.6,usp000g7ay,2008-05-20 15:16:04.410000,-44.4803124654,-78.6931096115,5.6,9.80952506569,2.53732043372,5.13801667316,272.588414049,154.367367148,56.2411091289,1,1
usb000gzlm,2013-05-20 09:49:04.470000,-44.8057018161,-80.6239040463,6.4,usp000fbf8,2007-05-07 11:15:16.230000,-44.8222413272,-80.7834050457,6.1,12.7499521468,12.750677003,3.37105482393,261.65528527,81.6549256642,22.5466359938,1,1
usp000jkj5,2012-05-18 02:00:39.490000,-44.7084314099,-80.1808243055,6.3,usp000fbf8,2007-05-07 11:15:16.230000,-44.8222413272,-80.7834050457,6.1,49.3530266994,37.3597848992,38.0454012815,254.939540804,72.6673786606,64.7578282012,1,1
