id,time,lat,lon,mag,group
iscgem881814,1959-04-19 07:26:16,-44.975,-80.377,6.0,-1
iscgem813968,1968-12-07 20:35:19,-44.983,-80.485,5.8,-1
usp00000ey,1973-02-08 09:38:43.700000,-44.96,-77.854,5.694,-1
usp00003mm,1973-10-01 00:37:40,-43.93,-82.292,5.562,-1
usp000048j,1973-11-23 20:15:30.400000,-44.972,-80.28,5.613,-1
usp00004bu,1973-11-29 17:07:29.400000,-44.285,-81.708,5.613,-1
usp000070f,1974-07-05 04:58:55.400000,-44.78,-80.009,5.532,-1
usp0000utu,1978-05-29 17:20:28.600000,-44.855,-79.413,6.12,-1
usp00015v7,1980-03-06 20:37:02.200000,-44.319,-82.084,5.775,-1
usp00016hs,1980-04-09 19:56:26,-44.612,-80.1,5.775,-1
usp0001p76,1982-08-23 15:18:55.820000,-44.84,-81.83,5.451,-1
usp0001p7j,1982-08-24 01:27:37.690000,-44.865,-81.452,5.532,-1
usp0001tcz,1983-02-28 22:44:19.540000,-43.977,-79.062,5.81,-1
usp000203b,1983-11-26 23:29:08.900000,-44.368,-80.147,5.613,-1
usp00020d6,1983-12-10 17:37:55.750000,-44.361,-78.13,5.562,-1
usp00027x2,1984-10-04 10:55:40.140000,-44.485,-78.454,5.37,-1
usp0002daj,1985-03-30 13:08:00.500000,-45.695,-78.444,5.532,-1
usp0002fr5,1985-06-11 02:03:20.180000,-44.968,-80.222,5.37,-1
usp000314z,1986-12-25 17:17:34.200000,-44.891,-80.105,6.4,-1
gcmtb122586a,1986-12-25 17:17:39,-44.46,-78.84,6.3,-1
usp0003406,1987-04-08 09:18:34.690000,-43.812,-78.887,5.5,-1
usp0003s5j,1989-02-21 22:08:54.760000,-44.462,-78.766,5.6,-1
usp0004mw5,1991-02-13 06:17:23.070000,-44.361,-79.529,5.7,-1
usp0004zca,1991-11-20 04:40:49.770000,-44.92,-80.956,5.6,-1
usp0005z5p,1993-08-25 05:25:32.270000,-44.7231940671,-80.7933475501,6.2,1
usp00076zp,1995-11-17 02:40:50.460000,-44.5936132916,-80.2111133169,5.8,1
usp0008a3u,1997-11-05 06:09:14.010000,-44.3890830184,-78.6780994997,5.6,1
usp0008enm,1998-01-19 18:23:59.660000,-44.6862578005,-80.5439379987,6.2,1
usp0008mpr,1998-05-08 17:42:21.870000,-45.692,-77.63,5.3,-1
usp0008xpu,1998-11-06 08:01:11.480000,-44.4196697758,-79.331042963,5.9,1
usp000903g,1998-12-24 08:56:40.140000,-44.314,-81.75,5.3,-1
usp000a9xx,2001-02-19 14:31:55,-44.6211823201,-80.3213572135,5.8,1
usp000b054,2002-03-11 23:45:14.780000,-44.6017054259,-80.199699551,5.7,1
usp000b8bs,2002-07-18 21:53:12.820000,-44.715,-79.754,5.2,-1
usp000b99x,2002-08-04 09:50:25.230000,-44.7389258226,-80.8113279369,5.9,1
usp000bna7,2003-01-09 09:49:07.800000,-44.4271985388,-79.3740317743,5.9,1
usp000dajd,2004-12-12 19:36:56.560000,-44.334,-82.13,5.4,-1
usp000dt52,2005-06-15 19:52:24.820000,-44.6324869188,-80.3170557061,6.4,1
usp000fbf8,2007-05-07 11:15:16.230000,-44.7517043566,-80.8719735004,6.1,1
usp000fc3j,2007-05-16 16:48:09.800000,-45.021,-80.722,5.4,-1
usp000fr53,2007-10-24 03:16:30.790000,-44.338,-81.367,5.0,-1
usp000g220,2008-03-22 13:22:59.470000,-44.057,-81.987,5.4,-1
usp000g7ay,2008-05-20 15:16:04.410000,-44.3704886308,-78.7429904599,5.6,1
usp000gufb,2009-02-28 00:50:08.550000,-45.114,-80.698,5.2,-1
usp000guxb,2009-03-12 11:03:10.560000,-45.019,-78.061,5.0,-1
usp000gx9h,2009-05-18 17:26:29.500000,-44.885,-80.76,5.1,-1
gcmtc200911241745a,2009-11-24 17:45:12,-45.5,-80.5,5.1,-1
usp000h52d,2009-12-15 11:34:43.210000,-44.475,-81.943,5.4,-1
usp000j8w2,2011-10-03 22:03:02.810000,-43.797,-82.633,5.0,-1
usp000j8w7,2011-10-03 23:22:11.590000,-44.519,-81.783,5.0,-1
usp000jchn,2011-12-23 04:18:42.450000,-44.313,-79.345,5.0,-1
usp000jkj5,2012-05-18 02:00:39.490000,-44.6099235985,-80.2495935011,6.3,1
usp000jyrc,2013-01-23 07:42:58.960000,-44.617,-79.084,5.4,-1
usb000gzlm,2013-05-20 09:49:04.470000,-44.7213379343,-80.6946801607,6.4,1
usc000ly6j,2014-01-07 12:06:09.640000,-44.4215,-79.2358,5.37,-1
usb000sf01,2014-09-22 18:35:46.670000,-44.4748,-81.8604,5.451,-1
usb000sqah,2014-10-24 11:21:21.420000,-44.3237,-82.0554,5.532,-1
usc000tvi4,2015-03-06 10:39:49,-44.4072,-78.3931,5.451,-1
us20006hzu,2016-07-27 01:25:12.940000,-44.4029830422,-79.3200876452,5.9,1
