id,time,lat,lon,mag,group
usp0005z5p,1993-08-25 05:25:32.270000,-44.8094524693,-80.6515744634,6.2,1
usp00076zp,1995-11-17 02:40:50.460000,-44.6897265064,-80.0658442838,5.8,1
usp0008a3u,1997-11-05 06:09:14.010000,-44.4760450469,-78.50593095,5.6,1
usp0008enm,1998-01-19 18:23:59.660000,-44.7712077273,-80.4025828258,6.2,1
usp0008xpu,1998-11-06 08:01:11.480000,-44.5083243302,-79.1873341301,5.9,1
usp000a9xx,2001-02-19 14:31:55,-44.717402251,-80.1762196852,5.8,1
usp000b054,2002-03-11 23:45:14.780000,-44.6915872301,-80.0628773743,5.7,1
usp000b99x,2002-08-04 09:50:25.230000,-44.8350487388,-80.6670472733,5.9,1
usp000bna7,2003-01-09 09:49:07.800000,-44.5271294491,-79.2373004666,5.9,1
usp000dt52,2005-06-15 19:52:24.820000,-44.7231142651,-80.1971794484,6.4,1
usp000fbf8,2007-05-07 11:15:16.230000,-44.8415919308,-80.7361885971,6.1,1
usp000g7ay,2008-05-20 15:16:04.410000,-44.4760736386,-78.5059117866,5.6,1
usp000jkj5,2012-05-18 02:00:39.490000,-44.7071017024,-80.1363617081,6.3,1
usb000gzlm,2013-05-20 09:49:04.470000,-44.8076088794,-80.5527713581,6.4,1
us20006hzu,2016-07-27 01:25:12.940000,-44.504911105,-79.1772336426,5.9,1
us100085qu,2017-02-28 17:35:40.370000,-44.8604325216,-80.787129489,5.6,1
