id,time,lat,lon,mag,group
iscgem895109,1950-01-03 11:06:28,-45.798,-77.077,6.3,-1
iscgem872979,1963-08-27 03:23:33,-45.936,-76.572,6.1,-1
usp00000bc,1973-01-30 15:03:23.900000,-45.684,-76.637,5.686,-1
usp0000b2n,1975-05-18 16:48:38.300000,-45.672,-76.501,5.694,-1
usp0002daj,1985-03-30 13:08:00.500000,-45.695,-78.444,5.532,-1
usp0002uqe,1986-06-02 22:29:53.170000,-45.654,-76.816,5.532,-1
usp00030ff,1986-11-28 17:27:01.130000,-45.545,-76.839,5.532,-1
usp00032ft,1987-02-14 15:24:01.810000,-45.847,-76.788,5.613,-1
usp0003ans,1987-11-29 07:57:21.650000,-45.715,-76.512,5.5,-1
usp0005tvt,1993-06-01 15:53:47.110000,-45.711,-77.211,5.9,-1
usp000669y,1994-01-10 18:21:58.020000,-45.958,-76.527,5.694,-1
usp0008mpr,1998-05-08 17:42:21.870000,-45.5903466029,-76.8828482332,5.3,1
usp0009cxu,1999-08-12 07:27:13.910000,-45.5932336189,-76.6055550228,5.5,1
usp000d7nv,2004-11-04 08:10:17.870000,-45.7913329857,-76.4515076627,5.0,1
usp000d7nw,2004-11-04 08:29:16.580000,-45.7769922219,-76.4511924266,5.3,1
usp000e1hs,2005-10-10 16:07:00.280000,-45.5250527758,-76.5759123004,5.1,1
usp000gy9u,2009-06-17 07:04:52.730000,-45.6268705482,-76.9505098844,5.2,1
usp000gyqt,2009-06-29 03:07:30.910000,-45.5567975425,-76.6948783249,5.3,1
usp000h1f6,2009-09-12 03:56:59.460000,-45.5756474418,-76.6837646245,5.0,1
usp000hz89,2011-04-04 07:54:35.940000,-45.5747233741,-76.6105564188,5.3,1
usp000j9jr,2011-10-19 20:45:10.450000,-45.6264570922,-77.165081317,5.2,1
usp000jd24,2012-01-05 00:54:31.110000,-45.7768879079,-76.4797478374,5.613,1
usp000jvgu,2012-11-13 04:31:26.760000,-45.761,-77.053,6.1,-1
usb000h0sl,2013-05-21 12:51:52.440000,-45.5560250148,-76.6378906298,5.613,1
usb000mzeu,2014-03-02 10:12:21.950000,-45.6934,-76.547,5.532,-1
usb000mzfd,2014-03-02 11:14:39.680000,-45.7372689318,-76.3143012175,5.613,1
usb000mzih,2014-03-02 16:18:28.280000,-45.6802867779,-76.5907265075,5.451,1
usb000mzjs,2014-03-02 17:03:41.700000,-45.6720716453,-76.5927348773,5.4,1
us2000a9je,2017-08-18 20:31:50.930000,-45.6192925282,-76.8323332584,5.1,1
us2000i7qy,2018-11-06 21:22:55.750000,-45.5671185696,-76.7040205377,5.3,1
us1000jh45,2019-03-16 17:54:33.291000,-45.5989847313,-76.7892562976,5.0,1
us70008jxh,2020-04-01 04:09:21.850000,-45.5917652595,-76.6243428629,5.2,1
