net,sta,lat,lon,dep,azi,dist
II,NNA,-11.9875,-76.8422,575.0,0.93425671109,3736.8414439
IU,BOCO,4.5869,-74.0432,3160.0,4.32603846058,5579.19405422
G,ICC,-20.284,-70.035004,950.0,15.8448433648,2897.50821094
IU,SDV,8.8839,-70.634,1620.0,8.17706612418,6082.05041937
IU,LCO,-29.011,-70.7005,2274.0,19.8213069736,1941.92658308
IU,LVC,-22.6127,-68.9111,2960.0,19.5051444775,2672.98317037
G,PEL,-33.143607,-70.67494,700.0,24.6785565897,1506.69730738
IU,PTGA,-0.7308,-59.9666,237.0,24.0250318997,5265.41050567
II,CMLA,37.7637,-25.5243,429.0,38.7914943395,10599.4108134
II,ESK,55.3167,-3.205,242.0,38.7303372141,13172.0558784
G,CLF,48.025791,2.26,145.0,47.5203786255,12944.1810376
II,NVS,54.8404,83.2346,150.0,46.118770963,18305.3343511
IU,RCBR,-5.8274,-35.9014,400.0,55.0749178429,5954.11129003
II,SACV,14.9702,-23.6085,387.0,53.0712164988,8616.86466817
IU,TRQA,-38.0568,-61.9787,540.0,61.7588745251,1529.56090987
G,SPB,-23.592691,-47.426979,647.0,57.8660971802,3641.76384592
IU,KOWA,14.4967,-4.014,321.0,68.2508499676,9904.59292057
G,TAM,22.791491,5.52838,1410.0,69.1266883876,11262.8238703
II,ASCN,-7.9327,-14.3601,173.0,75.8217464404,7297.84193099
IU,GNI,40.148,44.741,1609.0,76.342536103,15356.8871783
G,EDA,3.778868,10.153427,140.0,85.7488523936,10116.0533193
II,ABKT,37.9304,58.1189,678.0,87.4553713978,16273.5343482
II,SHEL,-15.9594,-5.7455,537.0,88.5541922639,7334.08140484
IU,MSKU,-1.6557,13.6116,312.0,92.0059342151,9955.81535127
II,MBAR,-0.6019,30.7382,1390.0,103.743265568,11359.147999
IU,FURI,8.8952,38.6798,2570.0,103.036385984,12727.7617961
G,TRIS,-37.0681,-12.3152,60.0,104.025347068,5373.79519379
IU,TRIS,-37.0681,-12.3152,60.0,104.025347068,5373.79519379
II,SUR,-32.3797,20.8117,1770.0,118.878237989,8089.3594369
GT,LBTB,-25.0151,25.596649,1128.0,116.605231634,8996.9467172
II,EFI,-51.6753,-58.0637,110.0,122.141911798,1563.10582002
II,HOPE,-54.2836,-36.4879,20.0,123.282989375,3034.35649725
G,FOMA,-24.97565,46.978877,28.0,131.523502576,10378.2807728
II,ABPO,-19.018,47.229,1528.0,128.267440501,10931.1777729
G,RER,-21.1712,55.739861,834.0,136.221911585,11222.747683
G,ROCAM,-19.75553,63.37014,52.0,141.913536379,11748.9289359
G,CRZF,-46.43096,51.855308,140.0,146.881987606,8657.07568282
II,DGAR,-7.4121,72.4525,1.0,144.80994601,13403.9470327
G,PAF,-49.351,70.210708,17.0,159.294471879,9016.64612941
IU,PMSA,-64.7744,-64.0489,40.0,163.626504398,2275.74222063
G,AIS,-37.796349,77.569183,35.9,160.432634544,10424.0060452
II,COCO,-12.1901,96.8349,1.0,173.352971019,13567.4316649
IU,CHTO,18.8141,98.9443,420.0,172.397846724,17003.7653877
IU,SPA,-90.0,0.0,2927.0,180.0,4939.75781719
IU,QSPA,-89.9289,144.4382,2850.0,180.067906391,4945.67945114
G,CCD,-75.1065,123.305,3240.0,186.120313182,6516.46788664
IU,SBA,-77.8492,166.7572,50.0,194.215822737,5637.08737389
GT,VNDA,-77.517273,161.852753,121.1,193.728257413,5752.08457125
II,KAPI,-5.0142,119.7517,300.0,201.457776565,14137.8489528
HK,HKPS,22.277599,114.141502,196.3,205.39368898,17206.9124786
AU,MCQ,-54.4986,158.9561,14.0,211.166976223,7700.03367867
II,TAU,-42.9099,147.3204,132.0,211.247086265,9242.91099382
G,CAN,-35.318714,148.996323,700.0,216.163419724,9900.51403505
IU,CTAO,-20.08765,146.24998,367.0,221.64072142,11498.9172525
IU,SNZO,-41.3087,174.7043,120.0,228.736189092,8014.4849072
IU,PMG,-9.4047,147.1597,90.0,228.122475892,12465.5266675
G,DZM,-22.07164,166.44377,878.0,236.190835602,10131.8230173
G,NOUC,-22.09863,166.30665,137.0,236.074966991,10138.3619123
IU,RAO,-29.245,-177.929,60.0,241.960532937,8494.8178785
II,MSVF,-17.7448,178.0528,801.1,247.262359792,9698.90858596
G,FUTU,-14.307673,-178.121063,97.0,252.290710892,9697.26202101
IU,FUNA,-8.5259,179.1966,20.0,254.304617032,10363.9866987
IU,RAR,-21.2125,-159.7733,28.0,259.81231681,7775.24907292
IU,AFI,-13.9085,-171.7827,706.0,257.005852443,9253.06126793
G,PPTF,-17.5896,-149.565247,705.0,269.73419317,7255.31911052
G,PPT,-17.569,-149.576,340.0,269.743077314,7257.70572248
IU,PTCN,-25.0713,-130.0953,220.0,277.534352557,5194.67887827
IU,XMAS,2.0448,-157.4457,20.0,278.404327282,9401.95794912
G,TAOE,-8.85492,-140.14775,800.0,283.668956318,7206.10547855
IU,JOHN,16.7329,-169.5292,2.0,280.198988125,11487.9197213
II,RPN,-27.1267,-109.3344,110.0,295.099316982,3492.55748471
IU,POHA,19.7573,-155.5326,1990.0,291.936619872,10679.1070691
IU,PET,53.0233,158.6499,110.0,302.372257138,15973.7883184
H2,H2O,27.88191,-141.99173,-4947.0,306.648093627,10434.0717626
IU,ADK,51.8823,-176.6842,130.0,307.990934508,14355.0559936
G,SEY,62.932999,152.373001,206.0,319.823105465,16378.4150983
IU,MA2,59.5756,150.77,337.0,313.675489245,16506.224981
TS,PAS,34.14844,-118.17117,314.0,327.114753362,9749.21949618
CI,PASC,34.17141,-118.18523,341.0,327.11490143,9752.07828722
IU,SLBS,23.6858,-109.9443,825.0,329.254988805,8360.09130472
IU,TUC,32.3098,-110.7847,910.0,331.965827287,9272.69968538
IU,PAYG,-0.6742,-90.2861,270.0,341.960629244,5145.98454211
G,UNM,19.329662,-99.178062,2280.0,337.688193215,7530.40307082
G,HDC,10.00201,-84.11142,1186.0,351.952220803,6205.1545578
II,JTS,10.2908,-84.9525,340.0,350.993868994,6246.63346549
IU,OTAV,0.2376,-78.4508,3510.0,358.489708616,5089.58974244
CU,BCIP,9.1665,-79.8373,61.0,357.009766015,6080.88778204
