id,time,lat,lon,mag,along_strike_distance
us60003tmh,2019-05-29 14:54:26.215000,33.9662,-38.9515,5.451,228.034847672
us1000atzg,2017-10-19 06:45:01.850000,33.7862,-38.8445,5.451,240.1525856
us100095ed,2017-06-30 01:34:58.140000,33.7413,-38.5445,5.9,268.381466149
us10007uys,2017-01-23 10:17:14.370000,33.6884,-37.8421,5.451,333.611328879
usp000jb14,2011-11-18 06:00:53.970000,33.704,-38.495,5.7,273.590237879
usp000gzdb,2009-07-18 02:41:28.060000,34.211,-37.353,5.0,374.899181227
usp000f62b,2007-03-04 11:26:11.980000,33.79,-38.473,5.6,274.133897399
usp000ct0t,2004-04-21 01:20:42.720000,32.935,-39.283,5.1,236.131955368
usp000ct0a,2004-04-20 21:41:32.710000,32.959,-39.293,5.4,233.888594222
usp0007v95,1996-12-31 23:57:40.700000,34.385,-37.205,5.532,389.268163219
usp0007v26,1996-12-27 06:27:10.940000,34.252,-36.96,5.37,411.184369959
usp0007ux9,1996-12-24 06:29:14.170000,34.27,-36.996,5.4,407.917190207
usp0007uvm,1996-12-23 10:20:32.710000,34.355,-37.272,5.37,382.919324883
usp0007uvb,1996-12-23 05:51:26.240000,34.307,-37.282,5.4,381.74027832
usp0006vt7,1995-04-17 07:14:35.220000,33.763,-38.576,6.2,265.124470582
usp0006v48,1995-04-04 07:10:15.690000,33.749,-38.623,5.8,261.064487908
usp0004pdt,1991-03-23 08:41:00.410000,33.876,-38.969,5.3,227.380204081
