id,time,lat,lon,mag,group
iscgem887232,1957-09-25 05:50:59,33.759,-38.582,6.0,-1
usp0000521,1974-01-27 08:49:41.200000,33.808,-38.555,5.686,-1
usp0000cbv,1975-08-06 18:01:39.100000,33.77,-39.269,5.934,-1
usp0000fpc,1976-03-28 20:19:45.600000,33.779,-38.629,5.996,-1
usp0002443,1984-05-03 23:42:00.330000,33.719,-38.577,5.6,-1
usp000246s,1984-05-07 15:55:31.900000,33.786,-38.497,5.6,-1
usp0003d04,1988-02-13 20:21:17.030000,33.77,-38.882,5.1,-1
usp0004pdt,1991-03-23 08:41:00.410000,33.876,-38.969,5.3,-1
usp0006v48,1995-04-04 07:10:15.690000,33.9133229705,-38.6542825988,5.8,1
usp0006vt7,1995-04-17 07:14:35.220000,33.8830778408,-38.5032497684,6.2,1
usp0007uvb,1996-12-23 05:51:26.240000,34.0519346845,-37.8088457899,5.4,1
usp0007uvm,1996-12-23 10:20:32.710000,34.027007162,-37.7878647372,5.37,1
usp0007ux9,1996-12-24 06:29:14.170000,33.8455025631,-37.5288665015,5.4,1
usp0007v26,1996-12-27 06:27:10.940000,33.8686318389,-37.5383680761,5.37,1
usp0007v95,1996-12-31 23:57:40.700000,34.0591311132,-37.7591126057,5.532,1
usp000ct0a,2004-04-20 21:41:32.710000,33.6477537992,-39.43657948,5.4,1
usp000ct0t,2004-04-21 01:20:42.720000,33.6383664369,-39.4525928642,5.1,1
usp000f62b,2007-03-04 11:26:11.980000,33.8707878106,-38.4974186921,5.6,1
usp000gzdb,2009-07-18 02:41:28.060000,33.8028782087,-38.0573132863,5.0,1
usp000jb14,2011-11-18 06:00:53.970000,33.8780762706,-38.5182493541,5.7,1
us10007uys,2017-01-23 10:17:14.370000,33.929435604,-38.0785708657,5.451,1
us100095ed,2017-06-30 01:34:58.140000,33.8997127269,-38.5479671631,5.9,1
us1000atzg,2017-10-19 06:45:01.850000,33.9413072036,-38.8177244836,5.451,1
us60003tmh,2019-05-29 14:54:26.215000,33.966786441,-38.9520396516,5.451,1
