id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usb000krt4,2013-11-03 00:12:36.760000,-49.5712499093,116.978599035,5.451,us2000a3dd,2017-08-01 17:20:25.130000,-49.5217997585,116.880487962,5.451,8.98107476406,8.97960459844,8.62104732219,307.724697625,290.213484617,70.9722017679,1,1
usp000fm02,2007-08-30 07:34:43.800000,-49.5669568996,116.974559659,5.1,us2000a3dd,2017-08-01 17:20:25.130000,-49.5217997585,116.880487962,5.451,8.46014976262,7.1574178774,3.61467952023,306.380832728,307.060683908,37.9846422725,1,1
usp000858r,1997-07-23 23:33:28.020000,-49.5726002027,116.978452534,5.3,us2000a3dd,2017-08-01 17:20:25.130000,-49.5217997585,116.880487962,5.451,9.06544982922,9.39034201663,5.40974510124,308.516572892,308.542552191,47.5566373252,1,1
usp0007mh8,1996-07-24 02:52:22.620000,-49.3873053447,116.671543884,5.2,us2000a3dd,2017-08-01 17:20:25.130000,-49.5217997585,116.880487962,5.451,21.2896102159,18.4822051917,2.86337056484,134.716007362,138.971125549,12.7255216367,1,1
usp000fm02,2007-08-30 07:34:43.800000,-49.5669568996,116.974559659,5.1,usb000krt4,2013-11-03 00:12:36.760000,-49.5712499093,116.978599035,5.451,0.559778604176,0.559495985953,0.782315636267,148.537213397,148.5386304,45.0878707762,1,1
usp0007mh8,1996-07-24 02:52:22.620000,-49.3873053447,116.671543884,5.2,usb000krt4,2013-11-03 00:12:36.760000,-49.5712499093,116.978599035,5.451,30.2267680853,30.2276562588,11.8145005667,132.712321694,133.693989801,34.0296355517,1,1
usp00077ey,1995-11-25 03:17:56.190000,-49.6833719649,117.040674821,5.5,usb000krt4,2013-11-03 00:12:36.760000,-49.5712499093,116.978599035,5.451,13.2523814272,2.79010590755,2.06410118805,340.195669464,345.397444091,35.295919483,1,1
us2000a3dd,2017-08-01 17:20:25.130000,-49.5217997585,116.880487962,5.451,usp000jv7v,2012-11-08 17:38:05.320000,-49.7009473966,117.049671255,5.532,23.3776183038,21.9667062493,4.57035787343,148.52863897,329.603569185,16.2078427555,1,1
usb000krt4,2013-11-03 00:12:36.760000,-49.5712499093,116.978599035,5.451,usp000jv7v,2012-11-08 17:38:05.320000,-49.7009473966,117.049671255,5.532,15.3115701859,13.5531194853,2.71218760093,160.436430197,343.192241031,16.7654436411,1,1
usp000858r,1997-07-23 23:33:28.020000,-49.5726002027,116.978452534,5.3,usp000jv7v,2012-11-08 17:38:05.320000,-49.7009473966,117.049671255,5.532,15.1737272287,15.1741132417,0.945608808603,160.208951463,160.154833408,3.05143185557,1,1
usp0007mh8,1996-07-24 02:52:22.620000,-49.3873053447,116.671543884,5.2,usp000jv7v,2012-11-08 17:38:05.320000,-49.7009473966,117.049671255,5.532,44.3363686466,47.2086444733,15.4704575719,142.029930425,140.528754965,25.3661749412,1,1
usp0007mh8,1996-07-24 02:52:22.620000,-49.3873053447,116.671543884,5.2,usp000jbx1,2011-12-07 03:29:03.360000,-49.5923053984,116.983348533,5.0,32.0963521713,47.7690235704,18.2775649682,135.382511536,137.435066269,30.7832831613,1,1
usp000jbx1,2011-12-07 03:29:03.360000,-49.5923053984,116.983348533,5.0,usp000hjqv,2010-08-25 04:06:17.340000,-49.5669398827,116.974472477,5.0,2.8932824536,2.17725716197,4.66393440755,347.178247074,167.206789435,52.0017703493,1,1
usp000g9tg,2008-06-16 10:17:51.010000,-49.3352724091,117.119923132,5.0,usp000hjqv,2010-08-25 04:06:17.340000,-49.5669398827,116.974472477,5.0,27.8405804486,2.93964770991,45.5942902575,202.205070001,214.672590398,69.1580257485,1,1
usp000fm02,2007-08-30 07:34:43.800000,-49.5669568996,116.974559659,5.1,usp000hjqv,2010-08-25 04:06:17.340000,-49.5669398827,116.974472477,5.0,0.0065844127358,1.92959800029,3.25501194708,286.704881083,286.707664936,54.6098832864,1,1
usp000jbx1,2011-12-07 03:29:03.360000,-49.5923053984,116.983348533,5.0,usp000g9tg,2008-06-16 10:17:51.010000,-49.3352724091,117.119923132,5.0,30.2526778864,66.6477490396,57.3167169961,19.1540634677,126.48831659,59.6218798781,1,1
usp000fm02,2007-08-30 07:34:43.800000,-49.5669568996,116.974559659,5.1,usp000g9tg,2008-06-16 10:17:51.010000,-49.3352724091,117.119923132,5.0,27.8399374764,27.8407719756,26.5393932374,22.3020387903,24.284068786,48.4404509505,1,1
