id,time,lat,lon,mag,group
usp00062kj,1993-10-24 15:36:08.670000,-55.7227902782,-127.929029262,5.8,2
usp0006qv0,1995-01-04 06:28:39.070000,-55.73967241,-123.395086684,6.0,1
usp000732m,1995-09-08 00:27:48.890000,-55.994547829,-122.282406184,5.9,1
usp000732r,1995-09-08 01:15:28.290000,-55.9524483602,-122.509760449,6.3,1
usp0007fgw,1996-03-30 09:56:59.410000,-55.5440795589,-124.218189566,6.1,1
usp0009hq6,1999-11-16 13:44:18.320000,-55.533657131,-124.255537119,6.1,1
usp000akwv,2001-08-06 03:52:59.510000,-55.499745183,-123.035055515,6.7,1
usp000b326,2002-04-24 11:00:00.860000,-56.0266406855,-122.121560332,6.2,1
usp000db7t,2004-12-22 21:03:39.390000,-55.5291727384,-124.257124504,6.1,1
usp000euve,2006-10-10 08:02:51.950000,-55.9886279975,-122.315588396,6.0,1
usp000f49q,2007-02-04 21:17:46.790000,-55.8818069314,-122.868826297,6.2,1
usp000f7zp,2007-03-31 12:49:03.710000,-55.7632823014,-123.31870567,6.2,1
usp000f8uv,2007-04-06 05:54:20.420000,-55.3347245896,-123.461470851,5.9,1
usp000fmm0,2007-09-07 04:46:45.160000,-55.6692316415,-123.534108558,5.9,1
usp000gzvz,2009-08-01 13:33:29.950000,-55.5437474086,-124.218309936,6.1,1
usp000h4pt,2009-12-03 06:12:32.490000,-55.9321383033,-122.543608569,6.0,1
usp000hcde,2010-05-06 11:35:29.520000,-55.725004349,-127.941982439,5.8,2
usp000japr,2011-11-11 10:41:37.480000,-55.534232179,-124.245558929,6.0,1
us100049ce,2015-12-24 19:44:03.130000,-55.873795883,-122.906379918,6.2,1
us200050pj,2016-02-16 23:48:35.680000,-55.5289847338,-124.244333573,6.1,1
us10006esj,2016-08-18 18:09:43.940000,-55.7451744063,-123.373318736,6.0,1
us20009msm,2017-06-15 11:42:16.040000,-55.5731345166,-124.087666629,5.8,1
us1000hsfz,2018-11-15 23:09:01.060000,-56.0322119406,-122.116222554,6.3,1
us70005p73,2019-10-01 03:56:07.115000,-55.9280199078,-122.55557907,6.0,1
