net,sta,lat,lon,dep,azi,dist
TS,PAS,34.14844,-118.17117,314.0,5.25272521138,9973.52187028
IU,TUC,32.3098,-110.7847,910.0,11.6025892687,9838.5221954
IU,SLBS,23.6858,-109.9443,825.0,13.5471273674,8903.58680118
IM,TX06,29.319,-103.681999,939.5,18.1416595747,9626.08076789
II,RPN,-27.1267,-109.3344,110.0,27.288207233,3400.23981355
IU,TEIG,20.2263,-88.2763,40.0,34.1681929492,9080.74530694
IU,PAYG,-0.6742,-90.2861,270.0,39.8412404293,6835.65518649
CU,BCIP,9.1665,-79.8373,61.0,46.1388004137,8287.5216999
IU,OTAV,0.2376,-78.4508,3510.0,51.4798435186,7459.98718061
II,NNA,-11.9875,-76.8422,575.0,59.5412372981,6348.57691833
CU,GRGR,12.1324,-61.654,195.0,60.9028611305,9496.86355284
G,ICC,-20.284,-70.035004,950.0,71.6376758994,5962.00811796
IU,LCO,-29.011,-70.7005,2274.0,77.8304515632,5148.2236233
G,PEL,-33.143607,-70.67494,700.0,81.6523138762,4801.05448787
IU,TBT,28.6794,-17.9145,180.0,85.866266556,13611.6213798
G,COYC,-45.57299,-72.08139,235.0,95.1680900869,3774.36317923
G,MBO,14.392024,-16.955467,3.0,96.4218977695,12416.3218105
IU,KOWA,14.4967,-4.014,321.0,107.781872467,13220.3779883
II,EFI,-51.6753,-58.0637,110.0,112.674206297,4241.60542165
II,SHEL,-15.9594,-5.7455,537.0,122.597052516,10234.579757
II,HOPE,-54.2836,-36.4879,20.0,127.079791816,5242.55260414
IU,PMSA,-64.7744,-64.0489,40.0,132.175082887,3350.86949135
II,KIV,43.9553,42.6863,1054.0,140.248033902,18414.9907484
IU,TSUM,-19.2022,17.5838,1260.0,144.139005618,10972.0981362
II,SUR,-32.3797,20.8117,1770.0,151.2704528,9704.60787813
IU,NAI,-1.2739,36.8037,1692.0,158.117389416,13464.5300034
G,AGD,11.529,42.824001,450.0,162.469116154,14982.0896291
G,FOMA,-24.97565,46.978877,28.0,172.19911602,11028.9699578
G,CRZF,-46.43096,51.855308,140.0,177.432944488,8679.64748661
IU,SPA,-90.0,0.0,2927.0,180.0,3826.80444634
G,PAF,-49.351,70.210708,17.0,189.891803216,8280.35991623
G,AIS,-37.796349,77.569183,35.9,197.330225438,9434.90805544
IU,SBA,-77.8492,166.7572,50.0,201.926312167,3539.33094459
IU,CASY,-66.2792,110.5354,10.0,205.025648495,5715.33489364
G,DRV,-66.664909,140.002075,40.0,215.709851242,4743.95205334
II,COCO,-12.1901,96.8349,1.0,221.580596068,11559.6608104
IU,NWAO,-32.9277,117.239,380.0,229.304771592,8581.27246953
AU,MCQ,-54.4986,158.9561,14.0,238.418001633,4632.82350217
II,TAU,-42.9099,147.3204,132.0,243.497525221,6117.7585617
G,CAN,-35.318714,148.996323,700.0,250.675712668,6646.06597564
IU,DAV,7.0697,125.5791,151.0,257.159466543,11896.2943313
IU,SNZO,-41.3087,174.7043,120.0,263.921262895,4598.62402189
IU,PMG,-9.4047,147.1597,90.0,265.905996492,9046.28227319
G,DZM,-22.07164,166.44377,878.0,273.989705522,6700.71008195
G,PVC,-17.74,168.311996,80.0,278.525474742,6968.68573031
IU,RAO,-29.245,-177.929,60.0,282.31409066,5105.34545131
G,FUTU,-14.307673,-178.121063,97.0,293.151448102,6463.41754158
IU,AFI,-13.9085,-171.7827,706.0,299.686195589,6144.30066352
IU,KNTN,-2.7744,-171.7186,20.0,305.900445807,7221.10008905
IU,RAR,-21.2125,-159.7733,28.0,308.171708328,4813.64498834
IU,JOHN,16.7329,-169.5292,2.0,316.671111656,9067.97639874
G,PPTF,-17.5896,-149.565247,705.0,323.269002337,4730.51424947
G,KIP,21.42,-158.0112,110.0,328.651252787,9113.37806207
IU,POHA,19.7573,-155.5326,1990.0,330.380733855,8859.06121016
G,TAOE,-8.85492,-140.14775,800.0,339.0738961,5375.02148764
H2,H2O,27.88191,-141.99173,-4947.0,344.476967757,9409.01596393
IU,PTCN,-25.0713,-130.0953,220.0,350.069745169,3431.68961594
