id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
usp000cgmq,2003-12-31 08:32:09.770000,-38.9092471691,78.0992848166,5.1,us1000d26z,2018-03-01 04:14:42.830000,-38.9390585346,78.107920275,5.37,3.39314659311,3.39322218143,15.7730308289,167.25274801,167.252679633,41.2193945933,1,1
usp000a0bj,2000-09-16 21:11:00.200000,-38.957208148,78.9427797072,5.1,us1000d26z,2018-03-01 04:14:42.830000,-38.9390585346,78.107920275,5.37,72.4014282701,80.7601554496,64.1409399506,271.332258695,209.506025626,76.9487176159,1,1
us1000d26z,2018-03-01 04:14:42.830000,-38.9390585346,78.107920275,5.37,us10004f8d,2016-01-17 19:25:16.790000,-38.2437134614,78.0161275644,5.451,77.6018154934,83.5783556127,75.7161547147,354.056255019,178.921185578,95.2394213437,1,1
usp000a0bj,2000-09-16 21:11:00.200000,-38.957208148,78.9427797072,5.1,us10004f8d,2016-01-17 19:25:16.790000,-38.2437134614,78.0161275644,5.451,113.08821297,113.087990626,19.8093679607,314.166111788,314.744667189,8.13785511599,1,1
usp000egeb,2006-05-06 18:26:50.540000,-38.6054902348,78.5035265895,6.0,us10001s0c,2015-03-30 10:34:53.060000,-39.3064695749,78.0483936223,5.9,87.2474017748,90.9179190027,52.4789236739,206.740276435,205.011493671,51.3905170074,1,1
usp000egeb,2006-05-06 18:26:50.540000,-38.6054902348,78.5035265895,6.0,usb000k6nk,2013-10-04 17:26:13.620000,-38.7551280485,78.2905228674,6.4,24.8889263402,24.8890688759,0.976267692623,228.065769793,228.198877531,2.20481482395,1,1
usp0007380,1995-09-11 10:58:41.430000,-38.9179837367,78.069773243,5.5,usp000cgmq,2003-12-31 08:32:09.770000,-38.9092471691,78.0992848166,5.1,2.7371797867,2.74489945812,2.52116046808,69.2565476697,69.2752397982,42.3628643824,1,1
us10001s0c,2015-03-30 10:34:53.060000,-39.3064695749,78.0483936223,5.9,usp0009xkf,2000-08-01 18:54:46.070000,-38.7159509816,78.3133376089,5.9,69.4569864384,69.4570749166,3.10941969098,19.3755922244,199.189034751,2.41470286487,1,1
usp000egeb,2006-05-06 18:26:50.540000,-38.6054902348,78.5035265895,6.0,usp0009xkf,2000-08-01 18:54:46.070000,-38.7159509816,78.3133376089,5.9,20.6006626638,20.6006244431,0.842966573024,233.411588433,52.9069046353,3.0273189424,1,1
us10001s0c,2015-03-30 10:34:53.060000,-39.3064695749,78.0483936223,5.9,usp0007380,1995-09-11 10:58:41.430000,-38.9179837367,78.069773243,5.5,43.1683957518,43.1681775626,4.06554053665,2.46175365164,184.688916313,3.81069708763,1,1
usp0009xkf,2000-08-01 18:54:46.070000,-38.7159509816,78.3133376089,5.9,usp0007380,1995-09-11 10:58:41.430000,-38.9179837367,78.069773243,5.5,30.829866409,30.8300110151,2.14976861958,223.248367657,43.2311855202,4.41695942262,1,1
