id,time,lat,lon,mag,group
iscgem882696,1959-08-20 12:20:14,-38.767,78.032,5.7,-1
iscgem876066,1961-02-05 17:50:55,-38.729,78.086,5.9,-1
iscgem876218,1961-03-07 19:08:41,-38.727,78.489,6.1,-1
iscgem872474,1963-06-06 12:04:14,-37.927,77.805,5.7,-1
usp00009su,1975-02-04 12:30:44.100000,-38.616,78.387,5.37,-1
usp0000fn9,1976-03-27 06:14:32.800000,-38.626,78.259,5.81,-1
usp0000fna,1976-03-27 08:49:32,-38.795,78.328,6.058,-1
usp0000ke4,1976-11-22 04:46:26,-38.519,78.569,6.12,-1
usp0001hzd,1982-01-11 05:53:58.450000,-37.982,77.815,5.532,-1
usp00026d3,1984-08-13 03:44:40.660000,-38.894,78.215,5.613,-1
usp0002mu8,1985-11-16 04:12:18.830000,-38.577,78.368,6.5,-1
usp000317w,1986-12-28 19:31:55.310000,-38.43,78.632,5.3,-1
usp000317x,1986-12-28 20:04:35.130000,-38.775,78.695,6.3,-1
usp00031ut,1987-01-22 16:44:23.660000,-37.988,78.249,5.451,-1
usp0007380,1995-09-11 10:58:41.430000,-38.9249274231,78.1186942399,5.5,1
usp0009xkf,2000-08-01 18:54:46.070000,-38.7023029652,78.3536335166,5.9,1
usp000a0bj,2000-09-16 21:11:00.200000,-38.608754275,78.6044700413,5.1,1
usp000cgmq,2003-12-31 08:32:09.770000,-38.8760508541,78.116489298,5.1,1
usp000egeb,2006-05-06 18:26:50.540000,-38.571154014,78.5210327298,6.0,1
usb000k6nk,2013-10-04 17:26:13.620000,-38.7207925216,78.3081271466,6.4,1
usb000kac3,2013-10-04 17:30:38.550000,-39.1261,78.1486,5.37,-1
us10001s0c,2015-03-30 10:34:53.060000,-39.3126062125,78.0801128576,5.9,1
us10004f8d,2016-01-17 19:25:16.790000,-38.4152044031,78.115899525,5.451,1
us1000d26z,2018-03-01 04:14:42.830000,-39.167994205,78.1341023195,5.37,1
us6000agew,2020-06-22 10:06:55.230000,-39.1103002867,78.1808934156,5.37,1
