id,time,lat,lon,mag,group
usp0007380,1995-09-11 10:58:41.430000,-38.9249274231,78.1186942399,5.5,1
usp0009xkf,2000-08-01 18:54:46.070000,-38.7023029652,78.3536335166,5.9,1
usp000a0bj,2000-09-16 21:11:00.200000,-38.608754275,78.6044700413,5.1,1
usp000cgmq,2003-12-31 08:32:09.770000,-38.8760508541,78.116489298,5.1,1
usp000egeb,2006-05-06 18:26:50.540000,-38.571154014,78.5210327298,6.0,1
usb000k6nk,2013-10-04 17:26:13.620000,-38.7207925216,78.3081271466,6.4,1
us10001s0c,2015-03-30 10:34:53.060000,-39.3126062125,78.0801128576,5.9,1
us10004f8d,2016-01-17 19:25:16.790000,-38.4152044031,78.115899525,5.451,1
us1000d26z,2018-03-01 04:14:42.830000,-39.167994205,78.1341023195,5.37,1
us6000agew,2020-06-22 10:06:55.230000,-39.1103002867,78.1808934156,5.37,1
