id,time,lat,lon,mag,group
iscgem883330,1959-11-22 16:26:39,-54.798,-136.26,5.9,-1
iscgem831078,1967-09-09 16:52:02,-54.55,-136.196,6.3,-1
usp000030z,1973-08-07 06:39:00.800000,-54.351,-136.55,6.182,-1
usp0001d7v,1981-04-19 10:10:47.730000,-54.029,-135.52,5.562,-1
usp0001pnw,1982-09-17 11:08:31.560000,-54.573,-136.803,5.694,-1
usp00024mq,1984-05-25 23:17:49.640000,-54.509,-136.303,5.5,-1
usp00024mr,1984-05-25 23:53:51.930000,-54.976,-135.688,6.4,-1
usp00024mu,1984-05-26 02:44:46.530000,-54.869,-135.415,6.2,-1
usp00024n1,1984-05-26 05:38:26.430000,-54.06,-136.335,5.37,-1
usp0002cez,1985-03-05 00:48:52.980000,-54.679,-136.576,5.872,-1
usp00039ds,1987-10-19 15:32:58.870000,-54.087,-137.257,5.3,-1
usp0006g88,1994-07-28 20:58:56.830000,-54.3776916278,-135.603740743,5.748,1
usp0006vve,1995-04-18 16:23:36.470000,-54.0248457682,-136.596229833,5.7,1
usp00082vy,1997-05-27 06:10:31.780000,-54.2611826129,-135.91180593,6.1,1
usp0008hsg,1998-03-21 01:29:08.660000,-54.4640092894,-135.290051009,5.5,1
usp0008stn,1998-08-05 12:54:25.690000,-54.4393317048,-135.406188454,6.2,1
usp0008sv0,1998-08-06 09:15:37.960000,-54.399,-135.953,5.4,-1
usp0009exw,1999-09-23 23:51:43.850000,-54.162,-136.49,5.4,-1
usp0009j6t,1999-11-27 14:36:54.670000,-54.4289510644,-135.425089776,5.5,1
usp000a07h,2000-09-13 22:29:10.330000,-54.112,-136.821,5.4,-1
usp000anfz,2001-09-02 10:06:51.500000,-54.0006596565,-136.641761896,6.3,1
usp000ang2,2001-09-02 11:13:50.810000,-54.1087258876,-136.336234161,5.9,1
usp000aqje,2001-10-09 14:35:56.520000,-54.224,-136.686,5.2,-1
usp000bb7f,2002-09-04 03:45:15.550000,-53.747,-134.682,5.2,-1
usp000bxeu,2003-05-18 08:23:02.930000,-54.201,-136.555,5.2,-1
usp000dhdn,2005-03-03 05:37:16.180000,-54.423,-137.172,5.1,-1
usp000dhgk,2005-03-04 09:54:47.760000,-54.097,-137.017,5.1,-1
usp000e6kh,2005-12-22 04:28:23.590000,-54.3828242724,-135.554028153,5.5,1
usp000e6kq,2005-12-22 06:39:26.200000,-54.26,-135.898,5.2,-1
usp000e6m9,2005-12-22 12:20:02.940000,-54.3168885417,-135.771434728,6.3,1
usp000e8s7,2006-01-24 04:27:08.360000,-54.3468154397,-135.653019053,5.5,1
usp000g1pt,2008-03-17 19:06:12.050000,-54.4008650046,-135.506684384,5.6,1
usp000gamh,2008-06-26 12:13:02.610000,-54.288,-136.479,5.2,-1
gcmtc200809221237a,2008-09-22 12:36:56,-55.25,-136.25,5.0,-1
usp000gpfx,2008-11-26 10:14:34.330000,-54.301,-136.097,5.1,-1
usp000h4we,2009-12-09 07:48:13.960000,-54.4567924291,-135.334850227,5.6,1
usp000hcxv,2010-05-19 10:30:10.400000,-54.4705457799,-135.304287158,6.0,1
usp000hcxy,2010-05-19 10:51:03.080000,-54.4332192767,-135.415209377,6.0,1
usp000hexn,2010-07-05 15:57:36.580000,-54.174,-136.867,5.3,-1
usp000hfd5,2010-07-17 20:35:31.290000,-54.295,-136.74,5.3,-1
usp000jgr0,2012-03-24 22:18:38.250000,-54.4103180719,-135.47973191,5.5,1
usp000jgr5,2012-03-25 01:05:34.530000,-54.3764597701,-135.586046384,5.7,1
usp000jvp2,2012-11-16 06:24:42.030000,-53.7134141191,-134.266993598,5.6,1
usp000jwcx,2012-12-03 09:27:37.040000,-54.2270745512,-136.081416289,5.6,1
us2013puau,2013-05-04 23:39:04.830000,-54.0597304648,-136.538954669,5.5,1
usb000h70p,2013-05-27 11:06:08.420000,-54.3769923846,-135.585628994,5.6,1
usc000tlak,2015-01-26 17:44:52.680000,-54.4262094148,-135.446570451,5.6,1
us10003mrv,2015-10-11 00:58:27.170000,-54.2567093953,-135.92552838,6.1,1
us10004bgk,2016-01-05 09:34:14.620000,-54.10283952,-136.397729061,6.0,1
us10004bph,2016-01-06 04:58:56.070000,-54.074125811,-136.406964935,5.613,1
us10007s8c,2017-01-08 14:20:06.290000,-54.410167168,-135.490990576,5.6,1
us20009mrt,2017-06-09 23:22:14.970000,-54.3936892691,-135.524577661,5.532,1
us1000h8fi,2018-10-07 01:06:51.150000,-54.390149322,-135.528329197,5.6,1
us1000h8fm,2018-10-07 01:44:22.970000,-54.6459,-135.7482,5.4,-1
us70008k2a,2020-04-01 06:32:24.802000,-54.364,-136.2801,5.3,-1
