id,time,lat,lon,mag,group
usp0006g88,1994-07-28 20:58:56.830000,-54.3765904605,-135.598928301,5.748,1
usp0006vve,1995-04-18 16:23:36.470000,-54.0214346603,-136.594051057,5.7,1
usp00082vy,1997-05-27 06:10:31.780000,-54.2704282508,-135.916841356,6.1,1
usp0008hsg,1998-03-21 01:29:08.660000,-54.4585010866,-135.285849447,5.5,1
usp0008stn,1998-08-05 12:54:25.690000,-54.4368629114,-135.40449699,6.2,1
usp0009j6t,1999-11-27 14:36:54.670000,-54.4285005337,-135.426083602,5.5,1
usp000anfz,2001-09-02 10:06:51.500000,-54.0036688014,-136.630138326,6.3,1
usp000ang2,2001-09-02 11:13:50.810000,-54.1341639992,-136.334208702,5.9,1
usp000e6kh,2005-12-22 04:28:23.590000,-54.3835906343,-135.549997718,5.5,1
usp000e6m9,2005-12-22 12:20:02.940000,-54.3157356149,-135.768459854,6.3,1
usp000e8s7,2006-01-24 04:27:08.360000,-54.3482896757,-135.652752522,5.5,1
usp000g1pt,2008-03-17 19:06:12.050000,-54.4007022111,-135.503283962,5.6,1
usp000h4we,2009-12-09 07:48:13.960000,-54.4564517517,-135.333444737,5.6,1
usp000hcxv,2010-05-19 10:30:10.400000,-54.4710580783,-135.300432624,6.0,1
usp000hcxy,2010-05-19 10:51:03.080000,-54.4304975374,-135.413889297,6.0,1
usp000jgr0,2012-03-24 22:18:38.250000,-54.4113138739,-135.479543467,5.5,1
usp000jgr5,2012-03-25 01:05:34.530000,-54.3752233577,-135.589717714,5.7,1
usp000jvp2,2012-11-16 06:24:42.030000,-53.7145606913,-134.269629894,5.6,1
usp000jwcx,2012-12-03 09:27:37.040000,-54.2190457104,-136.075828368,5.6,1
us2013puau,2013-05-04 23:39:04.830000,-54.063110466,-136.533753292,5.5,1
usb000h70p,2013-05-27 11:06:08.420000,-54.372882748,-135.5820207,5.6,1
usc000tlak,2015-01-26 17:44:52.680000,-54.426166521,-135.446135733,5.6,1
us10003mrv,2015-10-11 00:58:27.170000,-54.2623066179,-135.93632191,6.1,1
us10004bgk,2016-01-05 09:34:14.620000,-54.1097296371,-136.398496312,6.0,1
us10004bph,2016-01-06 04:58:56.070000,-54.0810161017,-136.407734704,5.613,1
us10007s8c,2017-01-08 14:20:06.290000,-54.4089751219,-135.489860988,5.6,1
us20009mrt,2017-06-09 23:22:14.970000,-54.3952649682,-135.524332216,5.532,1
us1000h8fi,2018-10-07 01:06:51.150000,-54.3917247043,-135.528083355,5.6,1
