id,time,lat,lon,mag,along_strike_distance
us70007tf6,2020-02-20 06:42:24.887000,-54.5632,5.4124,5.37,200.660785495
us70006yla,2020-01-12 02:27:00.348000,-54.3946,5.2056,5.6,204.093900919
us7000692c,2019-11-17 06:18:34.530000,-54.0961,6.1445,5.4,270.858013508
us20007dlp,2016-10-12 20:32:53.820000,-54.4418,5.9023,5.451,233.69826755
us10003qvc,2015-10-23 01:40:06.320000,-54.2258,6.1653,6.2,262.221981279
usb000m2h5,2014-01-16 21:38:00.480000,-53.9902,6.9807,5.532,320.035352323
usb000m2ca,2014-01-16 20:02:45.570000,-54.0729,6.9359,5.532,312.044611187
usp000h45f,2009-11-18 01:42:47.740000,-53.965,6.484,5.5,297.092217033
gcmtc200906191754a,2009-06-19 17:54:40,-53.75,6.75,5.1,326.229118926
usp000gy9c,2009-06-16 20:05:56.990000,-54.366,5.871,6.1,237.517489567
usp000g53j,2008-04-29 09:00:13.440000,-54.362,5.784,5.0,233.544228942
usp000fyvu,2008-02-14 07:33:16.880000,-54.423,5.352,5.1,208.419032822
usp000fay5,2007-04-30 15:38:52.540000,-53.999,6.081,5.6,275.421660003
usp000e88w,2006-01-15 06:49:41.640000,-54.043,6.977,5.1,316.209363096
usp000e3av,2005-11-02 00:46:44.680000,-54.389,5.241,5.0,206.116594769
usp000dmbt,2005-04-05 19:58:41.940000,-54.054,7.024,5.1,317.902838247
usp000dgxa,2005-02-25 07:47:18.770000,-54.084,6.942,5.1,311.609541504
usp000bw8r,2003-04-30 00:47:08.810000,-54.405,5.032,5.0,195.721546855
usp000bqpz,2003-02-14 23:17:52.220000,-54.471,5.742,5.7,223.58369705
usp0009xaj,2000-07-28 05:48:42.590000,-54.377,5.299,5.532,209.673879974
usp0008x9q,1998-10-30 08:33:10.180000,-54.404,5.387,5.1,211.521615046
usp00082zt,1997-05-30 20:35:28.240000,-54.096,6.049,5.6,266.339678257
usp0005fcp,1992-10-15 20:28:19.840000,-53.851,6.9,5.4,325.917810547
