id,time,lat,lon,mag,along_strike_distance
us60004wg9,2019-07-27 10:07:56.554000,-59.846,-151.6538,5.6,12931.1955661
us60004wfx,2019-07-27 09:55:08.207000,-59.6436,-150.9124,5.7,12927.9834024
us2000c5bf,2017-12-16 22:40:50.460000,-59.6236,-151.1228,5.5,12936.2568414
us2000c565,2017-12-16 05:05:58.550000,-59.6197,-150.6322,5.37,12921.6396357
usc000tuyv,2015-03-02 02:50:47.880000,-59.561,-150.6522,5.5,12927.7384815
usp000jnqt,2012-07-07 20:32:26.830000,-59.52,-150.669,5.37,12932.0863858
usp000j1h0,2011-05-13 03:36:50.490000,-59.438,-151.353,5.7,12960.6946761
usp000h5j4,2009-12-31 09:56:05.880000,-59.635,-151.214,5.4,12937.9459375
usp000h5j3,2009-12-31 09:29:44.900000,-59.395,-151.034,5.6,12955.0101319
usp000h5j2,2009-12-31 09:23:24.010000,-59.401,-150.975,6.0,12952.6375503
gcmtc200801231300a,2008-01-23 13:00:32,-60.25,-151.25,5.0,12881.1044874
usp000em3y,2006-06-24 00:05:19.980000,-59.25,-151.532,5.0,12983.8430451
usp000ekee,2006-06-15 13:06:23.430000,-59.558,-151.506,5.0,12954.0010182
usp000atzc,2001-12-04 07:22:20.980000,-59.37,-150.888,5.4,12952.865642
usp0008sw3,1998-08-07 01:40:16.240000,-59.586,-150.715,5.9,12927.3342455
usp0008sw0,1998-08-07 01:08:22.710000,-59.443,-151.034,5.3,12950.5076324
usp00071j6,1995-08-07 05:27:52.520000,-59.378,-151.161,5.7,12960.4929998
