net,sta,lat,lon,dep,azi,dist
G,PPTF,-17.5896,-149.565247,705.0,1.83573300096,4670.22561033
H2,H2O,27.88191,-141.99173,-4947.0,7.85507480908,9734.19532498
G,TAOE,-8.85492,-140.14775,800.0,13.6128281691,5706.98935632
G,SCZ,36.59798,-121.40481,261.0,23.6444689617,11005.8123144
II,PFO,33.6107,-116.4555,1280.0,28.4122439896,10809.2058089
IU,PTCN,-25.0713,-130.0953,220.0,31.9189754216,4164.44039625
IU,SLBS,23.6858,-109.9443,825.0,36.9499646482,9961.4806904
G,UNM,19.329662,-99.178062,2280.0,47.8798002178,9921.49365793
IU,WVT,36.1297,-87.83,170.0,49.6588297727,12080.9570386
II,RPN,-27.1267,-109.3344,110.0,59.80099538,4795.18009426
IU,PAYG,-0.6742,-90.2861,270.0,64.4803941813,8334.44987978
CU,BCIP,9.1665,-79.8373,61.0,69.1757232612,9838.08534517
IU,OTAV,0.2376,-78.4508,3510.0,74.7054773954,9048.09832746
II,NNA,-11.9875,-76.8422,575.0,82.3876220432,7965.86622515
CU,BBGH,13.1434,-59.5588,180.0,84.5232810329,11329.1308532
IU,LVC,-22.6127,-68.9111,2960.0,95.2561523668,7415.09613758
G,PEL,-33.143607,-70.67494,700.0,100.575438472,6356.58962371
G,COYC,-45.57299,-72.08139,235.0,109.546105703,5214.30692031
IU,RCBR,-5.8274,-35.9014,400.0,114.739663879,10809.035952
II,EFI,-51.6753,-58.0637,110.0,124.316419082,5418.58397793
IU,GRFO,49.6909,11.2203,384.0,126.643682401,18417.27124
IU,PMSA,-64.7744,-64.0489,40.0,135.731973424,4192.80946738
II,HOPE,-54.2836,-36.4879,20.0,139.30474177,6094.97538305
G,TRIS,-37.0681,-12.3152,60.0,147.256687142,8630.16981276
G,EDA,3.778868,10.153427,140.0,157.491270063,13598.0621316
IU,MSKU,-1.6557,13.6116,312.0,162.484450837,13072.8460967
II,SUR,-32.3797,20.8117,1770.0,172.97078854,9776.5370977
GT,LBTB,-25.0151,25.596649,1128.0,176.773899078,10615.944306
IU,QSPA,-89.9289,144.4382,2850.0,180.127436399,3383.9572158
IU,NAI,-1.2739,36.8037,1692.0,188.713462991,13215.6504009
G,CRZF,-46.43096,51.855308,140.0,196.205469129,8065.04005588
IU,SBA,-77.8492,166.7572,50.0,201.540792916,2539.22312296
G,CCD,-75.1065,123.305,3240.0,208.508345917,3627.80497304
G,ROCAM,-19.75553,63.37014,52.0,212.088073848,10672.8220292
IU,CASY,-66.2792,110.5354,10.0,217.706380328,4528.41946134
G,DRV,-66.664909,140.002075,40.0,227.251127549,3379.20407127
II,ABKT,37.9304,58.1189,678.0,233.025501906,16840.8322891
II,PALK,7.2728,80.7022,460.0,238.779314106,12776.0093757
II,COCO,-12.1901,96.8349,1.0,244.625245143,10051.2260015
IU,NWAO,-32.9277,117.239,380.0,250.330924286,7014.02787066
MS,BTDF,1.3617,103.775002,57.0,257.19737271,10996.1901134
AU,MCQ,-54.4986,158.9561,14.0,258.502423533,3021.25683147
II,TAU,-42.9099,147.3204,132.0,265.901619424,4497.16352495
G,CAN,-35.318714,148.996323,700.0,274.634615097,5040.94114826
IU,DAV,7.0697,125.5791,151.0,278.967608765,10319.4212475
IU,CTAO,-20.08765,146.24998,367.0,283.068957286,6583.28628785
IU,PMG,-9.4047,147.1597,90.0,289.896623872,7555.90140738
IU,SNZO,-41.3087,174.7043,120.0,295.241834245,3123.19369975
G,DZM,-22.07164,166.44377,878.0,302.229932332,5344.70651205
G,PVC,-17.74,168.311996,80.0,306.81322416,5687.6595879
IU,RAO,-29.245,-177.929,60.0,316.757702347,3947.66078135
II,MSVF,-17.7448,178.0528,801.1,318.089950084,5281.96799512
G,FUTU,-14.307673,-178.121063,97.0,324.239386878,5505.74728282
IU,AFI,-13.9085,-171.7827,706.0,332.245402509,5360.09193562
IU,JOHN,16.7329,-169.5292,2.0,341.664522476,8633.03419882
IU,RAR,-21.2125,-159.7733,28.0,346.672764238,4326.4564181
IU,XMAS,2.0448,-157.4457,20.0,352.503983525,6865.03337393
IU,POHA,19.7573,-155.5326,1990.0,355.506327844,8810.46949245
