id,time,lat,lon,mag,along_strike_distance
us6000c403,2020-09-27 00:35:24.843000,-57.1978,-147.7196,5.5,13045.3324804
us2000k65w,2019-03-26 22:44:40.400000,-57.4886,-147.2504,5.4,13002.4654859
us10004dam,2016-01-10 12:12:02.370000,-57.6576,-147.9486,5.6,13012.4437297
usp000jvug,2012-11-19 17:10:12.310000,-57.349,-147.523,5.37,13024.7460883
usp000hmr1,2010-10-07 22:28:59.290000,-57.683,-147.913,5.1,13008.9060996
usp000hmf8,2010-10-01 14:41:16.070000,-57.368,-147.71,5.2,13029.8076157
usp000hmf7,2010-10-01 14:24:44.110000,-57.631,-147.736,5.3,13007.262402
usp000hmdx,2010-09-30 20:07:45.200000,-57.276,-147.708,5.2,13037.9404834
usp000fn65,2007-09-13 20:06:38.920000,-57.625,-147.303,6.0,12992.2646347
usp000dv94,2005-07-15 17:58:35.960000,-57.301,-147.642,5.7,13033.3261364
