time,mag,magType,lat,lon,dep,text,id
2020-09-27 00:35:24.843000,5.5,mww,-57.1978,-147.7196,10000.0,Pacific-Antarctic Ridge,us6000c403
2019-03-26 22:44:40.400000,5.4,mww,-57.4886,-147.2504,10000.0,Pacific-Antarctic Ridge,us2000k65w
2016-01-10 12:12:02.370000,5.6,mwb,-57.6576,-147.9486,4000.0,Pacific-Antarctic Ridge,us10004dam
2012-11-19 17:10:12.310000,5.0,mb,-57.349,-147.523,10000.0,Pacific-Antarctic Ridge,usp000jvug
2010-10-07 22:28:59.290000,5.1,mwc,-57.683,-147.913,10000.0,Pacific-Antarctic Ridge,usp000hmr1
2010-10-01 14:41:16.070000,5.2,mwc,-57.368,-147.71,10000.0,Pacific-Antarctic Ridge,usp000hmf8
2010-10-01 14:24:44.110000,5.3,mwc,-57.631,-147.736,10000.0,Pacific-Antarctic Ridge,usp000hmf7
2010-09-30 20:07:45.200000,5.2,mwc,-57.276,-147.708,10000.0,Pacific-Antarctic Ridge,usp000hmdx
2007-09-13 20:06:38.920000,6.0,mwc,-57.625,-147.303,10000.0,Pacific-Antarctic Ridge,usp000fn65
2005-07-15 17:58:35.960000,5.7,mwc,-57.301,-147.642,10000.0,Pacific-Antarctic Ridge,usp000dv94
1989-06-28 21:24:12.450000,5.8,mw,-57.788,-147.449,10000.0,Pacific-Antarctic Ridge,usp0003wrx
1979-07-06 21:12:25.800000,5.2,mb,-57.796,-147.657,10000.0,Pacific-Antarctic Ridge,usp00011r8
1977-12-12 20:03:45.100000,5.0,mb,-57.468,-148.125,33000.0,Pacific-Antarctic Ridge,usp0000s1e
