id,time,lat,lon,mag,group
usp0007crd,1996-02-11 13:03:53.380000,-17.6086840672,-13.1027351322,5.624,1
usp000a75r,2001-01-05 11:40:09.560000,-17.6412095246,-13.3566125677,5.3,1
usp000acwg,2001-04-09 19:56:01.070000,-16.3439573374,-13.4983815462,5.1,1
usp000ah0f,2001-06-21 11:02:03.800000,-16.3566715119,-13.4994225542,5.2,1
usp000bh3h,2002-11-08 18:45:14.960000,-17.5300596183,-12.9406110879,5.4,1
usp000ekuj,2006-06-20 00:42:23.880000,-17.4575250277,-13.7208305392,5.0,1
usp000epbj,2006-07-22 19:47:42.550000,-17.5504982632,-13.0007550381,5.3,1
gcmtc200804162028a,2008-04-16 20:28:48,-17.5315260176,-12.9584561667,5.0,1
usp000g9gr,2008-06-13 20:06:46.460000,-17.6239118959,-13.3662130207,5.3,1
usp000h4z7,2009-12-12 03:34:40.340000,-17.5913933026,-13.1636228447,5.4,1
usp000h9ua,2010-03-22 04:36:07.190000,-17.5409669319,-12.966580148,5.3,1
usp000hq9n,2010-11-29 01:37:12.690000,-17.5811708923,-13.4522263787,5.0,1
usp000jf8t,2012-02-23 05:08:12.790000,-17.565633775,-13.0225766688,5.5,1
us20008hcn,2017-01-19 16:53:16.430000,-17.6293922683,-13.3689756446,5.37,1
us20008iu2,2017-02-10 02:58:55.360000,-17.6720747871,-12.7719326455,5.613,1
us20008k4y,2017-02-16 05:38:34.620000,-17.5499507957,-13.4494316311,5.37,1
us2000jlsv,2019-02-22 21:15:58.190000,-17.6239643229,-13.3640704636,5.4,1
us6000bfxb,2020-08-17 11:45:38.732000,-17.54761672,-12.9754017339,5.4,1
