net,sta,lat,lon,dep,azi,dist
G,EVO,38.532001,-8.013,0.0,5.06051138718,6251.78864946
IU,PAB,39.5446,-4.3499,950.0,8.25961300103,6408.21150456
IU,KOWA,14.4967,-4.014,321.0,16.6705144043,3708.66804777
II,NRIL,69.5049,88.4414,92.0,21.5462059516,12296.7282593
G,TAM,22.791491,5.52838,1410.0,25.3475560829,4931.29490743
IU,ANTO,39.868,32.7934,1090.0,35.7915111081,7972.63361412
IU,GNI,40.148,44.741,1609.0,41.5273258593,8785.49968481
IU,MAKZ,46.808,81.977,600.0,45.3842428519,11827.2933263
G,EDA,3.778868,10.153427,140.0,49.6006526757,3511.4097716
G,BNG,4.435,18.547001,378.0,58.0348287125,4277.6460782
IU,MSKU,-1.6557,13.6116,312.0,61.9264194159,3444.04187818
IU,FURI,8.8952,38.6798,2570.0,67.061564534,6435.3396709
II,MBAR,-0.6019,30.7382,1390.0,73.4510361211,5183.76645122
IC,QIZ,19.0291,109.8445,240.0,79.15558614,14057.9808687
II,MSEY,-4.6737,55.4792,475.0,88.1144427803,7619.26972881
IU,LSZ,-15.2779,28.1882,1200.0,92.8229926227,4437.03339823
IU,TSUM,-19.2022,17.5838,1260.0,97.81262947,3269.93890268
G,RER,-21.1712,55.739861,834.0,105.565839812,7210.28956396
GT,LBTB,-25.0151,25.596649,1128.0,108.224665364,4107.25804938
II,SUR,-32.3797,20.8117,1770.0,121.96387092,3789.99620535
G,AIS,-37.796349,77.569183,35.9,126.603694959,8905.66152677
G,CRZF,-46.43096,51.855308,140.0,133.804210292,6710.53453124
II,WRAB,-19.9336,134.36,366.0,138.642132032,14560.5688128
IU,CTAO,-20.08765,146.24998,367.0,151.395148833,15273.3329025
IU,CASY,-66.2792,110.5354,10.0,160.42176175,9606.12384355
II,TAU,-42.9099,147.3204,132.0,164.289205349,13008.0311799
G,CCD,-75.1065,123.305,3240.0,169.75242594,9277.03365645
IU,TRIS,-37.0681,-12.3152,60.0,177.435407569,2146.48230244
IU,SPA,-90.0,0.0,2927.0,180.0,8041.8631808
IU,SNZO,-41.3087,174.7043,120.0,187.018179605,13416.406371
IU,RAO,-29.245,-177.929,60.0,197.768400527,14551.5062766
II,HOPE,-54.2836,-36.4879,20.0,200.682016388,4515.92732526
G,FUTU,-14.307673,-178.121063,97.0,205.882432087,16091.2959114
II,EFI,-51.6753,-58.0637,110.0,215.541262297,5426.14231311
IU,RAR,-21.2125,-159.7733,28.0,221.449409902,14362.0670974
G,COYC,-45.57299,-72.08139,235.0,226.507604399,6197.2838869
G,PPTF,-17.5896,-149.565247,705.0,232.864161058,13836.4748125
IU,TRQA,-38.0568,-61.9787,540.0,234.137569836,5216.73448163
G,PEL,-33.143607,-70.67494,700.0,241.544089765,5936.90822554
IU,LCO,-29.011,-70.7005,2274.0,246.679226102,5937.2157821
G,SPB,-23.592691,-47.426979,647.0,253.750653469,3598.7028114
II,NNA,-11.9875,-76.8422,575.0,265.723796872,6830.61244299
IU,SAML,-8.9489,-63.1831,120.0,273.412548871,5466.94283689
IU,OTAV,0.2376,-78.4508,3510.0,278.19403673,7390.20798476
IU,PTGA,-0.7308,-59.9666,237.0,285.050972374,5431.05526842
IU,SDV,8.8839,-70.634,1620.0,290.295666098,6948.04094749
IU,RCBR,-5.8274,-35.9014,400.0,295.49335205,2780.55488568
CU,BBGH,13.1434,-59.5588,180.0,300.802309369,6114.99087155
IU,WCI,38.2289,-86.2939,210.0,311.144632911,9797.70722334
IU,BBSR,32.371299,-64.696299,30.0,315.313642097,7784.59858829
IU,HRV,42.5064,-71.5583,200.0,320.417938151,8938.64925052
II,KDAK,57.7828,-152.5835,152.0,332.98783943,14445.4319055
IM,IL08,64.790298,-146.796906,505.0,338.162639504,13743.9231317
II,SACV,14.9702,-23.6085,387.0,342.121059887,3786.25987121
G,MBO,14.392024,-16.955467,3.0,353.460169431,3573.51602907
II,ASCN,-7.9327,-14.3601,173.0,354.242773829,1088.14801682
