id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us20004zj3,2016-02-11 17:00:32.780000,-25.6451460187,-13.9458565107,5.532,us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,7.82626252185,7.01171342336,4.16473273171,90.8034928465,113.614201359,51.9118564737,1,1
usp000gy34,2009-06-11 08:55:03.600000,-24.9407726252,-13.7652925911,5.3,us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,78.8166751384,79.3244881052,10.0743552536,187.513630476,187.336753867,7.16294614751,1,1
usp00096x3,1999-04-26 12:10:11.950000,-25.6648175694,-13.8311032378,5.3,us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,4.23817865097,4.20970930859,3.56452357017,299.25688192,267.968283242,73.1135319602,1,1
usp0007t0f,1996-11-14 10:42:57.010000,-25.6542971761,-13.9543392292,5.5,us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,8.72420322423,9.12494340577,5.26947157723,84.0555743765,82.2372928131,51.7744838297,1,1
usp000730e,1995-09-06 19:08:27.370000,-25.652665854,-13.8105336091,5.3,us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,5.80840579426,6.33161448728,1.18567615933,277.164069253,275.905548033,12.882266847,1,1
us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,81.979353235,86.0406594517,2.6859055136,16.802896656,197.173990036,2.21920304503,1,1
us20004zj3,2016-02-11 17:00:32.780000,-25.6451460187,-13.9458565107,5.532,us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,84.4764360709,81.0818168451,11.8398117371,21.9447578753,21.8110534744,9.95435727553,1,1
usp000jpu8,2012-08-03 13:01:08.240000,-25.6334754296,-13.9635431586,5.451,us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,83.9681511629,5.08314533403,19.9329168058,23.406325003,39.3236197419,37.8083865999,1,1
usp000gy34,2009-06-11 08:55:03.600000,-24.9407726252,-13.7652925911,5.3,us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,13.3367639258,11.5829148332,10.7980928835,88.4636676577,90.3500145783,86.3626274579,1,1
usp00096x3,1999-04-26 12:10:11.950000,-25.6648175694,-13.8311032378,5.3,us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,82.9977131962,83.8310016311,11.0054468403,13.9292077459,15.2267611973,7.54480553938,1,1
usp000730e,1995-09-06 19:08:27.370000,-25.652665854,-13.8105336091,5.3,us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,81.2114561258,80.0416837458,15.4924425396,12.7345654793,11.8337573643,12.7982452363,1,1
us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,us2000a6ul,2017-08-10 09:51:51.020000,-24.9377489952,-13.780655606,5.5,78.9615965392,73.6797695237,15.5272175642,6.40934949112,184.639363836,15.9294266974,1,1
us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,us2000a6ul,2017-08-10 09:51:51.020000,-24.9377489952,-13.780655606,5.5,14.8836652662,11.1597292106,9.92722341779,269.856865224,93.1951459022,70.5931368859,1,1
us20004zj3,2016-02-11 17:00:32.780000,-25.6451460187,-13.9458565107,5.532,us2000a6ul,2017-08-10 09:51:51.020000,-24.9377489952,-13.780655606,5.5,80.110163117,80.1102565029,2.6213394531,12.0219490486,11.3798769165,1.46435537685,1,1
