id,time,lat,lon,mag,group
usp0000c33,1975-07-20 21:56:14.600000,-25.747,-13.768,5.532,-1
usp0000p7n,1977-06-09 16:39:46.200000,-25.073,-13.593,5.37,-1
usp0001qy1,1982-11-15 14:15:24.850000,-25.655,-13.736,5.451,-1
usp0001tew,1983-03-03 21:46:27.500000,-24.995,-13.705,5.37,-1
usp0002sbc,1986-03-27 13:37:45.090000,-25.499,-13.802,5.5,-1
usp0006heg,1994-08-24 15:17:40.370000,-25.5855225713,-14.0884566231,5.3,1
usp0006hst,1994-09-01 11:28:36.020000,-25.557393178,-14.081808092,5.2,1
usp000730e,1995-09-06 19:08:27.370000,-25.649071465,-13.8015739165,5.3,1
usp0007t0f,1996-11-14 10:42:57.010000,-25.6269896125,-13.9367462676,5.5,1
usp00096x3,1999-04-26 12:10:11.950000,-25.6616214655,-13.8187203392,5.3,1
usp000d08y,2004-07-16 07:17:57.240000,-25.6484047532,-13.8592773465,5.4,1
usp000d2pj,2004-08-23 00:57:14.010000,-24.9407264857,-13.7911820207,5.5,1
usp000gy34,2009-06-11 08:55:03.600000,-24.9330966762,-13.7634425687,5.3,1
usp000h1xp,2009-09-28 12:13:17.460000,-25.6336541982,-13.8114960375,5.4,1
usp000jpu8,2012-08-03 13:01:08.240000,-25.6176435948,-13.9528113308,5.451,1
us20004zj3,2016-02-11 17:00:32.780000,-25.6178407131,-13.9282662834,5.532,1
us2000a6ul,2017-08-10 09:51:51.020000,-24.9300579026,-13.778847117,5.5,1
us2000a8vq,2017-08-16 19:46:59.860000,-24.9338042098,-13.641781573,5.532,1
us2000bvry,2017-11-29 03:36:14.970000,-25.6432049776,-13.864299687,5.5,1
