id,time,lat,lon,mag,group
usp0006heg,1994-08-24 15:17:40.370000,-25.5855182642,-14.0884640613,5.3,1
usp0006hst,1994-09-01 11:28:36.020000,-25.5573888757,-14.0818155267,5.2,1
usp000730e,1995-09-06 19:08:27.370000,-25.652665854,-13.8105336091,5.3,1
usp0007t0f,1996-11-14 10:42:57.010000,-25.6542971761,-13.9543392292,5.5,1
usp00096x3,1999-04-26 12:10:11.950000,-25.6648175694,-13.8311032378,5.3,1
usp000d08y,2004-07-16 07:17:57.240000,-25.6469005138,-13.867167335,5.4,1
usp000d2pj,2004-08-23 00:57:14.010000,-24.9471911067,-13.800116053,5.5,1
usp000gy34,2009-06-11 08:55:03.600000,-24.9407726252,-13.7652925911,5.3,1
usp000h1xp,2009-09-28 12:13:17.460000,-25.6373759621,-13.8206866779,5.4,1
usp000jpu8,2012-08-03 13:01:08.240000,-25.6334754296,-13.9635431586,5.451,1
us20004zj3,2016-02-11 17:00:32.780000,-25.6451460187,-13.9458565107,5.532,1
us2000a6ul,2017-08-10 09:51:51.020000,-24.9377489952,-13.780655606,5.5,1
us2000a8vq,2017-08-16 19:46:59.860000,-24.9374861853,-13.6332943192,5.532,1
us2000bvry,2017-11-29 03:36:14.970000,-25.646115895,-13.8679255921,5.5,1
