net,sta,lat,lon,dep,azi,dist
G,EVO,38.532001,-8.013,0.0,4.99542583129,7130.61081753
IU,PAB,39.5446,-4.3499,950.0,7.97569595341,7283.66447862
IU,KOWA,14.4967,-4.014,321.0,14.4465952877,4565.79151148
G,TAM,22.791491,5.52838,1410.0,22.860353458,5749.46855091
IU,KIEV,50.7012,29.2242,180.0,25.7860373097,9453.67558193
IU,ANTO,39.868,32.7934,1090.0,34.7885590702,8712.37688674
II,SHEL,-15.9594,-5.7455,537.0,39.2916113763,1357.81249413
II,KURK,50.7154,78.6202,184.0,42.7849438101,12332.3123145
IU,MSKU,-1.6557,13.6116,312.0,52.214329883,3956.18960991
II,RAYN,23.5225,45.5032,631.0,54.6445454425,8387.56958845
IU,FURI,8.8952,38.6798,2570.0,63.0960123903,6840.96978058
II,MBAR,-0.6019,30.7382,1390.0,67.0155779086,5517.82966194
G,HYB,17.41867,78.55213,510.0,75.2748622281,11058.5026975
IU,TSUM,-19.2022,17.5838,1260.0,83.9289313181,3294.88382338
II,MSEY,-4.6737,55.4792,475.0,85.224088175,7708.51575397
II,DGAR,-7.4121,72.4525,1.0,95.1630395995,9282.35499639
GT,LBTB,-25.0151,25.596649,1128.0,97.7091169308,3946.21807698
G,FOMA,-24.97565,46.978877,28.0,103.428611655,6057.00067078
II,SUR,-32.3797,20.8117,1770.0,110.697308571,3432.06178938
II,KAPI,-5.0142,119.7517,300.0,117.649346504,13965.5937555
G,AIS,-37.796349,77.569183,35.9,125.326347034,8419.75627896
G,CRZF,-46.43096,51.855308,140.0,130.094300242,6150.51418203
G,PAF,-49.351,70.210708,17.0,135.226065053,7465.8899335
IU,NWAO,-32.9277,117.239,380.0,139.028266657,11708.7834458
IU,PMG,-9.4047,147.1597,90.0,149.860969097,15614.5065144
IU,CTAO,-20.08765,146.24998,367.0,155.209953571,14504.5836533
IU,CASY,-66.2792,110.5354,10.0,160.172567045,8791.36468711
II,TAU,-42.9099,147.3204,132.0,165.441202203,12169.4402511
G,CCD,-75.1065,123.305,3240.0,169.562960213,8419.21642402
G,TRIS,-37.0681,-12.3152,60.0,174.236150841,1272.31770078
IU,SPA,-90.0,0.0,2927.0,180.0,7162.99760047
IU,SNZO,-41.3087,174.7043,120.0,186.848931923,12539.3626549
IU,RAO,-29.245,-177.929,60.0,196.414923094,13700.1077273
G,FUTU,-14.307673,-178.121063,97.0,202.443987054,15273.2710626
II,HOPE,-54.2836,-36.4879,20.0,204.442447744,3689.15137304
IU,AFI,-13.9085,-171.7827,706.0,210.717775052,15028.2748254
II,EFI,-51.6753,-58.0637,110.0,220.174700654,4707.94412199
G,COYC,-45.57299,-72.08139,235.0,230.957041469,5588.04428705
IU,PTCN,-25.0713,-130.0953,220.0,235.526139283,11171.9803579
IU,TRQA,-38.0568,-61.9787,540.0,240.848056532,4710.94131664
G,PEL,-33.143607,-70.67494,700.0,247.233763999,5521.66730401
IU,LCO,-29.011,-70.7005,2274.0,252.547242232,5594.46867308
IU,LVC,-22.6127,-68.9111,2960.0,261.104117757,5577.5615768
G,SPB,-23.592691,-47.426979,647.0,266.534722315,3409.28602596
II,NNA,-11.9875,-76.8422,575.0,270.209425977,6761.20722628
IU,SAML,-8.9489,-63.1831,120.0,280.300590685,5534.27642685
G,HDC,10.00201,-84.11142,1186.0,287.756777246,8573.87525471
IU,PTGA,-0.7308,-59.9666,237.0,291.595621985,5671.92878272
IU,SDV,8.8839,-70.634,1620.0,294.087736606,7245.30063783
G,CAY,4.948,-52.317001,25.0,303.566391467,5368.27779052
IU,RCBR,-5.8274,-35.9014,400.0,309.152237906,3221.88319891
IU,BBSR,32.371299,-64.696299,30.0,317.214663394,8393.8572639
IU,HRV,42.5064,-71.5583,200.0,321.155983149,9595.98877075
II,KDAK,57.7828,-152.5835,152.0,329.222609639,15197.2436405
IM,IL08,64.790298,-146.796906,505.0,335.696871731,14538.0159433
IU,COL,64.9,-147.7933,320.0,336.105492582,14572.7094166
II,SACV,14.9702,-23.6085,387.0,345.523706845,4620.18501103
II,CMLA,37.7637,-25.5243,429.0,349.629840734,7127.52896058
II,ASCN,-7.9327,-14.3601,173.0,357.980276776,1962.85236425
