id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,0.1,2.7930051537
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,0.2,12.0478330334
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,0.2,66.3507145578
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,0.2,28.0714270137
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,0.2,36.4137342981
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,0.0,1.4021731742
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.2,0.4688731267
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,us2000a8vq,2017-08-16 19:46:59.860000,-24.9605,-13.4634,5.532,50.8574161016,0.232,14.0196183414
usp0006heg,1994-08-24 15:17:40.370000,-25.076,-13.594,5.3,36.8377977602,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.151,36.2343519267
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,0.3,9.2548278797
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,0.1,69.1437197115
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,0.1,30.8644321674
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,0.1,39.2067394518
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,0.1,1.3908319795
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.3,2.324132027
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,us2000a8vq,2017-08-16 19:46:59.860000,-24.9605,-13.4634,5.532,50.8574161016,0.332,16.8126234951
usp0006hst,1994-09-01 11:28:36.020000,-24.908,-13.658,5.2,34.0447926065,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.251,39.0273570804
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,0.4,78.3985475912
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,0.4,40.1192600471
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,0.4,48.4615673315
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,0.2,10.6456598592
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.0,11.5789599067
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,us2000a8vq,2017-08-16 19:46:59.860000,-24.9605,-13.4634,5.532,50.8574161016,0.032,26.0674513748
usp000d2pj,2004-08-23 00:57:14.010000,-25.015,-13.715,5.5,24.7899647268,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.049,48.2821849601
usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,0.0,38.2792875441
usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,0.0,29.9369802597
usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,0.2,67.752887732
usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.4,66.8195876845
usp000dask,2004-12-15 19:35:30.820000,-24.36,-13.271,5.1,103.188512318,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.351,30.1163626311
usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,0.0,8.3423072844
usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,0.2,29.4736001879
usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.4,28.5403001404
usp000en08,2006-07-06 15:11:25.190000,-24.724,-13.423,5.1,64.9092247739,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.351,8.162924913
usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,0.2,37.8159074723
usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.4,36.8826074248
usp000fyak,2008-02-06 16:10:34.290000,-24.759,-13.306,5.1,73.2515320583,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.351,0.1793823714
usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,0.2,0.9333000475
usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,us2000a8vq,2017-08-16 19:46:59.860000,-24.9605,-13.4634,5.532,50.8574161016,0.232,15.4217915156
usp000gy34,2009-06-11 08:55:03.600000,-24.965,-13.619,5.3,35.435624586,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.151,37.6365251009
us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,us2000a8vq,2017-08-16 19:46:59.860000,-24.9605,-13.4634,5.532,50.8574161016,0.032,14.4884914681
us2000a6ul,2017-08-10 09:51:51.020000,-25.0092,-13.6001,5.5,36.3689246335,us2000e23a,2018-04-18 12:50:09.140000,-24.8006,-13.2875,5.451,73.0721496869,0.049,36.7032250534
