id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us700036we,2019-04-16 07:30:38.353000,-35.5204510457,-15.6274058595,5.7,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,143.740972234,133.22732963,8.74170574424,260.216918334,258.630473958,3.17615436189,1,1
us1000f39v,2018-06-27 10:01:57.080000,-35.7038258701,-16.9655111173,5.4,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,20.812440661,20.8772392642,18.5276776158,261.779443194,264.383389294,71.0044726422,1,1
us2000b25h,2017-10-06 17:41:23.140000,-35.547138984,-15.7581158714,5.6,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,131.559712137,121.677567931,16.9947263802,260.689920355,262.109561386,8.33848054027,1,1
usp000jjar,2012-04-21 01:19:28.460000,-35.5510179207,-16.1035764704,5.7,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,100.674896208,100.400045088,3.3277966322,258.27876708,257.184525248,2.9567047075,1,1
usp000j0ha,2011-04-24 22:44:15.800000,-35.707831765,-16.9721047829,5.6,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,20.1614412638,20.2472442744,0.907498135766,262.791069394,262.790916174,2.63125070106,1,1
usp000j0h6,2011-04-24 21:09:32.690000,-35.7191729912,-17.1010639928,5.6,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,8.42886396965,8.42885943228,8.12333342796,261.450617823,264.942746207,89.1219185873,1,1
usp000g4z9,2008-04-27 14:35:29.230000,-35.6519825128,-16.5018920904,5.6,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,63.1750104187,59.4651548878,7.73174342431,261.879156266,263.048091019,12.9721591314,1,1
usp000fdud,2007-06-11 17:13:44.100000,-35.5946220494,-16.169191912,5.5,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,93.935784938,94.3730293091,11.4330845085,260.470991937,261.164396776,9.19751815685,1,1
usp000b9ag,2002-08-04 15:16:26.990000,-35.5910729086,-16.0522490194,6.0,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,104.46087756,106.50218375,8.55032817883,261.155614978,261.217331846,6.31388606564,1,1
usp000azeg,2002-03-02 03:14:54.670000,-35.734399365,-17.2301276559,5.9,us6000408i,2019-06-13 03:00:31.301000,-35.7304311527,-17.1931967113,5.7,3.36992881999,3.61293203005,1.70244438423,82.5034917477,81.8657117172,37.7677516217,1,1
