id,time,lat,lon,mag,along_strike_distance
us60008a9i,2020-03-05 14:58:45.960000,-48.8536,-8.7884,5.1,5478.86805621
us20005z5m,2016-05-30 07:35:57.760000,-49.302,-7.9623,5.613,5516.21855627
usc000tksd,2015-02-01 20:02:20.730000,-49.3181,-8.1198,5.6,5520.08433491
usc000rqef,2014-07-04 05:34:19.210000,-49.1202,-8.2961,5.451,5500.87950414
usb000iv42,2013-08-04 01:28:26.520000,-48.9514,-8.6473,5.694,5487.45349181
usp000gyx7,2009-07-03 20:28:15.040000,-49.752,-8.045,5.3,5566.51982925
usp000ef0h,2006-04-20 16:50:15.290000,-49.348,-7.923,5.2,5520.73054771
usp000ef0d,2006-04-20 15:58:16.200000,-49.505,-7.947,5.2,5538.21823953
usp000ef07,2006-04-20 15:12:18.370000,-49.426,-8.068,5.3,5531.18226951
usp000ef05,2006-04-20 14:59:07.410000,-49.388,-8.064,5.1,5526.97482405
usp000ef03,2006-04-20 14:31:28.720000,-49.356,-7.848,5.0,5520.62341321
usp000dgx4,2005-02-25 05:11:59.930000,-48.84,-8.587,5.0,5474.43491832
usp00093je,1999-02-27 12:55:13.190000,-49.243,-7.918,5.6,5509.1803318
usp0005sj4,1993-05-10 15:54:16.940000,-49.661,-8.083,5.532,5557.07249631
usp0005g5p,1992-11-01 07:51:25.340000,-48.852,-8.533,5.613,5474.96335055
