id,time,lat,lon,mag,along_strike_distance
us7000al7z,2020-07-10 06:29:43.457000,-2.6262,68.1717,5.3,7591.46428878
us70005c8l,2019-09-05 09:12:19.960000,-2.5189,68.4834,5.6,7625.91404055
us1000jkvw,2019-03-24 03:37:05.430000,-2.7131,68.1359,5.1,7587.66075782
us20005cjh,2016-03-26 03:24:24.110000,-2.6503,68.0253,5.6,7575.23555434
us20002mwk,2015-06-08 10:47:20.930000,-2.5201,68.0056,5.451,7572.78688641
usc000sys4,2014-11-19 05:06:30.130000,-2.7241,68.024,5.451,7575.24309933
usp000hprw,2010-11-16 18:44:38.330000,-3.005,68.125,5.5,7587.08560681
usp000h4qh,2009-12-03 23:06:46.730000,-2.71,68.035,5.4,7576.43665873
usp000h34x,2009-10-18 14:14:04.470000,-2.958,68.061,5.2,7579.86517696
usp000grjd,2008-12-26 18:14:45.810000,-2.427,68.144,5.0,7588.00082713
usp000g8ff,2008-06-03 08:42:16.810000,-3.444,68.312,5.3,7608.93893368
usp000fhvj,2007-08-04 13:43:34.470000,-3.474,68.353,5.0,7613.57181051
usp000dgkk,2005-02-20 13:41:04.070000,-2.355,68.523,5.3,7630.01884351
usp000dfet,2005-02-03 12:18:33.180000,-2.427,68.503,5.0,7627.9234291
usp000cqxp,2004-03-26 12:11:29.460000,-2.564,68.464,5.2,7623.84277088
usp000ckqy,2004-02-08 11:37:38.250000,-3.367,68.259,5.5,7602.85258782
usp000c2m3,2003-07-16 02:29:48.480000,-2.569,68.329,5.856,7608.84155808
usp000c2kb,2003-07-15 20:36:25.470000,-2.402,68.684,5.694,7648.00686649
usp000c2ka,2003-07-15 20:27:50.530000,-2.598,68.382,7.6,7614.79111017
usp000bh5g,2002-11-09 05:48:53.620000,-2.628,68.219,5.3,7596.72694063
usp000bh5e,2002-11-09 05:29:25.960000,-2.619,68.005,5.7,7572.91524941
usp000bh5d,2002-11-09 05:27:42.850000,-2.713,68.025,5.37,7575.33113447
usp00090m5,1999-01-04 12:16:38.430000,-2.754,68.058,5.4,7579.08573507
usp0008at3,1997-11-16 21:44:55.810000,-3.429,68.311,5.37,7608.78890262
usp0007ak0,1996-01-07 15:43:06.630000,-2.863,67.866,5.3,7557.97746924
usp0006e91,1994-06-14 14:15:37.660000,-3.688,68.422,5.37,7621.81228523
usp0006dqm,1994-06-04 14:32:33.630000,-3.501,68.152,5.37,7591.31548048
usp0004fe0,1990-10-06 09:08:09.180000,-2.711,67.908,5.7,7562.31938717
