id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
usp0004p05,1991-03-13 08:01:52.660000,12.68,-44.552,5.3,35.5536775371,usp0006gfg,1994-08-03 02:25:09.890000,12.446,-43.984,5.37,50.3507709102,0.07,14.7970933731
usp0004p05,1991-03-13 08:01:52.660000,12.68,-44.552,5.3,35.5536775371,usp000cusz,2004-05-11 23:58:54.410000,12.702,-44.49,5.5,36.2888129,0.2,0.7351353629
usp0004p05,1991-03-13 08:01:52.660000,12.68,-44.552,5.3,35.5536775371,usp000gb43,2008-07-02 00:08:31.380000,12.451,-44.202,5.0,27.3128370293,0.3,8.2408405078
usp0004p05,1991-03-13 08:01:52.660000,12.68,-44.552,5.3,35.5536775371,usp000hp1g,2010-11-04 12:29:31.350000,12.837,-44.845,5.4,67.1154529287,0.1,31.5617753916
usp0004p05,1991-03-13 08:01:52.660000,12.68,-44.552,5.3,35.5536775371,us1000d7uw,2018-03-23 07:40:29.010000,12.6529,-44.5694,5.6,33.4850225086,0.3,2.0686550285
usp0006gfg,1994-08-03 02:25:09.890000,12.446,-43.984,5.37,50.3507709102,usp000cusz,2004-05-11 23:58:54.410000,12.702,-44.49,5.5,36.2888129,0.13,14.0619580102
usp0006gfg,1994-08-03 02:25:09.890000,12.446,-43.984,5.37,50.3507709102,usp000gb43,2008-07-02 00:08:31.380000,12.451,-44.202,5.0,27.3128370293,0.37,23.0379338809
usp0006gfg,1994-08-03 02:25:09.890000,12.446,-43.984,5.37,50.3507709102,usp000hp1g,2010-11-04 12:29:31.350000,12.837,-44.845,5.4,67.1154529287,0.03,16.7646820185
usp0006gfg,1994-08-03 02:25:09.890000,12.446,-43.984,5.37,50.3507709102,us1000d7uw,2018-03-23 07:40:29.010000,12.6529,-44.5694,5.6,33.4850225086,0.23,16.8657484016
usp000cusz,2004-05-11 23:58:54.410000,12.702,-44.49,5.5,36.2888129,usp000hp1g,2010-11-04 12:29:31.350000,12.837,-44.845,5.4,67.1154529287,0.1,30.8266400287
usp000cusz,2004-05-11 23:58:54.410000,12.702,-44.49,5.5,36.2888129,us1000d7uw,2018-03-23 07:40:29.010000,12.6529,-44.5694,5.6,33.4850225086,0.1,2.8037903914
usp000gb43,2008-07-02 00:08:31.380000,12.451,-44.202,5.0,27.3128370293,usp000hp1g,2010-11-04 12:29:31.350000,12.837,-44.845,5.4,67.1154529287,0.4,39.8026158994
usp000hp1g,2010-11-04 12:29:31.350000,12.837,-44.845,5.4,67.1154529287,us1000d7uw,2018-03-23 07:40:29.010000,12.6529,-44.5694,5.6,33.4850225086,0.2,33.6304304201
