id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,us7000693a,2019-11-17 08:26:28.956000,-16.6247289776,66.6876549569,5.451,109.10606371,111.363827832,23.2162048191,33.6839153972,30.4566096815,17.1785482178,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,us2000gdj1,2018-07-25 15:11:12.040000,-17.1415677766,66.6494096527,5.37,65.5440916011,65.5362421437,7.18947060029,59.1589579064,59.5591355322,7.68799161053,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000jf01,2012-02-16 02:20:28.730000,-17.568602628,65.8669491839,5.8,30.1606064747,30.1547850272,28.7819178861,243.19719477,242.065848685,83.5534003475,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000jcjm,2011-12-23 17:51:57.940000,-17.3661396008,66.288393176,5.451,19.899865454,19.9003371909,5.35712340892,63.6986040037,60.4596179558,21.030269765,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000h555,2009-12-18 07:32:59.660000,-17.6331605055,65.7458932532,5.8,44.8540858775,44.7872818968,29.2904979421,242.420839216,241.081476008,57.3349532276,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000gw67,2009-04-15 14:07:09.980000,-17.9152565962,66.0147698104,5.532,53.1469368843,68.1892266121,61.2759570951,192.172386441,194.582212001,76.7640674086,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000gvzw,2009-04-10 06:51:47.480000,-17.9040713398,66.014493705,5.532,51.9439352058,52.2828561404,74.0328698228,192.492608147,192.157073091,84.0056338058,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000g98a,2008-06-11 16:10:53.620000,-17.7929403882,65.3901665932,5.3,86.5086169515,88.0935842468,41.4937175593,243.529517988,242.484874568,46.0311035883,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,usp000emgc,2006-06-28 16:06:37,-17.6247697398,65.7672773834,5.3,42.4127856817,41.8887502999,34.3045988578,242.119784384,241.734955828,66.8941678957,1,1
us7000693a,2019-11-17 08:26:28.956000,-16.6247289776,66.6876549569,5.451,usp0009pkz,2000-03-12 08:42:23.570000,-16.4263190722,66.919345965,5.3,33.0730537982,24.1813059352,7.04156457161,48.4358024737,9.97230106532,17.1318403464,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp000jf01,2012-02-16 02:20:28.730000,-17.568602628,65.8669491839,5.8,69.3630470098,68.6536281629,7.53786688237,66.5089192571,66.306875585,6.63301317064,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp000hj9t,2010-08-16 03:30:53.310000,-17.7377049468,65.470677142,6.3,23.3405651119,23.340315158,3.46410728811,67.2592192783,67.1973571197,5.66168985805,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp000h555,2009-12-18 07:32:59.660000,-17.6331605055,65.7458932532,5.8,54.7445410688,54.7739331948,7.37209991343,67.9631536158,65.7711925466,9.43111450125,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp000gf7u,2008-08-22 07:47:39.580000,-17.7686762351,65.4144917042,6.0,16.5412946328,16.5411808822,0.86933346986,70.2104825137,70.2105247012,3.32178655841,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp000cndk,2004-02-26 20:32:21.850000,-17.4952731114,65.9770185985,6.3,83.3711672664,85.8495303823,20.9822629462,64.6281747365,63.1557442082,15.9234109157,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp000bydf,2003-05-28 16:15:18.940000,-17.7963842076,65.3279902352,6.2,6.87641727037,6.79541170543,3.93005277278,68.3341686077,68.3176512073,52.2396833327,1,1
us2000k8ri,2019-04-01 18:39:05.857000,-17.8193313682,65.2677160894,6.0,usp0009qyy,2000-04-07 19:08:27.830000,-17.761206492,65.4373103082,6.3,19.0980917603,19.1132132464,12.0190657134,70.340998137,72.7908164476,46.1929422472,1,1
us7000693a,2019-11-17 08:26:28.956000,-16.6247289776,66.6876549569,5.451,us2000gdj1,2018-07-25 15:11:12.040000,-17.1415677766,66.6494096527,5.37,57.3424980425,67.1277874408,27.6923962287,184.069673403,181.009330719,33.0412963452,1,1
us2000gdj1,2018-07-25 15:11:12.040000,-17.1415677766,66.6494096527,5.37,usp000jcjm,2011-12-23 17:51:57.940000,-17.3661396008,66.288393176,5.451,45.7337850673,45.2012042757,23.6959293775,237.028090011,237.188102084,48.7019650504,1,1
us2000gdj1,2018-07-25 15:11:12.040000,-17.1415677766,66.6494096527,5.37,usp000emgc,2006-06-28 16:06:37,-17.6247697398,65.7672773834,5.3,107.922496708,110.608033424,23.1195611324,240.164930134,241.779804045,17.8492092122,1,1
us2000gdj1,2018-07-25 15:11:12.040000,-17.1415677766,66.6494096527,5.37,usp0009pkz,2000-03-12 08:42:23.570000,-16.4263190722,66.919345965,5.3,84.2230704152,88.036082768,14.9443269341,20.0182138299,17.1645476072,11.6649777586,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000jpfh,2012-07-26 05:33:33.020000,-17.4885754072,66.0424055358,6.7,51.2400671957,46.2579360422,45.1072714234,245.040668209,244.990944546,83.8459576232,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000jf01,2012-02-16 02:20:28.730000,-17.568602628,65.8669491839,5.8,71.8678220978,68.1496930797,62.3634972889,244.861419819,242.96652613,96.5563259481,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000hj9t,2010-08-16 03:30:53.310000,-17.7377049468,65.470677142,6.3,117.889848598,109.674393084,45.6375772058,245.213299462,241.281575693,35.9755059233,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000h555,2009-12-18 07:32:59.660000,-17.6331605055,65.7458932532,5.8,86.5378863003,83.3693999081,30.4449227937,244.15853006,242.902510866,31.2512853507,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000h2sy,2009-10-12 03:15:47.280000,-17.253896531,66.5448275264,6.2,8.19702832115,12.0944292948,5.34413409626,57.5153344081,65.7394737757,31.1576341257,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000gf7u,2008-08-22 07:47:39.580000,-17.7686762351,65.4144917042,6.0,124.73479654,122.222306603,32.0905270873,244.914119576,243.943176802,22.7301773962,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000f8pd,2007-04-04 19:58:03.800000,-17.2810368311,66.5051101035,5.9,3.0328059669,1.01253742886,5.79813820301,62.5143018756,46.0936999138,58.6152045821,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp000bydf,2003-05-28 16:15:18.940000,-17.7963842076,65.3279902352,6.2,134.352375611,135.468271127,12.3646684736,245.364207378,242.856782523,4.74806515954,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp0009qyy,2000-04-07 19:08:27.830000,-17.761206492,65.4373103082,6.3,122.191532432,124.088600851,7.60300022436,244.790747273,241.33522823,3.2203697292,1,1
us20009xz4,2017-07-19 12:16:23.560000,-17.2936858655,66.4798059908,6.0,usp00073h0,1995-09-17 17:09:20.620000,-17.2936937424,66.479793698,6.12,0.00157101208421,64.18160656,65.0256643764,236.296065198,236.277138622,80.9287850956,1,1
us7000ckpm,2020-11-28 20:15:24.787000,-17.4458813476,66.1205322259,5.4,us10003rtl,2015-10-27 11:04:58.390000,-16.3886843377,66.9761047622,5.4,148.310216978,128.130508954,22.7972215797,38.045377679,43.0839004963,7.0356009482,1,1
us7000693a,2019-11-17 08:26:28.956000,-16.6247289776,66.6876549569,5.451,us10003rtl,2015-10-27 11:04:58.390000,-16.3886843377,66.9761047622,5.4,40.381586085,40.3827239386,6.34626477122,49.7350566397,30.6140593439,15.5768448546,1,1
us2000gdj1,2018-07-25 15:11:12.040000,-17.1415677766,66.6494096527,5.37,us10003rtl,2015-10-27 11:04:58.390000,-16.3886843377,66.9761047622,5.4,90.3066347356,93.0279515172,13.1312560621,22.7346091524,22.0136649802,7.01058612355,1,1
us10003rtl,2015-10-27 11:04:58.390000,-16.3886843377,66.9761047622,5.4,usp000gusa,2009-03-09 03:44:23.320000,-17.1829936945,66.5809274932,5.2,97.4773505351,99.1042557235,52.1752570992,205.549475472,205.796559508,46.8449802194,1,1
