id,time,lat,lon,mag,group
usp00073h0,1995-09-17 17:09:20.620000,-17.943831395,66.8748774733,6.12,1
usp0009pkz,2000-03-12 08:42:23.570000,-16.9271743344,66.6836983157,5.3,1
usp000bydf,2003-05-28 16:15:18.940000,-18.1866417793,65.4329824438,6.2,1
usp000cndk,2004-02-26 20:32:21.850000,-17.8892248284,66.0814011995,6.3,1
usp000emgc,2006-06-28 16:06:37,-18.1297859441,65.5564715915,5.3,1
usp000f6sa,2007-03-15 16:26:04.410000,-17.7440311616,66.4999358164,5.1,1
usp000fagv,2007-04-24 18:21:12.830000,-16.9568595241,66.6339566705,5.3,1
usp000gf7u,2008-08-22 07:47:39.580000,-18.1632170856,65.5172438151,6.0,1
usp000h5kj,2010-01-02 00:21:59.690000,-16.8783661988,66.749348284,5.0,1
usp000hj9t,2010-08-16 03:30:53.310000,-18.1464785321,65.5638288331,6.3,1
usp000hmqx,2010-10-07 20:58:52.600000,-18.8785081221,65.2944412092,5.0,1
usp000hp9j,2010-11-08 12:28:33.160000,-18.0539016327,65.6473664359,5.0,1
usp000jf01,2012-02-16 02:20:28.730000,-17.952513863,65.9693644018,5.8,1
usb000rxvu,2014-07-28 08:03:09.820000,-17.7975310047,66.3798318459,5.4,1
us200027lr,2015-04-19 05:32:14.740000,-17.8977259076,66.1763872981,5.613,1
us20009xz4,2017-07-19 12:16:23.560000,-17.671851899,66.5415280247,6.0,1
us2000gdj1,2018-07-25 15:11:12.040000,-17.7464366254,66.490975744,5.37,1
us2000k8ri,2019-04-01 18:39:05.857000,-18.2076946644,65.3724242332,6.0,1
