net,sta,lat,lon,dep,azi,dist
IU,KBL,34.5408,69.0432,1920.0,3.30464801444,5757.86118766
II,NIL,33.6506,73.2686,629.0,7.88451345324,5703.4425931
IC,WMQ,43.8138,87.7049,850.0,17.3870631877,7133.12350682
G,HYB,17.41867,78.55213,510.0,20.4487828535,4093.22100241
IC,LSA,29.7031,91.127,3660.0,27.7568731981,5873.50839582
II,DGAR,-7.4121,72.4525,1.0,33.583804642,1314.17651513
IC,KMI,25.1233,102.74,1975.0,41.3009492374,6171.1095885
IU,CHTO,18.8141,98.9443,420.0,43.6268168192,5396.40046433
IC,QIZ,19.0291,109.8445,240.0,52.0682523992,6272.73403317
H2,H2O,27.88191,-141.99173,-4947.0,62.6232309232,16944.6506931
MS,BTDF,1.3617,103.775002,57.0,67.298617936,4643.31624726
IU,DAV,7.0697,125.5791,151.0,72.8078142331,7097.55539961
II,KAPI,-5.0142,119.7517,300.0,83.5376423196,6017.28486827
II,COCO,-12.1901,96.8349,1.0,84.4658987263,3375.69286763
IU,TARA,1.3549,172.9229,20.0,93.9841536955,11869.5984355
IU,PMG,-9.4047,147.1597,90.0,96.5501203737,8788.00374686
IU,MBWA,-21.159,119.7313,190.0,103.415000893,5647.80819598
G,SANVU,-15.447148,167.203232,56.0,108.238522228,10664.1195447
IU,NWAO,-32.9277,117.239,380.0,118.817362508,5396.7576432
G,CAN,-35.318714,148.996323,700.0,122.76718323,8301.16066694
II,TAU,-42.9099,147.3204,132.0,130.360819776,8024.35713224
IU,SNZO,-41.3087,174.7043,120.0,134.625084989,10237.3880876
AU,MCQ,-54.4986,158.9561,14.0,143.520159422,8644.68096016
G,AIS,-37.796349,77.569183,35.9,155.545599503,2531.71161904
IU,CASY,-66.2792,110.5354,10.0,160.195079559,6319.73896531
G,CCD,-75.1065,123.305,3240.0,166.140364683,7240.00076303
G,PAF,-49.351,70.210708,17.0,174.691510735,3565.34308369
IU,SPA,-90.0,0.0,2927.0,180.0,8077.38999385
G,CRZF,-46.43096,51.855308,140.0,198.88787408,3470.40848122
G,COYC,-45.57299,-72.08139,235.0,209.224985541,11851.1410002
II,HOPE,-54.2836,-36.4879,20.0,215.120686494,9232.28200588
IU,TRQA,-38.0568,-61.9787,540.0,220.2760967,11813.2481769
IU,LCO,-29.011,-70.7005,2274.0,222.545846044,13079.9981395
IU,LVC,-22.6127,-68.9111,2960.0,229.2846651,13403.7509455
G,TRIS,-37.0681,-12.3152,60.0,236.081363973,7837.01081775
G,FOMA,-24.97565,46.978877,28.0,243.631891437,2133.32267044
G,RER,-21.1712,55.739861,834.0,247.021592242,1146.24745445
IU,PTGA,-0.7308,-59.9666,237.0,256.847677193,13772.2554498
II,ABPO,-19.018,47.229,1528.0,261.923810692,1982.16759075
IU,LSZ,-15.2779,28.1882,1200.0,267.723436826,4030.14594789
CU,BBGH,13.1434,-59.5588,180.0,273.352122125,14175.4228745
IU,MSKU,-1.6557,13.6116,312.0,281.002830024,5974.56244087
G,EDA,3.778868,10.153427,140.0,285.508560884,6554.05943598
II,MBAR,-0.6019,30.7382,1390.0,292.004992058,4274.70949494
IU,KMBO,-1.1271,37.2525,1950.0,296.780172934,3615.30098836
G,TAM,22.791491,5.52838,1410.0,302.096101256,7932.41621737
G,EVO,38.532001,-8.013,0.0,311.101013946,9867.38916448
IU,FURI,8.8952,38.6798,2570.0,312.047286194,4174.36111109
II,MSEY,-4.6737,55.4792,475.0,319.889813466,1808.994764
IU,GRFO,49.6909,11.2203,384.0,327.704774198,9165.65607968
II,RAYN,23.5225,45.5032,631.0,333.244511576,5041.10176239
IU,GNI,40.148,44.741,1609.0,341.477294831,6737.95502318
II,UOSS,24.9453,56.2042,284.4,347.077538607,4801.18944368
II,ABKT,37.9304,58.1189,678.0,352.538235982,6178.27435822
II,ARTI,56.3879,58.3849,320.0,355.658377016,8206.61992784
