id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us10004sri,2016-02-25 22:39:48.470000,-47.1060790223,33.0904852186,5.3,usb000h85v,2013-05-29 14:47:33.560000,-47.2100176275,32.8090847317,5.532,24.2667676439,2.6731609025,14.2705563977,241.460938767,65.2119609154,62.9007304517,1,1
us10004sri,2016-02-25 22:39:48.470000,-47.1060790223,33.0904852186,5.3,usp000e3u9,2005-11-09 12:37:29.100000,-47.0932530154,33.104763787,5.0,1.79112981892,1.79268137175,4.23289060772,37.2467742687,37.221406395,58.2079493897,1,1
us10004sri,2016-02-25 22:39:48.470000,-47.1060790223,33.0904852186,5.3,usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,6.07485554174,6.080521254,4.64332682206,346.353012905,2.00238216965,31.6436239856,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usc000rlrd,2014-06-25 09:29:54.970000,-47.1209649776,33.0999312076,5.37,7.85817806892,7.85809737019,2.51837998898,164.134457724,165.188928434,17.5422305471,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usb000jjek,2013-09-06 02:28:10.190000,-47.1694781147,32.8220716897,5.5,22.9452519696,3.80575035475,40.5978398872,235.543416392,83.1146579452,64.1654725244,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usb000h85v,2013-05-29 14:47:33.560000,-47.2100176275,32.8090847317,5.532,26.4868240158,7.90973053702,18.3321422467,228.668839152,115.818290943,69.7094299769,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usp000fvej,2007-12-28 01:42:39.990000,-46.7934723899,32.9894718281,5.0,29.5196271457,32.55785465,6.70318965056,347.732900902,3.52805320509,12.3578767156,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usp000e3u9,2005-11-09 12:37:29.100000,-47.0932530154,33.104763787,5.0,5.1366908234,5.13665729108,1.88351414319,150.668145977,147.06547348,22.589914039,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usp000d6f9,2004-10-16 01:29:15.060000,-46.8618179091,33.0101271454,5.2,21.7604891997,22.1968767079,13.6201528499,347.5560375,0.0437172348709,31.3847132563,1,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,usp000br6r,2003-02-22 11:37:45.910000,-46.7597837902,33.0925444118,5.2,32.6329158077,29.3516952199,24.2744444099,2.80763481502,2.79237280755,36.4167581066,1,1
