id,time,lat,lon,mag,group
usp000br6r,2003-02-22 11:37:45.910000,-46.7597837902,33.0925444118,5.2,1
usp000d6f9,2004-10-16 01:29:15.060000,-46.8618179091,33.0101271454,5.2,1
usp000dwv4,2005-08-07 02:17:46.040000,-46.7907129502,33.6823080961,6.2,2
usp000e3u9,2005-11-09 12:37:29.100000,-47.0932530154,33.104763787,5.0,1
usp000ek1h,2006-06-09 23:27:51.430000,-47.0973289762,33.0711845937,5.37,1
usp000fvej,2007-12-28 01:42:39.990000,-46.7934723899,32.9894718281,5.0,1
usb000h85v,2013-05-29 14:47:33.560000,-47.2100176275,32.8090847317,5.532,1
usb000jjek,2013-09-06 02:28:10.190000,-47.1694781147,32.8220716897,5.5,1
usc000rlrd,2014-06-25 09:29:54.970000,-47.1209649776,33.0999312076,5.37,1
usb000snuu,2014-10-18 17:23:56.150000,-47.0529766117,33.0716212941,5.37,1
usc000sy62,2014-11-17 16:52:46.850000,-46.3489599326,33.8077842538,6.1,2
us10004sri,2016-02-25 22:39:48.470000,-47.1060790223,33.0904852186,5.3,1
