id1,t1,lat1,lon1,mag1,id2,t2,lat2,lon2,mag2,dist,B,dB,azi,C,dC,group,weight
us70006y9s,2020-01-11 09:00:45.693000,-29.5079975075,61.2439808102,5.451,us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,29.6764657868,25.0173557354,37.3534610714,214.255441556,352.41543477,63.3357142186,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,us10007w1q,2017-01-29 16:42:27.680000,-29.4524559848,61.2438584852,5.4,34.9315898619,40.6032579895,10.4004325475,28.6312454647,28.631109352,15.5865647708,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,us200080w8,2016-12-15 01:29:26.520000,-29.4929014962,61.2039443516,5.613,29.1703714088,45.2492863193,7.14684447282,26.1606863616,32.8976406558,6.87737206428,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,us10006q7u,2016-09-16 18:38:05,-29.5508965912,61.2314243409,5.5,25.1167572809,25.1160372516,8.67779789616,38.1549264649,19.3027347238,22.3444110869,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,us10006jwr,2016-09-03 08:18:40.520000,-29.5547954251,61.2422790133,5.451,25.4488255497,20.5926647707,7.82461605308,40.6202127839,39.3359836216,16.9410286673,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,usp000jgu5,2012-03-26 16:58:10.630000,-30.0533258118,61.0108691744,5.6,36.4040532086,48.4684491871,6.94736986169,189.214915029,188.02849024,10.8795331581,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,usp000bbmb,2002-09-08 03:36:41.560000,-30.0511794245,61.0335215374,5.7,35.8810266032,38.798970423,13.0217267574,185.830927222,178.228505376,24.6219284709,1,1
us70006y9s,2020-01-11 09:00:45.693000,-29.5079975075,61.2439808102,5.451,us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,5.46289198294,28.8774753684,33.5021478201,337.480373909,40.5692032573,47.2662619112,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,32.9877987528,28.723392934,14.7745001387,26.3778570994,24.724327701,28.7718011258,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,us10007w1q,2017-01-29 16:42:27.680000,-29.4524559848,61.2438584852,5.4,2.35806063445,0.0813840590739,1.01044819558,61.9266639913,273.064626732,58.3383349282,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,us200080w8,2016-12-15 01:29:26.520000,-29.4929014962,61.2039443516,5.613,3.81923762061,3.24844715327,6.63346327195,207.962153896,180.476453534,56.7619349884,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,us10006q7u,2016-09-16 18:38:05,-29.5508965912,61.2314243409,5.5,9.84054224922,10.816495842,4.50949935137,174.907267555,173.303949696,31.804842106,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,us10006jwr,2016-09-03 08:18:40.520000,-29.5547954251,61.2422790133,5.451,10.4135482823,11.5600588826,4.84733568335,169.344715394,158.370132397,32.2925879463,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,usp000jgu5,2012-03-26 16:58:10.630000,-30.0533258118,61.0108691744,5.6,68.6168745272,74.2885149337,62.9091018777,197.295981018,194.416278727,84.7409709218,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,usp000bbmb,2002-09-08 03:36:41.560000,-30.0511794245,61.0335215374,5.7,67.7666564883,52.5040656241,49.0843741632,195.593350089,167.769891065,83.3986599717,1,1
us70006y9s,2020-01-11 09:00:45.693000,-29.5079975075,61.2439808102,5.451,us10007w1q,2017-01-29 16:42:27.680000,-29.4524559848,61.2438584852,5.4,6.15644095564,96.2496300401,24.5030660029,359.889558676,325.992260198,27.7417980614,1,1
us10007w1q,2017-01-29 16:42:27.680000,-29.4524559848,61.2438584852,5.4,us10006q7u,2016-09-16 18:38:05,-29.5508965912,61.2314243409,5.5,10.9779674942,8.28995158528,4.61840860919,186.302259556,178.63356638,37.8154823955,1,1
us70006y9s,2020-01-11 09:00:45.693000,-29.5079975075,61.2439808102,5.451,us2000824t,2016-12-18 03:30:59.810000,-29.4890934487,61.2137890444,5.451,3.60023601299,2.71268490938,25.7669357745,305.585169019,141.112271796,54.9528456703,1,1
us1000hf58,2018-10-21 01:40:37.950000,-29.7291714061,61.0713209612,5.8,us2000824t,2016-12-18 03:30:59.810000,-29.4890934487,61.2137890444,5.451,29.9768744105,38.2141356693,8.3239756764,27.4447160673,25.3935589914,14.260230603,1,1
us20008l37,2017-02-21 11:08:16.140000,-29.4624691966,61.2224112925,5.451,us2000824t,2016-12-18 03:30:59.810000,-29.4890934487,61.2137890444,5.451,3.06732881979,3.06674702953,0.917989850788,195.81910152,176.236947265,23.3798550954,1,1
