time,mag,magType,lat,lon,dep,text,id
1976-08-19 00:38:41.300000,5.1,mb,-29.15,61.254,33000.0,Southwest Indian Ridge,usp0000hxw
1978-11-15 12:13:27.400000,5.0,mb,-29.777,60.866,33000.0,Southwest Indian Ridge,usp0000xf9
1981-01-23 21:54:41.600000,6.8,ms,-29.682,60.839,10000.0,Southwest Indian Ridge,usp0001bvf
1982-02-28 12:29:42.120000,5.3,mb,-29.555,60.772,10000.0,Southwest Indian Ridge,usp0001jw9
1982-03-12 02:43:25.930000,5.0,mb,-29.9,60.731,10000.0,Southwest Indian Ridge,usp0001k2u
1982-11-29 00:31:24.280000,5.4,mb,-29.649,60.768,10000.0,Southwest Indian Ridge,usp0001r69
1983-08-14 03:36:47.160000,5.2,mb,-29.948,60.714,10000.0,Southwest Indian Ridge,usp0001xns
1985-11-30 02:28:11.530000,5.4,mw,-29.235,61.253,10000.0,Southwest Indian Ridge,usp0002ncz
1986-10-28 15:11:23.300000,5.9,mw,-30.481,60.182,10000.0,Southwest Indian Ridge,usp0002zf8
1986-10-28 17:18:17.950000,5.5,mw,-30.497,60.061,10000.0,Southwest Indian Ridge,usp0002zfc
1988-10-03 04:42:13.670000,5.0,mb,-30.245,60.76,10000.0,Southwest Indian Ridge,usp0003mfw
1993-03-05 14:00:14.250000,5.3,mw,-29.497,60.914,10000.0,Southwest Indian Ridge,usp0005p15
1993-04-20 06:46:45.540000,5.1,mb,-29.233,61.243,10000.0,Southwest Indian Ridge,usp0005rfj
1997-04-28 10:56:51.640000,5.4,ms,-29.638,60.818,10000.0,Southwest Indian Ridge,usp00081e9
1997-09-08 17:57:13.130000,5.3,mwc,-29.296,61.029,10000.0,Southwest Indian Ridge,usp00087a9
1999-01-30 04:18:35.210000,5.1,mwc,-29.627,60.768,10000.0,Southwest Indian Ridge,usp00091y4
2002-09-08 03:36:41.560000,5.7,mwb,-30.109,60.926,10000.0,Southwest Indian Ridge,usp000bbmb
2009-09-26 04:22:27.540000,5.2,mwc,-29.557,60.852,10000.0,Southwest Indian Ridge,usp000h1vh
2010-03-21 06:55:37.660000,5.0,mwc,-29.413,60.914,10000.0,Southwest Indian Ridge,usp000h9sh
2010-04-14 01:16:58.460000,5.1,mb,-29.076,61.372,10000.0,Southwest Indian Ridge,usp000hbc1
2011-10-25 11:01:11.320000,5.0,mb,-29.117,61.29,10000.0,Southwest Indian Ridge,usp000j9vx
2012-03-26 16:58:10.630000,5.6,mwb,-30.04,60.653,10000.0,Southwest Indian Ridge,usp000jgu5
2015-01-23 20:35:33.540000,5.0,mb,-29.4628,60.7483,15080.0,Southwest Indian Ridge,usc000tiqc
2016-06-30 12:20:19.480000,5.1,mb,-29.074,61.1424,10000.0,Southwest Indian Ridge,us10005ypj
2016-08-06 12:23:17.260000,5.0,mb,-29.1209,61.1404,14500.0,Southwest Indian Ridge,us10006buj
2016-08-12 08:11:48.340000,5.0,mb,-29.2357,60.9487,10000.0,Southwest Indian Ridge,us10006d8p
2016-09-03 08:18:40.520000,5.1,mb,-29.1736,60.9691,10000.0,Southwest Indian Ridge,us10006jwr
2016-09-16 18:38:05,5.5,mwb,-29.1551,60.9158,10000.0,Southwest Indian Ridge,us10006q7u
2016-09-18 11:02:19.540000,5.0,mb,-29.2306,60.9453,10000.0,Southwest Indian Ridge,us10006qn5
2016-12-15 01:29:26.520000,5.3,mb,-29.1621,60.957,10000.0,Southwest Indian Ridge,us200080w8
2016-12-17 18:45:06.510000,5.1,mb,-29.2126,61.1438,10000.0,Southwest Indian Ridge,us20008205
2016-12-18 03:30:59.810000,5.1,mb,-29.218,61.1378,10000.0,Southwest Indian Ridge,us2000824t
2017-01-29 16:42:27.680000,5.4,mww,-29.1976,61.2771,10000.0,Southwest Indian Ridge,us10007w1q
2017-02-21 11:08:16.140000,5.1,mb,-29.0639,61.197,10000.0,Southwest Indian Ridge,us20008l37
2018-05-13 22:27:29.790000,5.2,mww,-29.4276,60.9295,10000.0,Southwest Indian Ridge,us1000e4ac
2018-10-21 01:40:37.950000,5.8,mww,-29.5356,60.7521,10000.0,Southwest Indian Ridge,us1000hf58
2019-10-28 20:45:51.624000,5.2,mww,-29.1742,61.181,10000.0,Southwest Indian Ridge,us6000642r
2020-01-09 00:55:43.601000,5.1,mww,-29.4387,61.259,10000.0,Southwest Indian Ridge,us70006wpf
2020-01-11 09:00:45.693000,5.1,mb,-29.541,61.2009,10000.0,Southwest Indian Ridge,us70006y9s
